nsample pid coretype expid event pmc0 pmc1 pmc2 pmc3 pmc4
1 2202 0 0 tick 997538318 1498301864 1542975024 997538318 291596322
2 2202 0 1 tick 1027304421 1930414636 - 0 -
3 2202 0 0 tick 1035949487 1936579560 1937728236 1035949487 304296785
4 2202 0 1 tick 1028773459 1928661857 - 0 -
5 2202 0 0 tick 2089808134 1794674271 1803408246 2089808134 275802045
6 2202 0 1 tick 2035168450 2003465841 - 0 -
7 2202 0 0 tick 2009476618 1982192045 1987710600 2009476618 549901163
8 2202 0 1 tick 2004600456 1985901362 - 0 -
9 2202 0 0 tick 2035576463 2002908221 2002448970 2035576463 556750178
10 2202 0 1 tick 2020263554 1988244172 - 0 -
11 2202 0 0 tick 2039638222 2003861284 2003130762 2039638222 557919942
12 2202 0 1 tick 2015333446 1988448512 - 0 -
13 2202 0 0 tick 2024462741 1993867691 1993690350 2024462741 553599722
14 2202 0 1 tick 2006287504 2001488820 - 0 -
15 2202 0 0 tick 2015968012 1988190642 1987410798 2015968012 551522478
16 2202 0 1 tick 2014150256 1981343580 - 0 -
17 2202 0 0 tick 2018923435 1986744233 1986122370 2018923435 551901224
18 2202 0 1 tick 2027958587 2004013273 - 0 -
19 2202 0 0 tick 2044604135 2004251664 2003697366 2044604135 559203767
20 2202 0 1 tick 2018817673 2001451428 - 0 -
21 2202 0 0 tick 2041552014 2003928519 2003144424 2041552014 558464992
22 2202 0 1 tick 2026159160 1988094740 - 0 -
23 2202 0 0 tick 2029554331 2003119426 2002837404 2029554331 555115446
24 2202 0 1 tick 2031603503 2003869742 - 0 -
25 2202 0 0 tick 2044207410 2003958479 2003186472 2044207410 559020963
26 2202 0 1 tick 2009209661 1987432223 - 0 -
27 2202 0 0 tick 2007309798 1987755422 1987202538 2007309798 549222979
28 2202 0 1 tick 2039720815 2003951457 - 0 -
29 2202 0 0 tick 2022295187 1987508435 1986932484 2022295187 552954984
30 2202 0 1 tick 2043568615 2003424489 - 0 -
31 2202 0 0 tick 2031497101 2003856188 2003179380 2031497101 555797754
32 2202 0 1 tick 2037676461 2004192823 - 0 -
33 2202 0 0 tick 2030729037 1995738013 1995151014 2030729037 555278435
34 2202 0 1 tick 2012047231 1987742132 - 0 -
35 2202 0 0 tick 2025664117 1996698567 2002046058 2025664117 554044468
36 2202 0 1 tick 2038644448 2004067993 - 0 -
37 2202 0 0 tick 2011949039 1977470023 1987473396 2011949039 550415701
38 2202 0 1 tick 2016115397 1988143548 - 0 -
39 2202 0 0 tick 2022958820 2003124515 2002616400 2022958820 553491716
40 2202 0 1 tick 2029173016 2003495550 - 0 -
41 2202 0 0 tick 2031307842 2003284575 2002502130 2031307842 555700452
42 2202 0 1 tick 2038254850 2004098839 - 0 -
43 2202 0 0 tick 2037423777 2003633922 2003180910 2037423777 557149812
44 2202 0 1 tick 2035728104 2004035179 - 0 -
45 2202 0 0 tick 2025833624 2004049672 2003428698 2025833624 554142115
46 2202 0 1 tick 2011701096 1987391261 - 0 -
47 2202 0 0 tick 2008279970 1987047419 1986531198 2008279970 549405282
48 2202 0 1 tick 2017718635 1983937594 - 0 -
49 2202 0 0 tick 2013859873 1987537090 1986916914 2013859873 550825630
50 2202 0 1 tick 2029356409 2003443429 - 0 -
51 2202 0 0 tick 2017651204 1985506436 1986892812 2017651204 551516687
52 2202 0 1 tick 2033175375 2004236894 - 0 -
53 2202 0 0 tick 2027594967 2003467068 2002957512 2027594967 554546890
54 2202 0 1 tick 2037192586 2003745106 - 0 -
55 2202 0 0 tick 2017013573 1987480825 1986795882 2017013573 551653674
56 2202 0 1 tick 2018637784 1991812914 - 0 -
57 2202 0 0 tick 2006810840 1987844387 1987199214 2006810840 549100086
58 2202 0 1 tick 2038595714 2003767202 - 0 -
59 2202 0 0 tick 2013988552 1987640454 1987152012 2013988552 550868911
60 2202 0 1 tick 2021558181 2002856937 - 0 -
61 2202 0 0 tick 2040250541 2003074284 2002448550 2040250541 557824457
62 2202 0 1 tick 2027019213 2003873520 - 0 -
63 2202 0 0 tick 2015052305 1986939866 1986444546 2015052305 551086661
64 2202 0 1 tick 2028640494 2003853303 - 0 -
65 2202 0 0 tick 2018596035 1987092314 1986404340 2018596035 551757981
66 2202 0 1 tick 2030176391 2003663755 - 0 -
67 2202 0 0 tick 2035090332 2003868297 2003391072 2035090332 556595394
68 2202 0 1 tick 2007335930 1979640506 - 0 -
69 2202 0 0 tick 2043477222 2003418313 2002823910 2043477222 558476031
70 2202 0 1 tick 2013244732 1988297377 - 0 -
71 2202 0 0 tick 2017444498 1987817471 1987354386 2017444498 551809922
72 2202 0 1 tick 2040961326 2004391314 - 0 -
73 2202 0 0 tick 2022344914 2002838089 2002399836 2022344914 553181732
74 2202 0 1 tick 2007500758 1987768427 - 0 -
75 2202 0 0 tick 2013283722 1985067356 1986560310 2013283722 550488267
76 2202 0 1 tick 2037096502 2004428655 - 0 -
77 2202 0 0 tick 2002356522 1986222401 1987550298 2002356522 547752413
78 2202 0 1 tick 2026738125 1995905563 - 0 -
79 2202 0 0 tick 2037751703 2003728064 2003207814 2037751703 557153184
80 2202 0 1 tick 2040495515 2003848867 - 0 -
81 2202 0 0 tick 2012022818 1987232131 1986517338 2012022818 550342409
82 2202 0 1 tick 2035353416 2003053766 - 0 -
83 2202 0 0 tick 2005978417 1987210981 1986681474 2005978417 548688267
84 2202 0 1 tick 2027994158 2003637999 - 0 -
85 2202 0 0 tick 2027551598 2003068792 2002541142 2027551598 554650511
86 2202 0 1 tick 2025073333 2002774773 - 0 -
87 2202 0 0 tick 2029005050 2002797265 2002388058 2029005050 554768032
88 2202 0 1 tick 2030741982 2003576862 - 0 -
89 2202 0 0 tick 2013722326 1991102807 1994750076 2013722326 550592019
90 2202 0 1 tick 2015525663 1988015819 - 0 -
91 2202 0 0 tick 2013996375 1985161471 1986440604 2013996375 550667144
92 2202 0 1 tick 2033929360 2003263744 - 0 -
93 2202 0 0 tick 2031468484 2003320534 2002841484 2031468484 555595778
94 2202 0 1 tick 2009311328 1985553755 - 0 -
95 2202 0 0 tick 2024792586 2003801735 2003315448 2024792586 553587690
96 2202 0 1 tick 2024742684 2003083822 - 0 -
97 2202 0 0 tick 2021437291 1987846706 1987278240 2021437291 552722300
98 2202 0 1 tick 2028404336 2003371574 - 0 -
99 2202 0 0 tick 2013493526 1987654857 1987056174 2013493526 550807460
100 2202 0 1 tick 2039060103 2003448697 - 0 -
101 2202 0 0 tick 2023839646 2002684886 2002202166 2023839646 553463798
102 2202 0 1 tick 2031247141 2003045166 - 0 -
103 2202 0 0 tick 2030359833 2002788699 2002270458 2030359833 555055872
104 2202 0 1 tick 2017071891 1987830935 - 0 -
105 2202 0 0 tick 2016489664 1987710087 1987030422 2016489664 551432268
106 2202 0 1 tick 2035294498 2004309261 - 0 -
107 2202 0 0 tick 2010327574 1987616715 1987054902 2010327574 549868259
108 2202 0 1 tick 2034154910 2004529167 - 0 -
109 2202 0 0 tick 2023869529 1987705497 1987085274 2023869529 553068458
110 2202 0 1 tick 2023890745 2002864812 - 0 -
111 2202 0 0 tick 2037480247 2002926539 2002283634 2037480247 556971614
112 2202 0 1 tick 2020620669 1988014037 - 0 -
113 2202 0 0 tick 2034086916 2003207827 2002514112 2034086916 555784288
114 2202 0 1 tick 2024892905 2003220567 - 0 -
115 2202 0 0 tick 2027080817 2002663233 2002175268 2027080817 554207688
116 2202 0 1 tick 2023538480 2003047608 - 0 -
117 2202 0 0 tick 2018473715 1987392797 1986794562 2018473715 551754020
118 2202 0 1 tick 2031626884 2003161928 - 0 -
119 2202 0 0 tick 2011413803 1987214955 1986817446 2011413803 549932263
120 2202 0 1 tick 2034426213 2004024294 - 0 -
121 2202 0 0 tick 2012474002 1987417178 1986770334 2012474002 550385467
122 2202 0 1 tick 2033753176 2004314368 - 0 -
123 2202 0 0 tick 2030653695 2003931906 2003373438 2030653695 555176821
124 2202 0 1 tick 2006048737 1987288591 - 0 -
125 2202 0 0 tick 2006791729 1986981926 1986364896 2006791729 548687624
126 2202 0 1 tick 2031516027 2003634282 - 0 -
127 2202 0 0 tick 2007408865 1986834002 1986195552 2007408865 549019881
128 2202 0 1 tick 2005481580 1979876629 - 0 -
129 2202 0 0 tick 2013953034 1987040815 1986553650 2013953034 550550983
130 2202 0 1 tick 2019794957 1987801247 - 0 -
131 2202 0 0 tick 2006052432 1987231583 1986516006 2006052432 548438113
132 2202 0 1 tick 2034584633 2003734629 - 0 -
133 2202 0 0 tick 2014161852 1987358377 1986753318 2014161852 550796804
134 2202 0 1 tick 2024205460 2002347478 - 0 -
135 2202 0 0 tick 2023610832 2002992210 2002483146 2023610832 553359068
136 2202 0 1 tick 2032287104 2003832010 - 0 -
137 2202 0 0 tick 2000002542 1986385639 1986066318 2000002542 547042477
138 2202 0 1 tick 2020749155 1994765865 - 0 -
139 2202 0 0 tick 2018428133 1999873907 2002080798 2018428133 551983459
140 2202 0 1 tick 2019068373 1992412581 - 0 -
141 2202 0 0 tick 2030483271 2003827958 2003326494 2030483271 554974951
142 2202 0 1 tick 2015015617 1987883698 - 0 -
143 2202 0 0 tick 2015978900 2002129296 2001705228 2015978900 551270221
144 2202 0 1 tick 2025687857 2003352419 - 0 -
145 2202 0 0 tick 2021950469 2003951416 2003494896 2021950469 552927179
146 2202 0 1 tick 2000806598 1986134839 - 0 -
147 2202 0 0 tick 2025017114 2002315080 2001751200 2025017114 553484242
148 2202 0 1 tick 2029077595 2002266988 - 0 -
149 2202 0 0 tick 2003033740 1986056692 1985735220 2003033740 547769267
150 2202 0 1 tick 2021674475 2002014231 - 0 -
151 2202 0 0 tick 2027989822 2002934275 2002735860 2027989822 554340526
152 2202 0 1 tick 2006290736 1987513344 - 0 -
153 2202 0 0 tick 2003475522 1981179954 1986542664 2003475522 547788734
154 2202 0 1 tick 2026429301 2002755328 - 0 -
155 2202 0 0 tick 2011051137 2002894141 2002170948 2011051137 549925115
156 2202 0 1 tick 2009065004 1986497681 - 0 -
157 2202 0 0 tick 2000487397 1984261065 1985928420 2000487397 546759659
158 2202 0 1 tick 2014342773 2002219393 - 0 -
159 2202 0 0 tick 2013161451 1989116134 1994467920 2013161451 550330571
160 2202 0 1 tick 2020749220 2002692859 - 0 -
161 2202 0 0 tick 2019514093 1995192914 1994672988 2019514093 551756603
162 2202 0 1 tick 2016123703 2002756527 - 0 -
163 2202 0 0 tick 2020804645 1987861947 1987086042 2020804645 552281129
164 2202 0 1 tick 2020113668 2003147352 - 0 -
165 2202 0 0 tick 2005713054 1987756166 1987242534 2005713054 548234938
166 2202 0 1 tick 2019163148 2004028244 - 0 -
167 2202 0 0 tick 2007963164 1986720724 1986339894 2007963164 548778889
168 2202 0 1 tick 2025361980 2004197632 - 0 -
169 2202 0 0 tick 2022148259 2001906045 2001470772 2022148259 552749714
170 2202 0 1 tick 2020003185 2003898596 - 0 -
171 2202 0 0 tick 2003507445 1985711061 1985336562 2003507445 547413397
172 2202 0 1 tick 2023518122 2003140054 - 0 -
173 2202 0 0 tick 2030716216 2003474839 2002779294 2030716216 554897768
174 2202 0 1 tick 2024969816 2002295870 - 0 -
175 2202 0 0 tick 2011950877 1986930441 1986394182 2011950877 550129957
176 2202 0 1 tick 2017403543 2002377086 - 0 -
177 2202 0 0 tick 2022273901 2001610753 2001237102 2022273901 552846113
178 2202 0 1 tick 2017895913 2002649986 - 0 -
179 2202 0 0 tick 2008269854 1987165861 1986450276 2008269854 548644027
180 2202 0 1 tick 2006379016 1986230090 - 0 -
181 2202 0 0 tick 2033884842 2004094270 2003518074 2033884842 556036262
182 2202 0 1 tick 2007920044 1987278085 - 0 -
183 2202 0 0 tick 2023695177 2003682233 2003296776 2023695177 552901703
184 2202 0 1 tick 2030867282 2004422042 - 0 -
185 2202 0 0 tick 2025311301 2003920347 2003420310 2025311301 553601409
186 2202 0 1 tick 2032463252 2004267861 - 0 -
187 2202 0 0 tick 2013135887 1994684304 1994098188 2013135887 550342918
188 2202 0 1 tick 2017729150 2003758294 - 0 -
189 2202 0 0 tick 1998790830 1977146559 1987100436 1998790830 546411095
190 2202 0 1 tick 2026276513 2003767032 - 0 -
191 2202 0 0 tick 2004726519 1987372220 1986717114 2004726519 548099671
192 2202 0 1 tick 2007370557 1987495794 - 0 -
193 2202 0 0 tick 2011475862 1987385391 1986864282 2011475862 549840616
194 2202 0 1 tick 2003734190 1987076001 - 0 -
195 2202 0 0 tick 2010947668 1995210440 1994679396 2010947668 549583675
196 2202 0 1 tick 2029497267 2003552163 - 0 -
197 2202 0 0 tick 2012626998 2000854002 2000199306 2012626998 550023250
198 2202 0 1 tick 2017931274 2002029250 - 0 -
199 2202 0 0 tick 2012807146 1987560065 1986942906 2012807146 549912707
200 2202 0 1 tick 2021870921 2003444612 - 0 -
201 2202 0 0 tick 2018814649 2002515345 2002009368 2018814649 551711651
202 2202 0 1 tick 2021343014 2002136217 - 0 -
203 2202 0 0 tick 1996272977 1981111470 1986073428 1996272977 545548451
204 2202 0 1 tick 2003227269 1986480651 - 0 -
205 2202 0 0 tick 2029182967 2003145696 2002462146 2029182967 554084280
206 2202 0 1 tick 2017844065 2003482087 - 0 -
207 2202 0 0 tick 2022827743 2002276644 2001796932 2022827743 552735441
208 2202 0 1 tick 2008809485 1986748285 - 0 -
209 2202 0 0 tick 1982225546 1979164708 1986513510 1982225546 541840556
210 2202 0 1 tick 2000257036 1979277712 - 0 -
211 2202 0 0 tick 2014827110 2001906794 2001595908 2014827110 550638745
212 2202 0 1 tick 2019788514 2001774800 - 0 -
213 2202 0 0 tick 2020040882 2001457589 2001234660 2020040882 551836421
214 2202 0 1 tick 2003007736 1986658649 - 0 -
215 2202 0 0 tick 2002612374 1993510245 1992965136 2002612374 547414800
216 2202 0 1 tick 2001636489 1986315952 - 0 -
217 2202 0 0 tick 2001477152 1986122977 1985546670 2001477152 546885332
218 2202 0 1 tick 2020817719 2002225569 - 0 -
219 2202 0 0 tick 2005897550 1986202944 1985850366 2005897550 547900887
220 2202 0 1 tick 1995139162 1986421662 - 0 -
221 2202 0 0 tick 1998549485 1978634052 1985988996 1998549485 546066405
222 2202 0 1 tick 2011143025 2001641891 - 0 -
223 2202 0 0 tick 2009417446 1993843415 1993500210 2009417446 549088701
224 2202 0 1 tick 2012262960 2001678699 - 0 -
225 2202 0 0 tick 2009689918 2001767603 2001196566 2009689918 549238533
226 2202 0 1 tick 1999912884 1986454995 - 0 -
227 2202 0 0 tick 1999126720 1987466702 1986876006 1999126720 546152780
228 2202 0 1 tick 2002366949 1987621561 - 0 -
229 2202 0 0 tick 2011386371 1994179531 1993746840 2011386371 549679061
230 2202 0 1 tick 2003804307 1995589823 - 0 -
231 2202 0 0 tick 2011231608 1995173756 2002607604 2011231608 549682254
232 2202 0 1 tick 2007591976 2001625938 - 0 -
233 2202 0 0 tick 2012164897 2000788131 2000568834 2012164897 549726389
234 2202 0 1 tick 2015594467 2001945215 - 0 -
235 2202 0 0 tick 1998852673 1986738833 1986155934 1998852673 546029289
236 2202 0 1 tick 1996172185 1986983233 - 0 -
237 2202 0 0 tick 2013711862 2002033419 2001377202 2013711862 550167352
238 2202 0 1 tick 2002046883 1987447231 - 0 -
239 2202 0 0 tick 1988347055 1987233840 1986596538 1988347055 543409793
