,nsample,pid,coretype,expid,event,pmc0,pmc1,pmc2,pmc3,pmc4,pmc5,pmc6,pmc7
0,1,2395,0,0,tick,1290256026,1843364017,1853701278,1290256026,379083945,1221057923.0,1952039376.0,0.0
1,3,2395,0,0,tick,1229046525,1972775910,1973123430,1229046525,360118690,1424916415.0,1989581154.0,0.0
2,5,2395,0,0,tick,1683769747,2009276897,2009200632,1683769747,453009291,1652493941.0,1985344887.0,0.0
3,7,2395,0,0,tick,1679154574,2009324009,2009462712,1679154574,452236580,1681609792.0,2009406900.0,0.0
4,9,2395,0,0,tick,1680303889,2009574114,2009548410,1680303889,452527623,1661335197.0,1993961282.0,0.0
5,11,2395,0,0,tick,1674956213,2009088187,2009127156,1674956213,451095682,1682070730.0,2009301267.0,0.0
6,13,2395,0,0,tick,1677675044,2009149599,2008940946,1677675044,451719810,1678621370.0,2009619558.0,0.0
7,15,2395,0,0,tick,1673577426,2007001420,2006763138,1673577426,450873180,1682417767.0,2010143572.0,0.0
8,17,2395,0,0,tick,1675672113,2008037425,2008145628,1675672113,451410046,1679647439.0,2007411930.0,0.0
9,19,2395,0,0,tick,1668945227,1997762495,1999033056,1668945227,449418588,1678179922.0,2008049290.0,0.0
10,21,2395,0,0,tick,1672565032,2006582499,2006569548,1672565032,450548591,1676713905.0,2007717271.0,0.0
11,23,2395,0,0,tick,1679309443,2007618708,2007736566,1679309443,452048293,1673452375.0,1998343155.0,0.0
12,25,2395,0,0,tick,1656163520,1983707069,1991713050,1656163520,446108250,1674817633.0,2007044714.0,0.0
13,27,2395,0,0,tick,1673646899,2007711972,2007763950,1673646899,450880308,1683113641.0,2008124109.0,0.0
14,29,2395,0,0,tick,1665398127,1996736211,1996767474,1665398127,448643326,1668036093.0,1993551883.0,0.0
15,31,2395,0,0,tick,1674824555,2006559572,2006572452,1674824555,450741740,1678254510.0,2007990346.0,0.0
16,33,2395,0,0,tick,1661575640,1983702074,1991393070,1661575640,447162399,1657083318.0,1991914288.0,0.0
17,35,2395,0,0,tick,1676649909,2007629249,2007588204,1676649909,451385065,1678245926.0,2006803716.0,0.0
18,37,2395,0,0,tick,1678180844,2007562184,2007755784,1678180844,451800902,1675981915.0,2007033835.0,0.0
19,39,2395,0,0,tick,1673916066,2007134633,2007265392,1673916066,451058536,1678549530.0,2008087230.0,0.0
20,41,2395,0,0,tick,1672284663,2007819997,2007730464,1672284663,450860156,1673415117.0,2006668089.0,0.0
21,43,2395,0,0,tick,1675491728,2007829463,2007501546,1675491728,451246089,1662590903.0,1984096356.0,0.0
22,45,2395,0,0,tick,1679748447,2007214217,2007110754,1679748447,452144759,1655949605.0,1987772805.0,0.0
23,47,2395,0,0,tick,1680496269,2007785822,2007621012,1680496269,452540145,1680317573.0,2007622612.0,0.0
24,49,2395,0,0,tick,1680476950,2006574982,2006404614,1680476950,452224861,1670707296.0,2006613401.0,0.0
25,51,2395,0,0,tick,1674787342,2006856719,2007138672,1674787342,450875203,1680209644.0,2007378022.0,0.0
26,53,2395,0,0,tick,1679742111,2007173735,2007220914,1679742111,452074046,1672025811.0,2006942795.0,0.0
27,55,2395,0,0,tick,1663875430,1991593091,1991497938,1663875430,448111514,1676403292.0,2008131605.0,0.0
28,57,2395,0,0,tick,1862494977,1960557146,1960672656,1862494977,532116516,2014124335.0,2004508315.0,0.0
29,59,2395,0,0,tick,1857048121,2008992274,2009193894,1857048121,515235274,1860354115.0,2009607283.0,0.0
30,61,2395,0,0,tick,1859051329,2009625381,2009498418,1859051329,515543501,1861961719.0,2010034686.0,0.0
31,63,2395,0,0,tick,1853041731,2008304226,2008268736,1853041731,514255916,1853143934.0,2009177298.0,0.0
32,65,2395,0,0,tick,1862448819,2009210803,2009258754,1862448819,516230072,1835414294.0,1988875467.0,0.0
33,67,2395,0,0,tick,1857984965,2009596621,2009521560,1857984965,515416635,1854535307.0,2009515606.0,0.0
34,69,2395,0,0,tick,1858798595,2008415447,2008154310,1858798595,515641514,1859370700.0,2009198530.0,0.0
35,71,2395,0,0,tick,1861610070,2009160675,2009150772,1861610070,516250742,1855912966.0,2009318243.0,0.0
36,73,2395,0,0,tick,1855456200,2009396962,2009428932,1855456200,515098267,1859307668.0,2009485598.0,0.0
37,75,2395,0,0,tick,1857729854,2009100415,2009354700,1857729854,515598741,1857332361.0,2009093651.0,0.0
38,77,2395,0,0,tick,1851132449,2001693333,2001588210,1851132449,513662442,1856540701.0,2006940283.0,0.0
39,79,2395,0,0,tick,1860238376,2009901127,2010027042,1860238376,516136589,1858605701.0,2010109483.0,0.0
40,81,2395,0,0,tick,1857377732,2009121366,2008999038,1857377732,515585889,1860927553.0,2009280923.0,0.0
41,83,2395,0,0,tick,1863589322,2009330607,2009270034,1863589322,516657318,1838621066.0,1992412187.0,0.0
42,85,2395,0,0,tick,1860926439,2009138195,2009251896,1860926439,516018860,1860503942.0,2009406364.0,0.0
43,87,2395,0,0,tick,1857420914,2008470934,2008227792,1857420914,515064304,1860740044.0,2009040682.0,0.0
44,89,2395,0,0,tick,1846694022,1993621075,1993569714,1846694022,512705893,1859782596.0,2009860968.0,0.0
45,91,2395,0,0,tick,1840058300,2007970876,2007868530,1840058300,511174751,1854766594.0,2008770288.0,0.0
46,93,2395,0,0,tick,1838425644,1990892901,1992927606,1838425644,509734865,1859068124.0,2009755430.0,0.0
47,95,2395,0,0,tick,1856558028,2009187109,2009186670,1856558028,514879405,1849958073.0,2004789086.0,0.0
48,97,2395,0,0,tick,1849375691,2008253978,2008139790,1849375691,513200369,1855679974.0,2008848883.0,0.0
49,99,2395,0,0,tick,1855753081,2008548795,2008573470,1855753081,514797322,1855738411.0,2009582112.0,0.0
50,101,2395,0,0,tick,1853980218,2009621548,2009574000,1853980218,514338846,1854417599.0,2009296586.0,0.0
51,103,2395,0,0,tick,1855689667,2009004598,2008876812,1855689667,514705726,1855440898.0,2009233210.0,0.0
52,105,2395,0,0,tick,1848632131,2000879740,2000765304,1848632131,513008804,1851700885.0,2009988486.0,0.0
53,107,2395,0,0,tick,1856785956,2009790809,2009942130,1856785956,515363716,1860546967.0,2009802233.0,0.0
54,109,2395,0,0,tick,1845300463,1995427038,2009258964,1845300463,511651679,1856957996.0,2009984831.0,0.0
55,111,2395,0,0,tick,1852145416,2008434856,2008440852,1852145416,513772156,1852841353.0,2008990491.0,0.0
56,113,2395,0,0,tick,1848704876,1985586106,1991515608,1848704876,512869962,1878365836.0,2008915071.0,0.0
57,115,2395,0,0,tick,1860034465,1993011664,1993058976,1860034465,516099120,1878821298.0,2010034847.0,0.0
58,117,2395,0,0,tick,1874593879,2009269587,2009173650,1874593879,520442443,1880844908.0,2009226807.0,0.0
59,119,2395,0,0,tick,1880665784,2009969649,2009899830,1880665784,521578205,1862326851.0,1991877062.0,0.0
60,121,2395,0,0,tick,1874570243,2009481442,2009268534,1874570243,520069485,1876534043.0,2009173487.0,0.0
61,123,2395,0,0,tick,1837662770,1986188053,1991230776,1837662770,510619874,1879482271.0,2009832191.0,0.0
62,125,2395,0,0,tick,1874776158,2009863112,2009846862,1874776158,520358768,1865269465.0,1996979890.0,0.0
63,127,2395,0,0,tick,1859336548,1987950841,1993185540,1859336548,515680281,1875902422.0,2009462141.0,0.0
64,129,2395,0,0,tick,1872730269,2008969419,2009142828,1872730269,519575020,1876059849.0,2009340657.0,0.0
65,131,2395,0,0,tick,1872289025,2009508401,2009487930,1872289025,519290086,1876666519.0,2009633677.0,0.0
66,133,2395,0,0,tick,1867707543,2006970648,2006931726,1867707543,518145846,1880958791.0,2010097336.0,0.0
67,135,2395,0,0,tick,1875779806,2008768992,2008837782,1875779806,520234129,1875498849.0,2009654020.0,0.0
68,137,2395,0,0,tick,1875830526,2009548415,2009678070,1875830526,520518804,1876561488.0,2009434410.0,0.0
69,139,2395,0,0,tick,1876638373,2006435991,2006677572,1876638373,520298669,1860572781.0,1988490466.0,0.0
70,141,2395,0,0,tick,1866980237,1995762851,2001095076,1866980237,518048723,1879703280.0,2009723072.0,0.0
71,143,2395,0,0,tick,1864122956,1993507062,1993536960,1864122956,516807652,1859630478.0,1992596866.0,0.0
72,145,2395,0,0,tick,1877301749,2009887145,2010056610,1877301749,520684422,1882202320.0,2010089851.0,0.0
73,147,2395,0,0,tick,1854290461,1988291339,1993674864,1854290461,514333572,1882454685.0,2009843202.0,0.0
74,149,2395,0,0,tick,1875431667,2009847689,2009667570,1875431667,520742758,1876177551.0,2009887029.0,0.0
75,151,2395,0,0,tick,1878115513,2009568485,2009380758,1878115513,521025998,1878573693.0,2008908690.0,0.0
76,153,2395,0,0,tick,1864588196,2005914321,2005919664,1864588196,517447386,1876804663.0,2009978120.0,0.0
77,155,2395,0,0,tick,1838472187,2008921362,2008528560,1838472187,508588392,1683714066.0,2008638663.0,0.0
78,157,2395,0,0,tick,1681006356,1986479044,1992693426,1681006356,452597826,1697155686.0,2009444696.0,0.0
79,159,2395,0,0,tick,1689496671,2000410751,2000853516,1689496671,455090960,1693736356.0,2000230531.0,0.0
80,161,2395,0,0,tick,1684196373,1993244805,1993140258,1684196373,453835527,1698983405.0,2008770580.0,0.0
81,163,2395,0,0,tick,1695397556,2008822600,2009002926,1695397556,456897696,1694309367.0,2006554503.0,0.0
82,165,2395,0,0,tick,1692107485,2008811376,2008678266,1692107485,456133236,1700824650.0,2009095720.0,0.0
83,167,2395,0,0,tick,1704553533,2009227825,2009010336,1704553533,458695236,1693411517.0,2007971536.0,0.0
84,169,2395,0,0,tick,1691185944,1990617553,1993391274,1691185944,455111966,1703077501.0,2010250348.0,0.0
85,171,2395,0,0,tick,1690960883,2003882849,2009121600,1690960883,455702463,1698226531.0,2010295740.0,0.0
86,173,2395,0,0,tick,1704083282,2009122231,2009247486,1704083282,458589396,1688083279.0,1991587160.0,0.0
87,175,2395,0,0,tick,1706699419,2009805672,2009727366,1706699419,459367782,1701717177.0,2010167019.0,0.0
88,177,2395,0,0,tick,1686042767,1986741928,1992536166,1686042767,453375385,1697629482.0,2010173511.0,0.0
89,179,2395,0,0,tick,1692784883,2010042765,2010171978,1692784883,456134528,1695364392.0,2010066125.0,0.0
90,181,2395,0,0,tick,1696646601,2009566368,2009712486,1696646601,457007692,1693880546.0,2007882939.0,0.0
91,183,2395,0,0,tick,1689968497,2009988281,2010116358,1689968497,455483512,1702461016.0,2010286044.0,0.0
92,185,2395,0,0,tick,1695473193,2009635126,2009468016,1695473193,456852340,1698399934.0,2010194486.0,0.0
93,187,2395,0,0,tick,1681097429,1985892824,1986151254,1681097429,452541305,1693030417.0,2010111766.0,0.0
94,189,2395,0,0,tick,1703439137,2009968864,2009866140,1703439137,458663770,1700289335.0,2010283611.0,0.0
95,191,2395,0,0,tick,1698770842,2010041559,2010049746,1698770842,457631847,1699373125.0,2010248434.0,0.0
96,193,2395,0,0,tick,1694952371,2007212204,2007316440,1694952371,456320789,1694756337.0,2009590847.0,0.0
97,195,2395,0,0,tick,1699686876,2009185102,2009210154,1699686876,457795359,1702238395.0,2009648244.0,0.0
98,197,2395,0,0,tick,1703558242,2017323085,2017465656,1703558242,458902851,1690508046.0,2001933039.0,0.0
99,199,2395,0,0,tick,1698943658,2009761086,2009803680,1698943658,457686728,1693483897.0,2009368633.0,0.0
100,201,2395,0,0,tick,1695294514,2009642043,2009617506,1695294514,456434020,1702050939.0,2010202825.0,0.0
101,203,2395,0,0,tick,1697502616,2009841616,2009961456,1697502616,457110284,1695989542.0,2009899674.0,0.0
102,205,2395,0,0,tick,1696471285,2009435942,2009528922,1696471285,457179184,1692303330.0,2009173155.0,0.0
103,207,2395,0,0,tick,1698762968,2009269111,2009087550,1698762968,457504411,1696089881.0,2009404278.0,0.0
104,209,2395,0,0,tick,1584477479,1988817181,1988921334,1584477479,427746850,1867601603.0,1985847582.0,0.0
105,211,2395,0,0,tick,1855588093,1991264355,1993024350,1855588093,514868766,1874328082.0,2009106514.0,0.0
106,213,2395,0,0,tick,1858129192,1993683484,1993716648,1858129192,515423712,1872879077.0,2008118755.0,0.0
107,215,2395,0,0,tick,1872824558,2008693503,2008658112,1872824558,519375263,1867348315.0,2002441400.0,0.0
108,217,2395,0,0,tick,1875352271,2009645082,2009615538,1875352271,520304797,1876899141.0,2009796609.0,0.0
109,219,2395,0,0,tick,1879507356,2009785819,2009773314,1879507356,521179498,1853558973.0,1985959904.0,0.0
110,221,2395,0,0,tick,1862239220,2008899439,2008697526,1862239220,516649839,1874773153.0,2008954795.0,0.0
111,223,2395,0,0,tick,1876465891,2008619373,2008701162,1876465891,520319333,1876472400.0,2008987950.0,0.0
112,225,2395,0,0,tick,1871434285,2009008245,2008959990,1871434285,519630397,1873779750.0,2009333112.0,0.0
113,227,2395,0,0,tick,1872801553,2008975724,2008951518,1872801553,519645126,1861683130.0,1993419365.0,0.0
114,229,2395,0,0,tick,1875196284,2009622792,2009526036,1875196284,520344316,1859449022.0,1992151823.0,0.0
115,231,2395,0,0,tick,1875873725,2009390816,2009559438,1875873725,520905736,1881301475.0,2010063707.0,0.0
116,233,2395,0,0,tick,1878492261,2009291548,2009166984,1878492261,521043439,1877432253.0,2010106697.0,0.0
117,235,2395,0,0,tick,1879292594,2009896033,2009857032,1879292594,521219528,1873114043.0,2009852107.0,0.0
118,237,2395,0,0,tick,1855702477,1986037703,1985905002,1855702477,514708483,1879828147.0,2010070475.0,0.0
119,239,2395,0,0,tick,1879309914,2009481936,2009405370,1879309914,521056133,1861517189.0,1987581865.0,0.0
120,241,2395,0,0,tick,1877859236,2009616258,2009727966,1877859236,521289035,1842611580.0,2008818307.0,0.0
121,243,2395,0,0,tick,1873537693,2009897216,2009970612,1873537693,519843711,1872021262.0,2008954302.0,0.0
122,245,2395,0,0,tick,1869563279,2008619551,2008598520,1869563279,518830810,1854168399.0,1993843971.0,0.0
123,247,2395,0,0,tick,1873706086,2009752859,2009836530,1873706086,519797904,1870003430.0,2007764864.0,0.0
124,249,2395,0,0,tick,1875686201,2009611595,2009532504,1875686201,520247967,1871636376.0,2009491510.0,0.0
125,251,2395,0,0,tick,1871687194,2008822026,2008996488,1871687194,518973740,1871237243.0,2009959319.0,0.0
126,253,2395,0,0,tick,1874702565,2009848415,2009726028,1874702565,519824499,1872516869.0,2009691853.0,0.0
127,255,2395,0,0,tick,1874082776,2008993785,2009047680,1874082776,519817233,1876316452.0,2009270793.0,0.0
128,257,2395,0,0,tick,1858041738,1992747512,1992694290,1858041738,515581191,1852385061.0,1985882890.0,0.0
129,259,2395,0,0,tick,1874409032,2009648098,2009612094,1874409032,519709416,1868486794.0,2009607404.0,0.0
130,261,2395,0,0,tick,1872729677,2009915284,2010005520,1872729677,519500165,1872338937.0,2010188961.0,0.0
131,263,2395,0,0,tick,1873338941,2009658791,2009403372,1873338941,519714121,1874418647.0,2009921297.0,0.0
132,265,2395,0,0,tick,1874274720,2009289416,2009153700,1874274720,519898428,1875648488.0,2009329079.0,0.0
133,267,2395,0,0,tick,1874089250,2009408715,2009306286,1874089250,519725736,1861071869.0,1993463646.0,0.0
134,269,2395,0,0,tick,1860707679,1993117979,1992935076,1860707679,516116995,1873312774.0,2010027179.0,0.0
135,271,2395,0,0,tick,1880871787,2010004828,2009829504,1880871787,521332146,1876180933.0,2009714450.0,0.0
136,273,2395,0,0,tick,1873014187,2009794203,2009830176,1873014187,519802659,1875387769.0,2009809763.0,0.0
137,275,2395,0,0,tick,1715790198,2007374863,2007411660,1715790198,468279542,1694544795.0,2009307371.0,0.0
138,277,2395,0,0,tick,1683146185,2001670210,2001698898,1683146185,453409262,1692399309.0,2009493565.0,0.0
139,279,2395,0,0,tick,1679834802,1993805385,1993547040,1679834802,452359814,1672583165.0,1985699732.0,0.0
140,281,2395,0,0,tick,1688503116,2008929083,2009074074,1688503116,454978338,1696160392.0,2010165919.0,0.0
141,283,2395,0,0,tick,1691381306,2009812257,2009361324,1691381306,455682109,1697396396.0,2009388054.0,0.0
142,285,2395,0,0,tick,1693989071,2009317335,2009342130,1693989071,456007516,1682635974.0,2010152584.0,0.0
143,287,2395,0,0,tick,1694167846,2009979102,2010212046,1694167846,456258027,1689992762.0,2010180559.0,0.0
144,289,2395,0,0,tick,1691029056,2010008995,2009901882,1691029056,455359698,1691686620.0,2008582656.0,0.0
145,291,2395,0,0,tick,1686492226,2009935538,2009764668,1686492226,454502719,1693410903.0,2009665987.0,0.0
146,293,2395,0,0,tick,1685037866,2003172274,2009267346,1685037866,453977601,1694704920.0,2009677178.0,0.0
147,295,2395,0,0,tick,1698753972,2009635370,2009697660,1698753972,457452557,1707778608.0,2009794313.0,0.0
148,297,2395,0,0,tick,1697964115,2009619685,2009489406,1697964115,457081294,1692743541.0,2009933827.0,0.0
149,299,2395,0,0,tick,1669005626,1987384824,1993351926,1669005626,450053440,1698462636.0,2010119955.0,0.0
150,301,2395,0,0,tick,1692639598,2009265540,2009055972,1692639598,456089023,1680381807.0,1993656859.0,0.0
151,303,2395,0,0,tick,1689443620,2001464736,2001524946,1689443620,455248199,1700856773.0,2009847248.0,0.0
152,305,2395,0,0,tick,1702129220,2009415470,2009578578,1702129220,458163582,1698040922.0,2009917810.0,0.0
153,307,2395,0,0,tick,1695706735,2009669612,2009660970,1695706735,456790205,1691115547.0,2009617461.0,0.0
154,309,2395,0,0,tick,1680999984,1993399672,1993384068,1680999984,452878488,1682116868.0,1993847087.0,0.0
155,311,2395,0,0,tick,1696071469,2009220867,2008973244,1696071469,457052204,1699682227.0,2009749728.0,0.0
156,313,2395,0,0,tick,1699856788,2008011912,2008130292,1699856788,457422796,1697202297.0,2009801496.0,0.0
157,315,2395,0,0,tick,1702771538,2009958744,2009862972,1702771538,458399153,1691967632.0,2010175200.0,0.0
158,317,2395,0,0,tick,1698197004,2009804445,2009698794,1698197004,457244760,1698039546.0,2010305893.0,0.0
159,319,2395,0,0,tick,1692713300,2010062152,2009878272,1692713300,456026468,1701507551.0,2008915412.0,0.0
160,321,2395,0,0,tick,1693638208,2009946186,2010220032,1693638208,456265013,1684816492.0,1994241676.0,0.0
