nsample pid coretype expid event pmc0 pmc1 pmc2 pmc3 pmc4
99 2395 0 0 tick 1855753081 2008548795 2008573470 1855753081 514797322
100 2395 0 1 tick 1855738411 2009582112 - 0 -
101 2395 0 0 tick 1853980218 2009621548 2009574000 1853980218 514338846
102 2395 0 1 tick 1854417599 2009296586 - 0 -
103 2395 0 0 tick 1855689667 2009004598 2008876812 1855689667 514705726
104 2395 0 1 tick 1855440898 2009233210 - 0 -
105 2395 0 0 tick 1848632131 2000879740 2000765304 1848632131 513008804
106 2395 0 1 tick 1851700885 2009988486 - 0 -
107 2395 0 0 tick 1856785956 2009790809 2009942130 1856785956 515363716
108 2395 0 1 tick 1860546967 2009802233 - 0 -
109 2395 0 0 tick 1845300463 1995427038 2009258964 1845300463 511651679
110 2395 0 1 tick 1856957996 2009984831 - 0 -
111 2395 0 0 tick 1852145416 2008434856 2008440852 1852145416 513772156
112 2395 0 1 tick 1852841353 2008990491 - 0 -
113 2395 0 0 tick 1848704876 1985586106 1991515608 1848704876 512869962
114 2395 0 1 tick 1878365836 2008915071 - 0 -
115 2395 0 0 tick 1860034465 1993011664 1993058976 1860034465 516099120
116 2395 0 1 tick 1878821298 2010034847 - 0 -
117 2395 0 0 tick 1874593879 2009269587 2009173650 1874593879 520442443
118 2395 0 1 tick 1880844908 2009226807 - 0 -
119 2395 0 0 tick 1880665784 2009969649 2009899830 1880665784 521578205
120 2395 0 1 tick 1862326851 1991877062 - 0 -
121 2395 0 0 tick 1874570243 2009481442 2009268534 1874570243 520069485
122 2395 0 1 tick 1876534043 2009173487 - 0 -
123 2395 0 0 tick 1837662770 1986188053 1991230776 1837662770 510619874
124 2395 0 1 tick 1879482271 2009832191 - 0 -
125 2395 0 0 tick 1874776158 2009863112 2009846862 1874776158 520358768
126 2395 0 1 tick 1865269465 1996979890 - 0 -
127 2395 0 0 tick 1859336548 1987950841 1993185540 1859336548 515680281
128 2395 0 1 tick 1875902422 2009462141 - 0 -
129 2395 0 0 tick 1872730269 2008969419 2009142828 1872730269 519575020
130 2395 0 1 tick 1876059849 2009340657 - 0 -
131 2395 0 0 tick 1872289025 2009508401 2009487930 1872289025 519290086
132 2395 0 1 tick 1876666519 2009633677 - 0 -
133 2395 0 0 tick 1867707543 2006970648 2006931726 1867707543 518145846
134 2395 0 1 tick 1880958791 2010097336 - 0 -
135 2395 0 0 tick 1875779806 2008768992 2008837782 1875779806 520234129
136 2395 0 1 tick 1875498849 2009654020 - 0 -
137 2395 0 0 tick 1875830526 2009548415 2009678070 1875830526 520518804
138 2395 0 1 tick 1876561488 2009434410 - 0 -
139 2395 0 0 tick 1876638373 2006435991 2006677572 1876638373 520298669
140 2395 0 1 tick 1860572781 1988490466 - 0 -
141 2395 0 0 tick 1866980237 1995762851 2001095076 1866980237 518048723
142 2395 0 1 tick 1879703280 2009723072 - 0 -
143 2395 0 0 tick 1864122956 1993507062 1993536960 1864122956 516807652
144 2395 0 1 tick 1859630478 1992596866 - 0 -
145 2395 0 0 tick 1877301749 2009887145 2010056610 1877301749 520684422
146 2395 0 1 tick 1882202320 2010089851 - 0 -
147 2395 0 0 tick 1854290461 1988291339 1993674864 1854290461 514333572
148 2395 0 1 tick 1882454685 2009843202 - 0 -
149 2395 0 0 tick 1875431667 2009847689 2009667570 1875431667 520742758
150 2395 0 1 tick 1876177551 2009887029 - 0 -
151 2395 0 0 tick 1878115513 2009568485 2009380758 1878115513 521025998
152 2395 0 1 tick 1878573693 2008908690 - 0 -
153 2395 0 0 tick 1864588196 2005914321 2005919664 1864588196 517447386
154 2395 0 1 tick 1876804663 2009978120 - 0 -
155 2395 0 0 tick 1838472187 2008921362 2008528560 1838472187 508588392
156 2395 0 1 tick 1683714066 2008638663 - 0 -
157 2395 0 0 tick 1681006356 1986479044 1992693426 1681006356 452597826
158 2395 0 1 tick 1697155686 2009444696 - 0 -
159 2395 0 0 tick 1689496671 2000410751 2000853516 1689496671 455090960
160 2395 0 1 tick 1693736356 2000230531 - 0 -
161 2395 0 0 tick 1684196373 1993244805 1993140258 1684196373 453835527
162 2395 0 1 tick 1698983405 2008770580 - 0 -
163 2395 0 0 tick 1695397556 2008822600 2009002926 1695397556 456897696
164 2395 0 1 tick 1694309367 2006554503 - 0 -
165 2395 0 0 tick 1692107485 2008811376 2008678266 1692107485 456133236
166 2395 0 1 tick 1700824650 2009095720 - 0 -
167 2395 0 0 tick 1704553533 2009227825 2009010336 1704553533 458695236
168 2395 0 1 tick 1693411517 2007971536 - 0 -
169 2395 0 0 tick 1691185944 1990617553 1993391274 1691185944 455111966
170 2395 0 1 tick 1703077501 2010250348 - 0 -
171 2395 0 0 tick 1690960883 2003882849 2009121600 1690960883 455702463
172 2395 0 1 tick 1698226531 2010295740 - 0 -
173 2395 0 0 tick 1704083282 2009122231 2009247486 1704083282 458589396
174 2395 0 1 tick 1688083279 1991587160 - 0 -
175 2395 0 0 tick 1706699419 2009805672 2009727366 1706699419 459367782
176 2395 0 1 tick 1701717177 2010167019 - 0 -
177 2395 0 0 tick 1686042767 1986741928 1992536166 1686042767 453375385
178 2395 0 1 tick 1697629482 2010173511 - 0 -
179 2395 0 0 tick 1692784883 2010042765 2010171978 1692784883 456134528
180 2395 0 1 tick 1695364392 2010066125 - 0 -
181 2395 0 0 tick 1696646601 2009566368 2009712486 1696646601 457007692
182 2395 0 1 tick 1693880546 2007882939 - 0 -
183 2395 0 0 tick 1689968497 2009988281 2010116358 1689968497 455483512
184 2395 0 1 tick 1702461016 2010286044 - 0 -
185 2395 0 0 tick 1695473193 2009635126 2009468016 1695473193 456852340
186 2395 0 1 tick 1698399934 2010194486 - 0 -
187 2395 0 0 tick 1681097429 1985892824 1986151254 1681097429 452541305
188 2395 0 1 tick 1693030417 2010111766 - 0 -
189 2395 0 0 tick 1703439137 2009968864 2009866140 1703439137 458663770
190 2395 0 1 tick 1700289335 2010283611 - 0 -
191 2395 0 0 tick 1698770842 2010041559 2010049746 1698770842 457631847
192 2395 0 1 tick 1699373125 2010248434 - 0 -
193 2395 0 0 tick 1694952371 2007212204 2007316440 1694952371 456320789
194 2395 0 1 tick 1694756337 2009590847 - 0 -
195 2395 0 0 tick 1699686876 2009185102 2009210154 1699686876 457795359
196 2395 0 1 tick 1702238395 2009648244 - 0 -
197 2395 0 0 tick 1703558242 2017323085 2017465656 1703558242 458902851
198 2395 0 1 tick 1690508046 2001933039 - 0 -
199 2395 0 0 tick 1698943658 2009761086 2009803680 1698943658 457686728
200 2395 0 1 tick 1693483897 2009368633 - 0 -
201 2395 0 0 tick 1695294514 2009642043 2009617506 1695294514 456434020
202 2395 0 1 tick 1702050939 2010202825 - 0 -
203 2395 0 0 tick 1697502616 2009841616 2009961456 1697502616 457110284
204 2395 0 1 tick 1695989542 2009899674 - 0 -
205 2395 0 0 tick 1696471285 2009435942 2009528922 1696471285 457179184
206 2395 0 1 tick 1692303330 2009173155 - 0 -
207 2395 0 0 tick 1698762968 2009269111 2009087550 1698762968 457504411
208 2395 0 1 tick 1696089881 2009404278 - 0 -
209 2395 0 0 tick 1584477479 1988817181 1988921334 1584477479 427746850
210 2395 0 1 tick 1867601603 1985847582 - 0 -
211 2395 0 0 tick 1855588093 1991264355 1993024350 1855588093 514868766
212 2395 0 1 tick 1874328082 2009106514 - 0 -
213 2395 0 0 tick 1858129192 1993683484 1993716648 1858129192 515423712
214 2395 0 1 tick 1872879077 2008118755 - 0 -
215 2395 0 0 tick 1872824558 2008693503 2008658112 1872824558 519375263
216 2395 0 1 tick 1867348315 2002441400 - 0 -
217 2395 0 0 tick 1875352271 2009645082 2009615538 1875352271 520304797
218 2395 0 1 tick 1876899141 2009796609 - 0 -
219 2395 0 0 tick 1879507356 2009785819 2009773314 1879507356 521179498
220 2395 0 1 tick 1853558973 1985959904 - 0 -
221 2395 0 0 tick 1862239220 2008899439 2008697526 1862239220 516649839
222 2395 0 1 tick 1874773153 2008954795 - 0 -
223 2395 0 0 tick 1876465891 2008619373 2008701162 1876465891 520319333
224 2395 0 1 tick 1876472400 2008987950 - 0 -
225 2395 0 0 tick 1871434285 2009008245 2008959990 1871434285 519630397
226 2395 0 1 tick 1873779750 2009333112 - 0 -
227 2395 0 0 tick 1872801553 2008975724 2008951518 1872801553 519645126
228 2395 0 1 tick 1861683130 1993419365 - 0 -
229 2395 0 0 tick 1875196284 2009622792 2009526036 1875196284 520344316
230 2395 0 1 tick 1859449022 1992151823 - 0 -
231 2395 0 0 tick 1875873725 2009390816 2009559438 1875873725 520905736
232 2395 0 1 tick 1881301475 2010063707 - 0 -
233 2395 0 0 tick 1878492261 2009291548 2009166984 1878492261 521043439
234 2395 0 1 tick 1877432253 2010106697 - 0 -
235 2395 0 0 tick 1879292594 2009896033 2009857032 1879292594 521219528
236 2395 0 1 tick 1873114043 2009852107 - 0 -
237 2395 0 0 tick 1855702477 1986037703 1985905002 1855702477 514708483
238 2395 0 1 tick 1879828147 2010070475 - 0 -
239 2395 0 0 tick 1879309914 2009481936 2009405370 1879309914 521056133
240 2395 0 1 tick 1861517189 1987581865 - 0 -
241 2395 0 0 tick 1877859236 2009616258 2009727966 1877859236 521289035
242 2395 0 1 tick 1842611580 2008818307 - 0 -
243 2395 0 0 tick 1873537693 2009897216 2009970612 1873537693 519843711
244 2395 0 1 tick 1872021262 2008954302 - 0 -
245 2395 0 0 tick 1869563279 2008619551 2008598520 1869563279 518830810
246 2395 0 1 tick 1854168399 1993843971 - 0 -
247 2395 0 0 tick 1873706086 2009752859 2009836530 1873706086 519797904
248 2395 0 1 tick 1870003430 2007764864 - 0 -
249 2395 0 0 tick 1875686201 2009611595 2009532504 1875686201 520247967
250 2395 0 1 tick 1871636376 2009491510 - 0 -
251 2395 0 0 tick 1871687194 2008822026 2008996488 1871687194 518973740
252 2395 0 1 tick 1871237243 2009959319 - 0 -
253 2395 0 0 tick 1874702565 2009848415 2009726028 1874702565 519824499
254 2395 0 1 tick 1872516869 2009691853 - 0 -
255 2395 0 0 tick 1874082776 2008993785 2009047680 1874082776 519817233
256 2395 0 1 tick 1876316452 2009270793 - 0 -
257 2395 0 0 tick 1858041738 1992747512 1992694290 1858041738 515581191
258 2395 0 1 tick 1852385061 1985882890 - 0 -
259 2395 0 0 tick 1874409032 2009648098 2009612094 1874409032 519709416
260 2395 0 1 tick 1868486794 2009607404 - 0 -
261 2395 0 0 tick 1872729677 2009915284 2010005520 1872729677 519500165
262 2395 0 1 tick 1872338937 2010188961 - 0 -
263 2395 0 0 tick 1873338941 2009658791 2009403372 1873338941 519714121
264 2395 0 1 tick 1874418647 2009921297 - 0 -
265 2395 0 0 tick 1874274720 2009289416 2009153700 1874274720 519898428
266 2395 0 1 tick 1875648488 2009329079 - 0 -
267 2395 0 0 tick 1874089250 2009408715 2009306286 1874089250 519725736
268 2395 0 1 tick 1861071869 1993463646 - 0 -
269 2395 0 0 tick 1860707679 1993117979 1992935076 1860707679 516116995
270 2395 0 1 tick 1873312774 2010027179 - 0 -
271 2395 0 0 tick 1880871787 2010004828 2009829504 1880871787 521332146
272 2395 0 1 tick 1876180933 2009714450 - 0 -
273 2395 0 0 tick 1873014187 2009794203 2009830176 1873014187 519802659
274 2395 0 1 tick 1875387769 2009809763 - 0 -
275 2395 0 0 tick 1715790198 2007374863 2007411660 1715790198 468279542
276 2395 0 1 tick 1694544795 2009307371 - 0 -
277 2395 0 0 tick 1683146185 2001670210 2001698898 1683146185 453409262
278 2395 0 1 tick 1692399309 2009493565 - 0 -
279 2395 0 0 tick 1679834802 1993805385 1993547040 1679834802 452359814
280 2395 0 1 tick 1672583165 1985699732 - 0 -
281 2395 0 0 tick 1688503116 2008929083 2009074074 1688503116 454978338
282 2395 0 1 tick 1696160392 2010165919 - 0 -
283 2395 0 0 tick 1691381306 2009812257 2009361324 1691381306 455682109
284 2395 0 1 tick 1697396396 2009388054 - 0 -
285 2395 0 0 tick 1693989071 2009317335 2009342130 1693989071 456007516
286 2395 0 1 tick 1682635974 2010152584 - 0 -
287 2395 0 0 tick 1694167846 2009979102 2010212046 1694167846 456258027
288 2395 0 1 tick 1689992762 2010180559 - 0 -
289 2395 0 0 tick 1691029056 2010008995 2009901882 1691029056 455359698
290 2395 0 1 tick 1691686620 2008582656 - 0 -
291 2395 0 0 tick 1686492226 2009935538 2009764668 1686492226 454502719
292 2395 0 1 tick 1693410903 2009665987 - 0 -
293 2395 0 0 tick 1685037866 2003172274 2009267346 1685037866 453977601
294 2395 0 1 tick 1694704920 2009677178 - 0 -
295 2395 0 0 tick 1698753972 2009635370 2009697660 1698753972 457452557
296 2395 0 1 tick 1707778608 2009794313 - 0 -
297 2395 0 0 tick 1697964115 2009619685 2009489406 1697964115 457081294
298 2395 0 1 tick 1692743541 2009933827 - 0 -
299 2395 0 0 tick 1669005626 1987384824 1993351926 1669005626 450053440
300 2395 0 1 tick 1698462636 2010119955 - 0 -
301 2395 0 0 tick 1692639598 2009265540 2009055972 1692639598 456089023
302 2395 0 1 tick 1680381807 1993656859 - 0 -
303 2395 0 0 tick 1689443620 2001464736 2001524946 1689443620 455248199
304 2395 0 1 tick 1700856773 2009847248 - 0 -
305 2395 0 0 tick 1702129220 2009415470 2009578578 1702129220 458163582
306 2395 0 1 tick 1698040922 2009917810 - 0 -
307 2395 0 0 tick 1695706735 2009669612 2009660970 1695706735 456790205
308 2395 0 1 tick 1691115547 2009617461 - 0 -
309 2395 0 0 tick 1680999984 1993399672 1993384068 1680999984 452878488
310 2395 0 1 tick 1682116868 1993847087 - 0 -
311 2395 0 0 tick 1696071469 2009220867 2008973244 1696071469 457052204
312 2395 0 1 tick 1699682227 2009749728 - 0 -
313 2395 0 0 tick 1699856788 2008011912 2008130292 1699856788 457422796
314 2395 0 1 tick 1697202297 2009801496 - 0 -
315 2395 0 0 tick 1702771538 2009958744 2009862972 1702771538 458399153
316 2395 0 1 tick 1691967632 2010175200 - 0 -
317 2395 0 0 tick 1698197004 2009804445 2009698794 1698197004 457244760
318 2395 0 1 tick 1698039546 2010305893 - 0 -
319 2395 0 0 tick 1692713300 2010062152 2009878272 1692713300 456026468
320 2395 0 1 tick 1701507551 2008915412 - 0 -
321 2395 0 0 tick 1693638208 2009946186 2010220032 1693638208 456265013
322 2395 0 1 tick 1684816492 1994241676 - 0 -
323 2395 0 0 tick 1700955549 2009628800 2009919186 1700955549 457943970
324 2395 0 1 tick 1696586393 2009562607 - 0 -
325 2395 0 0 tick 1698687348 2009921642 2009862738 1698687348 457493724
326 2395 0 1 tick 1450135653 2007191087 - 0 -
327 2395 0 0 tick 1557793892 2001695251 1998993738 1557793892 476235581
328 2395 0 1 tick 1877776206 2009539916 - 0 -
329 2395 0 0 tick 1850924114 1985249609 1985026398 1850924114 513452203
330 2395 0 1 tick 1873273736 2009800422 - 0 -
