,nsample,pid,coretype,expid,event,pmc0,pmc1,pmc2,pmc3,pmc4,pmc5,pmc6,pmc7
0,1,2202,0,0,tick,997538318,1498301864,1542975024,997538318,291596322,1027304421.0,1930414636.0,0.0
1,3,2202,0,0,tick,1035949487,1936579560,1937728236,1035949487,304296785,1028773459.0,1928661857.0,0.0
2,5,2202,0,0,tick,2089808134,1794674271,1803408246,2089808134,275802045,2035168450.0,2003465841.0,0.0
3,7,2202,0,0,tick,2009476618,1982192045,1987710600,2009476618,549901163,2004600456.0,1985901362.0,0.0
4,9,2202,0,0,tick,2035576463,2002908221,2002448970,2035576463,556750178,2020263554.0,1988244172.0,0.0
5,11,2202,0,0,tick,2039638222,2003861284,2003130762,2039638222,557919942,2015333446.0,1988448512.0,0.0
6,13,2202,0,0,tick,2024462741,1993867691,1993690350,2024462741,553599722,2006287504.0,2001488820.0,0.0
7,15,2202,0,0,tick,2015968012,1988190642,1987410798,2015968012,551522478,2014150256.0,1981343580.0,0.0
8,17,2202,0,0,tick,2018923435,1986744233,1986122370,2018923435,551901224,2027958587.0,2004013273.0,0.0
9,19,2202,0,0,tick,2044604135,2004251664,2003697366,2044604135,559203767,2018817673.0,2001451428.0,0.0
10,21,2202,0,0,tick,2041552014,2003928519,2003144424,2041552014,558464992,2026159160.0,1988094740.0,0.0
11,23,2202,0,0,tick,2029554331,2003119426,2002837404,2029554331,555115446,2031603503.0,2003869742.0,0.0
12,25,2202,0,0,tick,2044207410,2003958479,2003186472,2044207410,559020963,2009209661.0,1987432223.0,0.0
13,27,2202,0,0,tick,2007309798,1987755422,1987202538,2007309798,549222979,2039720815.0,2003951457.0,0.0
14,29,2202,0,0,tick,2022295187,1987508435,1986932484,2022295187,552954984,2043568615.0,2003424489.0,0.0
15,31,2202,0,0,tick,2031497101,2003856188,2003179380,2031497101,555797754,2037676461.0,2004192823.0,0.0
16,33,2202,0,0,tick,2030729037,1995738013,1995151014,2030729037,555278435,2012047231.0,1987742132.0,0.0
17,35,2202,0,0,tick,2025664117,1996698567,2002046058,2025664117,554044468,2038644448.0,2004067993.0,0.0
18,37,2202,0,0,tick,2011949039,1977470023,1987473396,2011949039,550415701,2016115397.0,1988143548.0,0.0
19,39,2202,0,0,tick,2022958820,2003124515,2002616400,2022958820,553491716,2029173016.0,2003495550.0,0.0
20,41,2202,0,0,tick,2031307842,2003284575,2002502130,2031307842,555700452,2038254850.0,2004098839.0,0.0
21,43,2202,0,0,tick,2037423777,2003633922,2003180910,2037423777,557149812,2035728104.0,2004035179.0,0.0
22,45,2202,0,0,tick,2025833624,2004049672,2003428698,2025833624,554142115,2011701096.0,1987391261.0,0.0
23,47,2202,0,0,tick,2008279970,1987047419,1986531198,2008279970,549405282,2017718635.0,1983937594.0,0.0
24,49,2202,0,0,tick,2013859873,1987537090,1986916914,2013859873,550825630,2029356409.0,2003443429.0,0.0
25,51,2202,0,0,tick,2017651204,1985506436,1986892812,2017651204,551516687,2033175375.0,2004236894.0,0.0
26,53,2202,0,0,tick,2027594967,2003467068,2002957512,2027594967,554546890,2037192586.0,2003745106.0,0.0
27,55,2202,0,0,tick,2017013573,1987480825,1986795882,2017013573,551653674,2018637784.0,1991812914.0,0.0
28,57,2202,0,0,tick,2006810840,1987844387,1987199214,2006810840,549100086,2038595714.0,2003767202.0,0.0
29,59,2202,0,0,tick,2013988552,1987640454,1987152012,2013988552,550868911,2021558181.0,2002856937.0,0.0
30,61,2202,0,0,tick,2040250541,2003074284,2002448550,2040250541,557824457,2027019213.0,2003873520.0,0.0
31,63,2202,0,0,tick,2015052305,1986939866,1986444546,2015052305,551086661,2028640494.0,2003853303.0,0.0
32,65,2202,0,0,tick,2018596035,1987092314,1986404340,2018596035,551757981,2030176391.0,2003663755.0,0.0
33,67,2202,0,0,tick,2035090332,2003868297,2003391072,2035090332,556595394,2007335930.0,1979640506.0,0.0
34,69,2202,0,0,tick,2043477222,2003418313,2002823910,2043477222,558476031,2013244732.0,1988297377.0,0.0
35,71,2202,0,0,tick,2017444498,1987817471,1987354386,2017444498,551809922,2040961326.0,2004391314.0,0.0
36,73,2202,0,0,tick,2022344914,2002838089,2002399836,2022344914,553181732,2007500758.0,1987768427.0,0.0
37,75,2202,0,0,tick,2013283722,1985067356,1986560310,2013283722,550488267,2037096502.0,2004428655.0,0.0
38,77,2202,0,0,tick,2002356522,1986222401,1987550298,2002356522,547752413,2026738125.0,1995905563.0,0.0
39,79,2202,0,0,tick,2037751703,2003728064,2003207814,2037751703,557153184,2040495515.0,2003848867.0,0.0
40,81,2202,0,0,tick,2012022818,1987232131,1986517338,2012022818,550342409,2035353416.0,2003053766.0,0.0
41,83,2202,0,0,tick,2005978417,1987210981,1986681474,2005978417,548688267,2027994158.0,2003637999.0,0.0
42,85,2202,0,0,tick,2027551598,2003068792,2002541142,2027551598,554650511,2025073333.0,2002774773.0,0.0
43,87,2202,0,0,tick,2029005050,2002797265,2002388058,2029005050,554768032,2030741982.0,2003576862.0,0.0
44,89,2202,0,0,tick,2013722326,1991102807,1994750076,2013722326,550592019,2015525663.0,1988015819.0,0.0
45,91,2202,0,0,tick,2013996375,1985161471,1986440604,2013996375,550667144,2033929360.0,2003263744.0,0.0
46,93,2202,0,0,tick,2031468484,2003320534,2002841484,2031468484,555595778,2009311328.0,1985553755.0,0.0
47,95,2202,0,0,tick,2024792586,2003801735,2003315448,2024792586,553587690,2024742684.0,2003083822.0,0.0
48,97,2202,0,0,tick,2021437291,1987846706,1987278240,2021437291,552722300,2028404336.0,2003371574.0,0.0
49,99,2202,0,0,tick,2013493526,1987654857,1987056174,2013493526,550807460,2039060103.0,2003448697.0,0.0
50,101,2202,0,0,tick,2023839646,2002684886,2002202166,2023839646,553463798,2031247141.0,2003045166.0,0.0
51,103,2202,0,0,tick,2030359833,2002788699,2002270458,2030359833,555055872,2017071891.0,1987830935.0,0.0
52,105,2202,0,0,tick,2016489664,1987710087,1987030422,2016489664,551432268,2035294498.0,2004309261.0,0.0
53,107,2202,0,0,tick,2010327574,1987616715,1987054902,2010327574,549868259,2034154910.0,2004529167.0,0.0
54,109,2202,0,0,tick,2023869529,1987705497,1987085274,2023869529,553068458,2023890745.0,2002864812.0,0.0
55,111,2202,0,0,tick,2037480247,2002926539,2002283634,2037480247,556971614,2020620669.0,1988014037.0,0.0
56,113,2202,0,0,tick,2034086916,2003207827,2002514112,2034086916,555784288,2024892905.0,2003220567.0,0.0
