nsample pid coretype expid event pmc0 pmc1 pmc2 pmc3 pmc4
1 2342 0 0 tick 1298050507 1459457989 1493213652 1298050507 335179259
2 2342 0 1 tick 1205247048 1948053802 - 0 -
3 2342 0 0 tick 1106019872 1937364973 1938424692 1106019872 305039417
4 2342 0 1 tick 1969551258 1730929332 - 0 -
5 2342 0 0 tick 2032376539 1934044881 1939386594 2032376539 477813005
6 2342 0 1 tick 2288695165 2006209110 - 0 -
7 2342 0 0 tick 2031572423 2001681455 2001846174 2031572423 477063477
8 2342 0 1 tick 2018846195 1984926782 - 0 -
9 2342 0 0 tick 1989947575 1995260993 1993822134 1989947575 463790243
10 2342 0 1 tick 1967435855 1983024517 - 0 -
11 2342 0 0 tick 2040862713 1996792121 1995203154 2040862713 473110904
12 2342 0 1 tick 2031429789 1989849611 - 0 -
13 2342 0 0 tick 2188753055 2004796362 2003864004 2188753055 500108087
14 2342 0 1 tick 2050185111 1992204259 - 0 -
15 2342 0 0 tick 2244699377 2006806767 2005861428 2244699377 511200684
16 2342 0 1 tick 2065817820 2005480044 - 0 -
17 2342 0 0 tick 2187777145 1990919003 1990178208 2187777145 500184905
18 2342 0 1 tick 1944877528 2004277257 - 0 -
19 2342 0 0 tick 2093754350 1980005939 1987432560 2093754350 483883188
20 2342 0 1 tick 1892146937 1979707638 - 0 -
21 2342 0 0 tick 2222191523 2000914278 1999778496 2222191523 505667334
22 2342 0 1 tick 1989947909 2000110230 - 0 -
23 2342 0 0 tick 2106404390 2003139221 2001550080 2106404390 484167644
24 2342 0 1 tick 1999837245 2001577818 - 0 -
25 2342 0 0 tick 2130682626 1989105478 1988333508 2130682626 492975151
26 2342 0 1 tick 2200516815 1988829061 - 0 -
27 2342 0 0 tick 2081026202 1986117735 1987623678 2081026202 480892174
28 2342 0 1 tick 1932607547 1996151528 - 0 -
29 2342 0 0 tick 2118281563 1994475880 1996910352 2118281563 487532208
30 2342 0 1 tick 2091282437 2006083867 - 0 -
31 2342 0 0 tick 2060566654 1992606748 1994607108 2060566654 477426187
32 2342 0 1 tick 2222553531 2003804353 - 0 -
33 2342 0 0 tick 1762902979 1999113483 1999752276 1762902979 420680170
34 2342 0 1 tick 2063238375 1987821414 - 0 -
35 2342 0 0 tick 2111828466 1985899599 1993379640 2111828466 485799002
36 2342 0 1 tick 1945294891 1992344282 - 0 -
37 2342 0 0 tick 2254700582 2002320462 2001231210 2254700582 511811516
38 2342 0 1 tick 2121612301 1988482148 - 0 -
39 2342 0 0 tick 2104039492 1993509265 2001390996 2104039492 484042440
40 2342 0 1 tick 2220803511 2005872303 - 0 -
41 2342 0 0 tick 2087814350 1988380158 1987270116 2087814350 484340940
42 2342 0 1 tick 1939968753 2004954995 - 0 -
43 2342 0 0 tick 2095488062 2005268362 2004032898 2095488062 484305335
44 2342 0 1 tick 2346763554 2006432874 - 0 -
45 2342 0 0 tick 2047032035 1988929423 1987389750 2047032035 474347514
46 2342 0 1 tick 2107212072 1997872011 - 0 -
47 2342 0 0 tick 1895702459 1984607406 1992280848 1895702459 445732029
48 2342 0 1 tick 1976439301 2003217575 - 0 -
49 2342 0 0 tick 2086103136 1987777864 1986371460 2086103136 481148997
50 2342 0 1 tick 2050741915 1990023368 - 0 -
51 2342 0 0 tick 2261032970 2006975435 2005939164 2261032970 515339780
52 2342 0 1 tick 2103854637 1988812304 - 0 -
53 2342 0 0 tick 2064437087 2006081718 2004750030 2064437087 479164667
54 2342 0 1 tick 2079242888 1994775191 - 0 -
55 2342 0 0 tick 1960765930 1985854343 1990465698 1960765930 457504572
56 2342 0 1 tick 2175679905 2002865788 - 0 -
57 2342 0 0 tick 1987591262 1986077040 1984866636 1987591262 466266551
58 2342 0 1 tick 2131100001 1990455937 - 0 -
59 2342 0 0 tick 2094331487 2004743887 2003359056 2094331487 482481589
60 2342 0 1 tick 2044679426 1985822987 - 0 -
61 2342 0 0 tick 1880934802 1983769216 1983271686 1880934802 442916823
62 2342 0 1 tick 2050953132 1983598798 - 0 -
63 2342 0 0 tick 2120444315 2005109555 2003541306 2120444315 486895793
64 2342 0 1 tick 2038053999 1996989617 - 0 -
65 2342 0 0 tick 1863778734 1984648619 1985072886 1863778734 439202214
66 2342 0 1 tick 2225025856 2005281871 - 0 -
67 2342 0 0 tick 2194882327 2006387612 2005392012 2194882327 502554654
68 2342 0 1 tick 2167492242 2006186045 - 0 -
69 2342 0 0 tick 2153733610 1994016729 1994354700 2153733610 493234960
70 2342 0 1 tick 2008167527 2003133376 - 0 -
71 2342 0 0 tick 2112014155 2003564559 2001816120 2112014155 485713713
72 2342 0 1 tick 2095111477 1998507257 - 0 -
73 2342 0 0 tick 1988032021 1999588826 2002196364 1988032021 465281113
74 2342 0 1 tick 2127927832 2003974736 - 0 -
75 2342 0 0 tick 2052603023 1988951081 1987399212 2052603023 475710296
76 2342 0 1 tick 1909140461 1986487942 - 0 -
77 2342 0 0 tick 2002513330 1993435479 1993932528 2002513330 465589872
78 2342 0 1 tick 2054130959 1981261249 - 0 -
79 2342 0 0 tick 1987811213 1994323238 1995134748 1987811213 465792389
80 2342 0 1 tick 2025150926 1993605365 - 0 -
81 2342 0 0 tick 2063277783 1999962448 2004705132 2063277783 478081461
82 2342 0 1 tick 2062553257 2005139574 - 0 -
83 2342 0 0 tick 2072891619 2005118763 2003403264 2072891619 479733475
84 2342 0 1 tick 2085150772 2004905058 - 0 -
85 2342 0 0 tick 1988356182 2002143746 2002217580 1988356182 468556905
86 2342 0 1 tick 2096073379 2005812662 - 0 -
87 2342 0 0 tick 2169653830 2006511651 2005551420 2169653830 499086538
88 2342 0 1 tick 1900965887 1983524599 - 0 -
89 2342 0 0 tick 2160080831 2001503957 2000505894 2160080831 497935428
90 2342 0 1 tick 2170795734 1995195580 - 0 -
91 2342 0 0 tick 2109098814 1982530839 1987242726 2109098814 484845698
92 2342 0 1 tick 1845341169 1985413279 - 0 -
93 2342 0 0 tick 2025155498 2003547521 2002040970 2025155498 470635919
94 2342 0 1 tick 2139002376 1989240192 - 0 -
95 2342 0 0 tick 2043365634 2005372165 2004237432 2043365634 477626750
96 2342 0 1 tick 2161157561 2005959472 - 0 -
97 2342 0 0 tick 1920794070 2002981852 2001346986 1920794070 452068202
98 2342 0 1 tick 2074527587 2004976320 - 0 -
99 2342 0 0 tick 1975005151 2004193469 2002303488 1975005151 460074518
100 2342 0 1 tick 2092802974 1991408764 - 0 -
101 2342 0 0 tick 2218224241 2006564480 2005504668 2218224241 507323835
102 2342 0 1 tick 2012917030 2005803641 - 0 -
103 2342 0 0 tick 1880548705 1992710149 1993329510 1880548705 445523517
104 2342 0 1 tick 2036183286 2002450653 - 0 -
105 2342 0 0 tick 1988337103 2003629451 2001976836 1988337103 463760411
106 2342 0 1 tick 2205068753 1980904360 - 0 -
107 2342 0 0 tick 2286160227 2001415310 2005168458 2286160227 517961915
108 2342 0 1 tick 2253436068 2005039399 - 0 -
109 2342 0 0 tick 2166179531 1991779865 1994641296 2166179531 494802501
110 2342 0 1 tick 1950551160 1981863076 - 0 -
111 2342 0 0 tick 1953062033 1998260386 1998524274 1953062033 456943077
112 2342 0 1 tick 1954324185 1987369283 - 0 -
113 2342 0 0 tick 2379292103 2007409620 2006553528 2379292103 536871576
114 2342 0 1 tick 2102924074 1984148882 - 0 -
115 2342 0 0 tick 2017194716 1981803954 1982669550 2017194716 467335252
116 2342 0 1 tick 2115808970 1988982181 - 0 -
117 2342 0 0 tick 2219855505 1997897025 1997834952 2219855505 507174443
118 2342 0 1 tick 1966269142 1994457285 - 0 -
119 2342 0 0 tick 2070741355 1989349396 1988070006 2070741355 480589242
120 2342 0 1 tick 2158236158 2003329938 - 0 -
121 2342 0 0 tick 1798755698 1983485317 1984839048 1798755698 426136271
122 2342 0 1 tick 1994662735 1992119078 - 0 -
123 2342 0 0 tick 2095025231 1988734197 1989018462 2095025231 483593668
124 2342 0 1 tick 2229632791 2004970101 - 0 -
125 2342 0 0 tick 2131796422 1996627100 1997430426 2131796422 492374496
126 2342 0 1 tick 2102427226 1997648701 - 0 -
127 2342 0 0 tick 1874314127 1989751700 1994411364 1874314127 443401476
128 2342 0 1 tick 2016982873 1983144843 - 0 -
129 2342 0 0 tick 1909799354 1988892245 1987454514 1909799354 449429445
130 2342 0 1 tick 2038690535 1986285272 - 0 -
131 2342 0 0 tick 1960243270 2003905505 2002627434 1960243270 461058105
132 2342 0 1 tick 2310044190 2001075542 - 0 -
133 2342 0 0 tick 2049721306 2003882958 2002895766 2049721306 473731226
134 2342 0 1 tick 2263621915 2005805267 - 0 -
135 2342 0 0 tick 2020696692 1986867379 1986948024 2020696692 466958810
136 2342 0 1 tick 1922931403 1986938385 - 0 -
137 2342 0 0 tick 1874488883 2000373245 2003011056 1874488883 445502856
138 2342 0 1 tick 2060941433 1994031174 - 0 -
139 2342 0 0 tick 2072837953 1990060039 1988799282 2072837953 483691714
140 2342 0 1 tick 2155735904 2005837181 - 0 -
141 2342 0 0 tick 2167166888 2006308400 2005326198 2167166888 500260684
142 2342 0 1 tick 2118739707 2003805670 - 0 -
143 2342 0 0 tick 1921941595 1995852261 1994486658 1921941595 450292798
