,nsample,pid,coretype,expid,event,pmc0,pmc1,pmc2,pmc3,pmc4,pmc5,pmc6,pmc7
0,1,2493,0,0,tick,1184092382,1606190717,1611353742,1184092382,310848397,1329333602,1983000167,0
1,3,2493,0,0,tick,1961639470,1993891398,1993709604,1961639470,385718306,1788228480,1975779938,0
2,5,2493,0,0,tick,1154934900,1968397759,1967402382,1154934900,320528028,2053240983,2006669851,0
3,7,2493,0,0,tick,1759998136,2005526787,2004940836,1759998136,368049819,1182967480,1986070526,0
4,9,2493,0,0,tick,1755984943,2005068619,2004689352,1755984943,367295588,2053131138,2006639533,0
5,11,2493,0,0,tick,1448161161,1990096896,1989419298,1448161161,359191340,1361635541,1991097949,0
6,13,2493,0,0,tick,1967002187,1997942269,1997857818,1967002187,386770934,1792468129,1983126549,0
7,15,2493,0,0,tick,1168309693,1986646774,1985539686,1168309693,325134589,2054728667,2006765594,0
8,17,2493,0,0,tick,1753741134,2004716755,2004318954,1753741134,365504041,1166634521,1984756970,0
9,19,2493,0,0,tick,1738736627,1985703329,1988472456,1738736627,360774715,2068644911,2005704385,0
10,21,2493,0,0,tick,1423523861,1989453982,1988726892,1423523861,359099566,1406249880,1998693499,0
11,23,2493,0,0,tick,1974942591,2004854828,2004699402,1974942591,388453909,1788922160,1995864097,0
12,25,2493,0,0,tick,1143863229,1985070668,1983828048,1143863229,318808146,2075510901,1995230037,0
13,27,2493,0,0,tick,1750346646,2004235227,2003976096,1750346646,363720696,1144821445,1987111048,0
14,29,2493,0,0,tick,1748693986,2004519541,2004121836,1748693986,365670178,2121406138,2007363148,0
15,31,2493,0,0,tick,1350975511,1989252726,1988398122,1350975511,356077993,1497051310,2000496620,0
16,33,2493,0,0,tick,1987484670,2005253714,2005012572,1987484670,389803695,1770333188,1999787847,0
17,35,2493,0,0,tick,1078732967,1972179971,1979131230,1078732967,304622721,2129670435,2006395030,0
18,37,2493,0,0,tick,1750826694,1946869431,1946548278,1750826694,342251491,2336255683,2008284970,0
19,39,2493,0,0,tick,2276492666,2009639115,2009522064,2276492666,483954118,2314540848,2009671760,0
20,41,2493,0,0,tick,2272961550,2009516797,2009500392,2272961550,503038566,2243596767,1994686723,0
21,43,2493,0,0,tick,2235786748,1983088061,1983065892,2235786748,495769790,2229180806,1975249948,0
22,45,2493,0,0,tick,2251667033,1993295142,1993304820,2251667033,498715198,2319081396,2007388148,0
23,47,2493,0,0,tick,2266675726,1994540641,1994367144,2266675726,483094972,2283302932,1994702749,0
24,49,2493,0,0,tick,2249731606,1994482287,1994428728,2249731606,498706757,2063640501,1983586604,0
25,51,2493,0,0,tick,2003175937,1999903899,1999590594,2003175937,265990224,1992857974,1999911479,0
26,53,2493,0,0,tick,1956241155,2000355739,1999896978,1956241155,263928184,1630892868,1979741866,0
27,55,2493,0,0,tick,1665682371,2000976567,2000888412,1665682371,217982428,1648294889,2001720047,0
28,57,2493,0,0,tick,1646483259,1999723496,1999609932,1646483259,212005271,1666101531,2002190876,0
29,59,2493,0,0,tick,1632182262,1980291247,1986127500,1632182262,210217316,1668379942,2002585336,0
30,61,2493,0,0,tick,1773310562,2000195761,1999993422,1773310562,228343173,1981464767,1984920998,0
31,63,2493,0,0,tick,1981730510,2000254900,1999799004,1981730510,263011024,1968761039,1983351683,0
32,65,2493,0,0,tick,1978600883,1992275290,1991891478,1978600883,262635037,1989236757,1999501789,0
33,67,2493,0,0,tick,1977497050,1985077738,1984657824,1977497050,262533029,1959712080,1983602575,0
34,69,2493,0,0,tick,1998931955,2000942266,2000556672,1998931955,265293497,1992946329,2001170028,0
35,71,2493,0,0,tick,1967293325,1992901842,1992394956,1967293325,261090960,2001096569,2001021269,0
36,73,2493,0,0,tick,1994642263,2001469488,2001044766,1994642263,264881376,1982195244,2001734493,0
37,75,2493,0,0,tick,1983201403,1984788214,1984514586,1983201403,263192706,1993160078,2000261424,0
38,77,2493,0,0,tick,1992232990,2000205201,1999759368,1992232990,264445076,1984967287,2001362734,0
39,79,2493,0,0,tick,1997099318,2000973624,2000549526,1997099318,265037742,1976046216,1984518395,0
40,81,2493,0,0,tick,1980938321,2000730102,2000173950,1980938321,262917171,2002818661,2000479893,0
41,83,2493,0,0,tick,1977440095,1985221473,1984669170,1977440095,262470225,1979621682,2001724743,0
42,85,2493,0,0,tick,1985246702,1981742604,1985358330,1985246702,263534560,1981306662,1990561770,0
43,87,2493,0,0,tick,1991070378,2001664545,2001211098,1991070378,264237381,1993828901,2001964655,0
44,89,2493,0,0,tick,1977525082,1984970362,1984554588,1977525082,262493547,1994926883,2001498043,0
45,91,2493,0,0,tick,1965985471,1984543976,1984069812,1965985471,260970288,1998577752,1999585718,0
46,93,2493,0,0,tick,1994374951,2000554985,2000020992,1994374951,264717582,1962296395,1985523765,0
47,95,2493,0,0,tick,2001300451,2001384086,2001051810,2001300451,265656080,1993505709,2000996443,0
48,97,2493,0,0,tick,1986732326,1999703620,1999288320,1986732326,263709764,1977683616,1982706874,0
49,99,2493,0,0,tick,1991824114,2001384532,2000908938,1991824114,264368575,1995959739,2001932930,0
50,101,2493,0,0,tick,1980933385,2000363766,1999887852,1980933385,262916768,1999382281,2001017887,0
51,103,2493,0,0,tick,1974354336,1985555006,1985141610,1974354336,262064205,1974722479,2000541159,0
52,105,2493,0,0,tick,1979434417,1976180970,1983769104,1979434417,262774183,1994964013,2001332798,0
53,107,2493,0,0,tick,1979439938,2000534639,2000050866,1979439938,262708998,2002489874,1999865186,0
54,109,2493,0,0,tick,1993182711,2000750137,2000328684,1993182711,264645824,1990966162,2001823881,0
55,111,2493,0,0,tick,1991052765,2000856772,2000379660,1991052765,264388683,1996121626,2001545266,0
56,113,2493,0,0,tick,1977328948,1985275753,1984800018,1977328948,262454740,1964684327,1985438467,0
57,115,2493,0,0,tick,1983290367,1981443478,1985138412,1983290367,263252180,1977735820,1985762998,0
58,117,2493,0,0,tick,1965112287,1985592109,1984999068,1965112287,260817060,1988396328,1985596535,0
59,119,2493,0,0,tick,1972199718,1979292172,1984843704,1972199718,261707014,1990720443,2001519379,0
60,121,2493,0,0,tick,1995312708,2000268337,1999896438,1995312708,264894131,1992479680,2000839844,0
61,123,2493,0,0,tick,1986252159,1992869354,1992315978,1986252159,263629354,1964426113,1985594664,0
62,125,2493,0,0,tick,2000677826,2001740996,2001400302,2000677826,265523803,1994174324,2002031456,0
63,127,2493,0,0,tick,1980387406,2001610439,2001126588,1980387406,262877605,1998820803,1996251122,0
64,129,2493,0,0,tick,1994892701,2001234219,2000758590,1994892701,264832550,1981156800,2000137896,0
65,131,2493,0,0,tick,1983947803,1985489049,1985171826,1983947803,263285319,1992783294,2000756383,0
66,133,2493,0,0,tick,1993649209,1999865603,1999375278,1993649209,264644390,1985621352,1999874586,0
67,135,2493,0,0,tick,1980010201,1985460140,1985091228,1980010201,262845137,1992133450,2001564688,0
68,137,2493,0,0,tick,1981437839,2000897886,2000472072,1981437839,263031939,2003784164,2001798031,0
69,139,2493,0,0,tick,1990976056,1999618121,1999164534,1990976056,264215726,1980212868,2001321753,0
70,141,2493,0,0,tick,2004840090,2001212982,2000918334,2004840090,266151945,1973982788,2001618172,0
71,143,2493,0,0,tick,1972052250,1983869901,1983367776,1972052250,261786095,1994264491,1999762555,0
72,145,2493,0,0,tick,1973439885,1984905098,1984581948,1973439885,261903124,1994963695,2001777602,0
73,147,2493,0,0,tick,1966750752,1985375990,1984862856,1966750752,261034261,1983222423,1985581843,0
74,149,2493,0,0,tick,1986100538,1992866700,1992378546,1986100538,263679503,1981279630,2001505932,0
75,151,2493,0,0,tick,2000439061,2000362135,1999933242,2000439061,265521015,1993301655,1999904205,0
76,153,2493,0,0,tick,1968683642,1984232191,1983703128,1968683642,261276916,1979366186,1983644433,0
77,155,2493,0,0,tick,1966365341,1977633666,1977219138,1966365341,261017356,1994830922,2000716630,0
78,157,2493,0,0,tick,1971003731,1990595974,1999108824,1971003731,261566589,2000764526,2001471993,0
79,159,2493,0,0,tick,1993757503,1999860427,1999458042,1993757503,264675736,1978014179,2000875645,0
80,161,2493,0,0,tick,2003445238,2000637284,2000229576,2003445238,266094766,1994717395,2001747672,0
81,163,2493,0,0,tick,1974783465,2001528504,2001026982,1974783465,262126575,2003647004,2001529058,0
82,165,2493,0,0,tick,1968555201,1977631427,1977141036,1968555201,261345045,1965579776,1977846458,0
83,167,2493,0,0,tick,1980308376,1993122577,1993010472,1980308376,262936125,1993440077,2001379406,0
84,169,2493,0,0,tick,1981842257,2001607395,2001560178,1981842257,263088410,1750950932,2002593539,0
85,171,2493,0,0,tick,1630749685,1986037372,1986006312,1630749685,210544354,1636221244,1999566140,0
86,173,2493,0,0,tick,1672207547,2001179111,2001064680,1672207547,221085991,1652883258,2002089645,0
87,175,2493,0,0,tick,1650838882,1978176597,1985931432,1650838882,218416585,1632798972,1986476153,0
88,177,2493,0,0,tick,1656068711,1996218186,2002031742,1656068711,215344321,1650112977,2001459305,0
89,179,2493,0,0,tick,1638299922,1993848176,1993767630,1638299922,210807085,1664523840,2001280274,0
90,181,2493,0,0,tick,1647168483,1999763229,1999834110,1647168483,212092731,1668806982,2001516761,0
91,183,2493,0,0,tick,1650746647,2000729831,2000772402,1650746647,212366482,1660293564,2002281606,0
92,185,2493,0,0,tick,1643710492,1986710652,1986481644,1643710492,215871254,1631890880,1986239826,0
93,187,2493,0,0,tick,1656086730,1994350008,1994242686,1656086730,219074934,1643935406,2002108817,0
94,189,2493,0,0,tick,1664191943,2001568476,2001523782,1664191943,220084644,1650253202,2000691789,0
95,191,2493,0,0,tick,1644084008,1993652133,1993553298,1644084008,211530866,1671428394,2002724322,0
96,193,2493,0,0,tick,1648320445,2000773163,2000677344,1648320445,212059354,1668899980,2000995887,0
97,195,2493,0,0,tick,1649064609,2000845386,2000630112,1649064609,212324311,1661007828,2003004052,0
98,197,2493,0,0,tick,1648368017,2002207040,2002005366,1648368017,211969647,1631706960,1978321175,0
99,199,2493,0,0,tick,1667344929,2001158465,2000951574,1667344929,220302134,1650938241,2000999720,0
100,201,2493,0,0,tick,1966393873,1961578430,1964715924,1966393873,371534765,2244788249,2009485435,0
101,203,2493,0,0,tick,2296440681,2009834748,2009693022,2296440681,487134407,2261697384,1987038692,0
102,205,2493,0,0,tick,2254355969,2008845594,2008834794,2254355969,496912139,2242332072,2008594569,0
103,207,2493,0,0,tick,2236363568,1994664636,2000547798,2236363568,495926128,2255111431,2009539708,0
104,209,2493,0,0,tick,2285029663,2009726608,2009654166,2285029663,505243755,2269451344,2008579460,0
105,211,2493,0,0,tick,2338678492,2007780129,2007725328,2338678492,514920627,2242675980,1995690962,0
106,213,2493,0,0,tick,2244369806,1996169137,1996080822,2244369806,497629256,2140663075,2000893933,0
107,215,2493,0,0,tick,1980638739,2000374958,1999951620,1980638739,263128570,1986341417,1979166105,0
108,217,2493,0,0,tick,1991461716,2000686805,2000328924,1991461716,264437183,1978609396,1983900433,0
