nsample pid coretype expid event pmc0 pmc1 pmc2 pmc3 pmc4
1 2493 0 0 tick 1184092382 1606190717 1611353742 1184092382 310848397
2 2493 0 1 tick 1329333602 1983000167 - 0 -
3 2493 0 0 tick 1961639470 1993891398 1993709604 1961639470 385718306
4 2493 0 1 tick 1788228480 1975779938 - 0 -
5 2493 0 0 tick 1154934900 1968397759 1967402382 1154934900 320528028
6 2493 0 1 tick 2053240983 2006669851 - 0 -
7 2493 0 0 tick 1759998136 2005526787 2004940836 1759998136 368049819
8 2493 0 1 tick 1182967480 1986070526 - 0 -
9 2493 0 0 tick 1755984943 2005068619 2004689352 1755984943 367295588
10 2493 0 1 tick 2053131138 2006639533 - 0 -
11 2493 0 0 tick 1448161161 1990096896 1989419298 1448161161 359191340
12 2493 0 1 tick 1361635541 1991097949 - 0 -
13 2493 0 0 tick 1967002187 1997942269 1997857818 1967002187 386770934
14 2493 0 1 tick 1792468129 1983126549 - 0 -
15 2493 0 0 tick 1168309693 1986646774 1985539686 1168309693 325134589
16 2493 0 1 tick 2054728667 2006765594 - 0 -
17 2493 0 0 tick 1753741134 2004716755 2004318954 1753741134 365504041
18 2493 0 1 tick 1166634521 1984756970 - 0 -
19 2493 0 0 tick 1738736627 1985703329 1988472456 1738736627 360774715
20 2493 0 1 tick 2068644911 2005704385 - 0 -
21 2493 0 0 tick 1423523861 1989453982 1988726892 1423523861 359099566
22 2493 0 1 tick 1406249880 1998693499 - 0 -
23 2493 0 0 tick 1974942591 2004854828 2004699402 1974942591 388453909
24 2493 0 1 tick 1788922160 1995864097 - 0 -
25 2493 0 0 tick 1143863229 1985070668 1983828048 1143863229 318808146
26 2493 0 1 tick 2075510901 1995230037 - 0 -
27 2493 0 0 tick 1750346646 2004235227 2003976096 1750346646 363720696
28 2493 0 1 tick 1144821445 1987111048 - 0 -
29 2493 0 0 tick 1748693986 2004519541 2004121836 1748693986 365670178
30 2493 0 1 tick 2121406138 2007363148 - 0 -
31 2493 0 0 tick 1350975511 1989252726 1988398122 1350975511 356077993
32 2493 0 1 tick 1497051310 2000496620 - 0 -
33 2493 0 0 tick 1987484670 2005253714 2005012572 1987484670 389803695
34 2493 0 1 tick 1770333188 1999787847 - 0 -
35 2493 0 0 tick 1078732967 1972179971 1979131230 1078732967 304622721
36 2493 0 1 tick 2129670435 2006395030 - 0 -
37 2493 0 0 tick 1750826694 1946869431 1946548278 1750826694 342251491
38 2493 0 1 tick 2336255683 2008284970 - 0 -
39 2493 0 0 tick 2276492666 2009639115 2009522064 2276492666 483954118
40 2493 0 1 tick 2314540848 2009671760 - 0 -
41 2493 0 0 tick 2272961550 2009516797 2009500392 2272961550 503038566
42 2493 0 1 tick 2243596767 1994686723 - 0 -
43 2493 0 0 tick 2235786748 1983088061 1983065892 2235786748 495769790
44 2493 0 1 tick 2229180806 1975249948 - 0 -
45 2493 0 0 tick 2251667033 1993295142 1993304820 2251667033 498715198
46 2493 0 1 tick 2319081396 2007388148 - 0 -
47 2493 0 0 tick 2266675726 1994540641 1994367144 2266675726 483094972
48 2493 0 1 tick 2283302932 1994702749 - 0 -
49 2493 0 0 tick 2249731606 1994482287 1994428728 2249731606 498706757
50 2493 0 1 tick 2063640501 1983586604 - 0 -
51 2493 0 0 tick 2003175937 1999903899 1999590594 2003175937 265990224
52 2493 0 1 tick 1992857974 1999911479 - 0 -
53 2493 0 0 tick 1956241155 2000355739 1999896978 1956241155 263928184
54 2493 0 1 tick 1630892868 1979741866 - 0 -
55 2493 0 0 tick 1665682371 2000976567 2000888412 1665682371 217982428
56 2493 0 1 tick 1648294889 2001720047 - 0 -
57 2493 0 0 tick 1646483259 1999723496 1999609932 1646483259 212005271
58 2493 0 1 tick 1666101531 2002190876 - 0 -
59 2493 0 0 tick 1632182262 1980291247 1986127500 1632182262 210217316
60 2493 0 1 tick 1668379942 2002585336 - 0 -
61 2493 0 0 tick 1773310562 2000195761 1999993422 1773310562 228343173
62 2493 0 1 tick 1981464767 1984920998 - 0 -
63 2493 0 0 tick 1981730510 2000254900 1999799004 1981730510 263011024
64 2493 0 1 tick 1968761039 1983351683 - 0 -
65 2493 0 0 tick 1978600883 1992275290 1991891478 1978600883 262635037
66 2493 0 1 tick 1989236757 1999501789 - 0 -
67 2493 0 0 tick 1977497050 1985077738 1984657824 1977497050 262533029
68 2493 0 1 tick 1959712080 1983602575 - 0 -
69 2493 0 0 tick 1998931955 2000942266 2000556672 1998931955 265293497
70 2493 0 1 tick 1992946329 2001170028 - 0 -
71 2493 0 0 tick 1967293325 1992901842 1992394956 1967293325 261090960
72 2493 0 1 tick 2001096569 2001021269 - 0 -
73 2493 0 0 tick 1994642263 2001469488 2001044766 1994642263 264881376
74 2493 0 1 tick 1982195244 2001734493 - 0 -
75 2493 0 0 tick 1983201403 1984788214 1984514586 1983201403 263192706
76 2493 0 1 tick 1993160078 2000261424 - 0 -
77 2493 0 0 tick 1992232990 2000205201 1999759368 1992232990 264445076
78 2493 0 1 tick 1984967287 2001362734 - 0 -
79 2493 0 0 tick 1997099318 2000973624 2000549526 1997099318 265037742
80 2493 0 1 tick 1976046216 1984518395 - 0 -
81 2493 0 0 tick 1980938321 2000730102 2000173950 1980938321 262917171
82 2493 0 1 tick 2002818661 2000479893 - 0 -
83 2493 0 0 tick 1977440095 1985221473 1984669170 1977440095 262470225
84 2493 0 1 tick 1979621682 2001724743 - 0 -
85 2493 0 0 tick 1985246702 1981742604 1985358330 1985246702 263534560
86 2493 0 1 tick 1981306662 1990561770 - 0 -
87 2493 0 0 tick 1991070378 2001664545 2001211098 1991070378 264237381
88 2493 0 1 tick 1993828901 2001964655 - 0 -
89 2493 0 0 tick 1977525082 1984970362 1984554588 1977525082 262493547
90 2493 0 1 tick 1994926883 2001498043 - 0 -
91 2493 0 0 tick 1965985471 1984543976 1984069812 1965985471 260970288
92 2493 0 1 tick 1998577752 1999585718 - 0 -
93 2493 0 0 tick 1994374951 2000554985 2000020992 1994374951 264717582
94 2493 0 1 tick 1962296395 1985523765 - 0 -
95 2493 0 0 tick 2001300451 2001384086 2001051810 2001300451 265656080
96 2493 0 1 tick 1993505709 2000996443 - 0 -
97 2493 0 0 tick 1986732326 1999703620 1999288320 1986732326 263709764
98 2493 0 1 tick 1977683616 1982706874 - 0 -
99 2493 0 0 tick 1991824114 2001384532 2000908938 1991824114 264368575
100 2493 0 1 tick 1995959739 2001932930 - 0 -
101 2493 0 0 tick 1980933385 2000363766 1999887852 1980933385 262916768
102 2493 0 1 tick 1999382281 2001017887 - 0 -
103 2493 0 0 tick 1974354336 1985555006 1985141610 1974354336 262064205
