nsample pid coretype expid event pmc0 pmc1 pmc2 pmc3 pmc4
1 2311 0 0 tick 2060377189 1822192127 1834317348 2060377189 415205561
2 2311 0 1 tick 1737510909 1957820342 - 0 -
3 2311 0 0 tick 1940359693 1972628013 1972633542 1940359693 78032412
4 2311 0 1 tick 2022884864 1982819603 - 0 -
5 2311 0 0 tick 2013303027 1982674057 1982677974 2013303027 79477221
6 2311 0 1 tick 1934885093 1967568649 - 0 -
7 2311 0 0 tick 1611828096 2003208548 2009227710 1611828096 14093693
8 2311 0 1 tick 1702024088 2010698049 - 0 -
9 2311 0 0 tick 1765539879 1999174298 2001167490 1765539879 17795060
10 2311 0 1 tick 1742101272 2010610677 - 0 -
11 2311 0 0 tick 1610917164 1986513714 1994537418 1610917164 18516607
12 2311 0 1 tick 1836522475 2010607157 - 0 -
13 2311 0 0 tick 1792284624 2008804608 2008811430 1792284624 25096783
14 2311 0 1 tick 1718866045 1992759290 - 0 -
15 2311 0 0 tick 1827986888 2008340491 2008359006 1827986888 25751952
16 2311 0 1 tick 1596435344 2007939135 - 0 -
17 2311 0 0 tick 1700666776 2010424442 2010444924 1700666776 21173381
18 2311 0 1 tick 1718939383 2010594985 - 0 -
19 2311 0 0 tick 1675049222 2008476577 2008487310 1675049222 24438938
20 2311 0 1 tick 1826917453 2009159336 - 0 -
21 2311 0 0 tick 1699835205 2010207071 2010209580 1699835205 29907934
22 2311 0 1 tick 1669750239 2010861530 - 0 -
23 2311 0 0 tick 1804762864 2010190165 2010203664 1804762864 20318120
24 2311 0 1 tick 1784455645 2010045609 - 0 -
25 2311 0 0 tick 1788364196 2010547765 2010536478 1788364196 65278654
26 2311 0 1 tick 1929426233 2010720542 - 0 -
27 2311 0 0 tick 1994710725 2010211040 2010171216 1994710725 68104107
28 2311 0 1 tick 1992335501 2010269439 - 0 -
29 2311 0 0 tick 1977538221 2009860337 2009832252 1977538221 67348535
30 2311 0 1 tick 1805958978 2009978684 - 0 -
