,nsample,pid,coretype,expid,event,pmc0,pmc1,pmc2,pmc3,pmc4,pmc5,pmc6,pmc7
0,1,2311,0,0,tick,2060377189,1822192127,1834317348,2060377189,415205561,1737510909,1957820342,0
1,3,2311,0,0,tick,1940359693,1972628013,1972633542,1940359693,78032412,2022884864,1982819603,0
2,5,2311,0,0,tick,2013303027,1982674057,1982677974,2013303027,79477221,1934885093,1967568649,0
3,7,2311,0,0,tick,1611828096,2003208548,2009227710,1611828096,14093693,1702024088,2010698049,0
4,9,2311,0,0,tick,1765539879,1999174298,2001167490,1765539879,17795060,1742101272,2010610677,0
5,11,2311,0,0,tick,1610917164,1986513714,1994537418,1610917164,18516607,1836522475,2010607157,0
6,13,2311,0,0,tick,1792284624,2008804608,2008811430,1792284624,25096783,1718866045,1992759290,0
7,15,2311,0,0,tick,1827986888,2008340491,2008359006,1827986888,25751952,1596435344,2007939135,0
8,17,2311,0,0,tick,1700666776,2010424442,2010444924,1700666776,21173381,1718939383,2010594985,0
9,19,2311,0,0,tick,1675049222,2008476577,2008487310,1675049222,24438938,1826917453,2009159336,0
10,21,2311,0,0,tick,1699835205,2010207071,2010209580,1699835205,29907934,1669750239,2010861530,0
11,23,2311,0,0,tick,1804762864,2010190165,2010203664,1804762864,20318120,1784455645,2010045609,0
12,25,2311,0,0,tick,1788364196,2010547765,2010536478,1788364196,65278654,1929426233,2010720542,0
13,27,2311,0,0,tick,1994710725,2010211040,2010171216,1994710725,68104107,1992335501,2010269439,0
14,29,2311,0,0,tick,1977538221,2009860337,2009832252,1977538221,67348535,1805958978,2009978684,0
15,31,2311,0,0,tick,1684882954,1993560604,1993572516,1684882954,20764139,1839678395,2009712618,0
16,33,2311,0,0,tick,1736396242,2009111368,2009094624,1736396242,24838021,1789630359,2009702926,0
17,35,2311,0,0,tick,1742664307,2008350329,2008369992,1742664307,23333618,1604343919,1987421148,0
18,37,2311,0,0,tick,1720313209,2010362984,2010361260,1720313209,21633478,1691427223,1994166246,0
19,39,2311,0,0,tick,1720699078,2010741011,2010744228,1720699078,26806261,1833060737,2010070452,0
20,41,2311,0,0,tick,1623852849,2010416059,2010407154,1623852849,25270917,1738842195,2010767076,0
21,43,2311,0,0,tick,1804014266,2010775381,2010769896,1804014266,20315624,1626749974,2008119207,0
22,45,2311,0,0,tick,1675926369,2010785297,2010786084,1675926369,15583226,1771292928,2010561995,0
23,47,2311,0,0,tick,1752260764,1994058996,1994040426,1752260764,17716020,1801244453,1987808477,0
24,49,2311,0,0,tick,1917018600,1993997478,1993984326,1917018600,80959073,2063831005,2001755638,0
25,51,2311,0,0,tick,2072914922,2008417092,2008400514,2072914922,82420150,2058150936,2010553012,0
26,53,2311,0,0,tick,1717356990,2010284064,2010299400,1717356990,30206127,1829677771,2009723945,0
27,55,2311,0,0,tick,1672070132,2008826332,2008821852,1672070132,21198147,1657499076,2010309567,0
28,57,2311,0,0,tick,1707574845,1990311568,1993009512,1707574845,21416100,1689914657,2010720750,0
29,59,2311,0,0,tick,1772748213,2009814295,2009825202,1772748213,28726521,1780824933,2010484004,0
30,61,2311,0,0,tick,1601113641,2011328226,2011320072,1601113641,17497000,1782489665,1988966005,0
31,63,2311,0,0,tick,1758986422,2010917953,2010809622,1758986422,19115499,1602480588,1993314003,0
32,65,2311,0,0,tick,1718248513,2011086440,2011096434,1718248513,16714902,1778168547,2011039356,0
33,67,2311,0,0,tick,1727124150,2010747808,2010748962,1727124150,18245621,1637872371,1995242930,0
34,69,2311,0,0,tick,1841403472,2011079210,2011078650,1841403472,25267210,1840631055,1994497391,0
35,71,2311,0,0,tick,1945641671,2010754416,2010754128,1945641671,99424627,2087689348,1988057622,0
36,73,2311,0,0,tick,2095299199,1987881013,1993868754,2095299199,88918861,2097047338,2008803903,0
37,75,2311,0,0,tick,1599575194,2009178278,2009198418,1599575194,19054638,1699530865,2009119221,0
38,77,2311,0,0,tick,1718238246,2010645706,2010659310,1718238246,21592752,1678448618,2011171171,0
39,79,2311,0,0,tick,1828932682,2010519476,2010507504,1828932682,30765449,1692135012,2001468913,0
40,81,2311,0,0,tick,1667239021,2011050786,2011045170,1667239021,18434118,1790672266,1995282442,0
41,83,2311,0,0,tick,1679136801,1991847780,1994696616,1679136801,16866334,1614185748,2003211726,0
42,85,2311,0,0,tick,1769757845,2010945602,2010918954,1769757845,17909044,1769044782,2011163978,0
43,87,2311,0,0,tick,1683232670,2010907736,2010885480,1683232670,18564471,1712162189,2002223684,0
