nsample pid coretype expid event pmc0 pmc1 pmc2 pmc3 pmc4
1 2321 0 0 tick 783336810 1437284596 1444470750 783336810 92431607
2 2321 0 1 tick 724559367 1943043738 - 0 -
3 2321 0 0 tick 1196879934 1931867376 1931847096 1196879934 63538030
4 2321 0 1 tick 1168982759 1998174577 - 0 -
5 2321 0 0 tick 784773171 1961532812 1961489676 784773171 29688898
6 2321 0 1 tick 1383665082 1976367830 - 0 -
7 2321 0 0 tick 2938411418 2010465685 2010511386 2938411418 421619551
8 2321 0 1 tick 2928468634 1991909265 - 0 -
9 2321 0 0 tick 2883632553 2010116954 2010172860 2883632553 411983535
10 2321 0 1 tick 2968391809 2011058713 - 0 -
11 2321 0 0 tick 2871327893 2009673912 2009684070 2871327893 410086609
12 2321 0 1 tick 2979314333 2011142052 - 0 -
13 2321 0 0 tick 1450083478 2002995552 2002965252 1450083478 152467504
14 2321 0 1 tick 1059499005 1950842777 - 0 -
15 2321 0 0 tick 2023709558 2003521023 2003547084 2023709558 227016725
16 2321 0 1 tick 2973846265 2010683619 - 0 -
17 2321 0 0 tick 2941103975 2009482233 2009495172 2941103975 425070931
18 2321 0 1 tick 2921861488 2009860060 - 0 -
19 2321 0 0 tick 2937263542 1994458224 1994474400 2937263542 425675097
20 2321 0 1 tick 2897930073 2010428977 - 0 -
21 2321 0 0 tick 2961964896 2010780113 2010793734 2961964896 428798143
22 2321 0 1 tick 2629298110 2009337285 - 0 -
23 2321 0 0 tick 754540690 1998317155 1998310458 754540690 21381162
24 2321 0 1 tick 1353202180 1971087294 - 0 -
25 2321 0 0 tick 2738005190 2007218439 2007223770 2738005190 394921637
26 2321 0 1 tick 2955250851 2010752626 - 0 -
27 2321 0 0 tick 2884771446 2010090561 2010113778 2884771446 416728824
28 2321 0 1 tick 2959312999 2011001277 - 0 -
29 2321 0 0 tick 2870100301 2009750595 2009773368 2870100301 414350566
30 2321 0 1 tick 2942697124 2010959031 - 0 -
31 2321 0 0 tick 1353673918 2004105213 2004079110 1353673918 137605593
32 2321 0 1 tick 1054877225 1967559592 - 0 -
33 2321 0 0 tick 1488736021 1989430625 1992040602 1488736021 106880818
34 2321 0 1 tick 2977771511 2010297943 - 0 -
35 2321 0 0 tick 2968209180 2009602472 2009607450 2968209180 431595481
36 2321 0 1 tick 2913081039 2010471673 - 0 -
37 2321 0 0 tick 2962387539 2010808160 2010814128 2962387539 430540076
38 2321 0 1 tick 2959481090 2010897861 - 0 -
39 2321 0 0 tick 2920337453 2010278849 2010299202 2920337453 421470738
40 2321 0 1 tick 2969741408 2011023888 - 0 -
41 2321 0 0 tick 2983170294 2010686821 2010706236 2983170294 432368438
42 2321 0 1 tick 822748069 2002183355 - 0 -
43 2321 0 0 tick 1206988307 1948755770 1950793206 1206988307 71625047
44 2321 0 1 tick 1791726106 1986903329 - 0 -
45 2321 0 0 tick 2976308831 2010848972 2010852054 2976308831 430297352
46 2321 0 1 tick 2961233664 1994972983 - 0 -
47 2321 0 0 tick 2996107819 2009821508 2009787924 2996107819 433242265
48 2321 0 1 tick 2934333614 2009815960 - 0 -
49 2321 0 0 tick 3003048963 2010568403 2010573354 3003048963 434250326
50 2321 0 1 tick 2994837317 2010844846 - 0 -
51 2321 0 0 tick 2987610837 2002713211 2002709958 2987610837 432053321
52 2321 0 1 tick 2926488010 2002127572 - 0 -
53 2321 0 0 tick 3007869502 2009890495 2009907144 3007869502 434878560
54 2321 0 1 tick 3010749550 2010403372 - 0 -
55 2321 0 0 tick 2993781884 2010197727 2010214224 2993781884 433569248
56 2321 0 1 tick 1080913222 2002844860 - 0 -
57 2321 0 0 tick 1094442115 1967135026 1967102220 1094442115 59395664
58 2321 0 1 tick 1468847193 2002135230 - 0 -
59 2321 0 0 tick 2607087466 1998980829 1998982632 2607087466 363645223
60 2321 0 1 tick 2982561107 2011097403 - 0 -
61 2321 0 0 tick 2983538578 2010834910 2010868752 2983538578 431791679
62 2321 0 1 tick 2953836127 2011030158 - 0 -
63 2321 0 0 tick 2925446239 2010620458 2010638952 2925446239 421403424
64 2321 0 1 tick 2973694581 2011074635 - 0 -
65 2321 0 0 tick 2986269802 2009860005 2009848764 2986269802 432382434
66 2321 0 1 tick 2977739121 2011035355 - 0 -
67 2321 0 0 tick 2935772111 2010697581 2010722094 2935772111 423585897
68 2321 0 1 tick 2954136283 2009919022 - 0 -
69 2321 0 0 tick 2985798104 2010923778 2010930978 2985798104 432507963
70 2321 0 1 tick 2956025650 1982451986 - 0 -
