,nsample,pid,coretype,expid,event,pmc0,pmc1,pmc2,pmc3,pmc4,pmc5,pmc6,pmc7
0,1,2164,0,0,tick,779796387,1398808209,1401516738,779796387,91990232,724456692.0,1933852379.0,0.0
1,3,2164,0,0,tick,1181143908,1931220108,1931134320,1181143908,62565968,1174112164.0,1979266997.0,0.0
2,5,2164,0,0,tick,787637003,1969005079,1969001604,787637003,24856747,1348587639.0,1976851850.0,0.0
3,7,2164,0,0,tick,2879160085,2010055306,2010024666,2879160085,412537059,2959532893.0,2010972329.0,0.0
4,9,2164,0,0,tick,2878113291,2009911917,2009919414,2878113291,411089426,2927669246.0,1986781845.0,0.0
5,11,2164,0,0,tick,2862849097,2010083988,2010125454,2862849097,409085927,2970804743.0,2010707035.0,0.0
6,13,2164,0,0,tick,1553122838,1996711012,1996777842,1553122838,171366552,1017521992.0,1967920032.0,0.0
7,15,2164,0,0,tick,1915152632,2002915205,2002887318,1915152632,205803411,2964226716.0,2011051259.0,0.0
8,17,2164,0,0,tick,2959103255,2010736958,2010752160,2959103255,428506387,2887002350.0,2010063676.0,0.0
9,19,2164,0,0,tick,2963727481,2010066435,2010080502,2963727481,429558162,2907538036.0,2009827985.0,0.0
10,21,2164,0,0,tick,2959914110,2010587684,2010617376,2959914110,428524630,2762807566.0,2009618712.0,0.0
11,23,2164,0,0,tick,737196416,1988909977,1988917134,737196416,21352124,1287550492.0,1971069907.0,0.0
12,25,2164,0,0,tick,2612309480,2006744551,2006720694,2612309480,367031146,2920489530.0,1994085816.0,0.0
13,27,2164,0,0,tick,2848591812,1993867942,1993902660,2848591812,411151640,2938793038.0,2011054056.0,0.0
14,29,2164,0,0,tick,2865420285,2010058018,2010137496,2865420285,413207149,2919803038.0,1994752837.0,0.0
15,31,2164,0,0,tick,1638756995,2005233033,2005262142,1638756995,188811246,950298508.0,1951511286.0,0.0
16,33,2164,0,0,tick,1404439671,1983267045,1983860820,1404439671,79223774,2770477874.0,2010723151.0,0.0
17,35,2164,0,0,tick,2957035613,2009691216,2009722074,2957035613,430273126,2921453827.0,2009585391.0,0.0
18,37,2164,0,0,tick,2961630711,2010799645,2010797808,2961630711,430303295,2959512610.0,2011044908.0,0.0
19,39,2164,0,0,tick,2919413975,2010285925,2010318660,2919413975,421281502,2955208421.0,2010991382.0,0.0
20,41,2164,0,0,tick,2958435653,2010687123,2010710550,2958435653,429983575,1221222470.0,2003558787.0,0.0
21,43,2164,0,0,tick,1068850010,1967255041,1967284020,1068850010,57633813,1505909999.0,2001567820.0,0.0
22,45,2164,0,0,tick,2986321369,2010668222,2010664524,2986321369,432029091,2972359314.0,1994668425.0,0.0
23,47,2164,0,0,tick,2971126770,2010532593,2010547908,2971126770,429747244,2935148703.0,2010593824.0,0.0
24,49,2164,0,0,tick,2968161325,1994697985,1994705970,2968161325,429563978,2990812422.0,2010608906.0,0.0
25,51,2164,0,0,tick,2997490052,2010721959,2010703128,2997490052,433449202,2917163931.0,2010573814.0,0.0
26,53,2164,0,0,tick,2975264229,2010632194,2010652608,2975264229,430169523,2994574867.0,2010732857.0,0.0
27,55,2164,0,0,tick,3005419401,2010721081,2010733686,3005419401,434644454,1564106846.0,2005207544.0,0.0
28,57,2164,0,0,tick,934134833,1967391919,1967402352,934134833,47206712,1429809228.0,2002310344.0,0.0
29,59,2164,0,0,tick,2226682276,2004389604,2004321072,2226682276,276128701,2936814343.0,1994566481.0,0.0
30,61,2164,0,0,tick,2964525230,2010760131,2010763002,2964525230,429270246,2974540057.0,2010897977.0,0.0
31,63,2164,0,0,tick,2934139598,2009431393,2009474358,2934139598,422854058,2937462816.0,1986606415.0,0.0
32,65,2164,0,0,tick,2987107038,2010080361,2010098412,2987107038,432612699,2982496996.0,2009985971.0,0.0
33,67,2164,0,0,tick,2944610096,1994340314,1994350764,2944610096,427061685,2940099453.0,2009924134.0,0.0
34,69,2164,0,0,tick,2976314526,2010592722,2010597744,2976314526,431015099,2991899229.0,2010726586.0,0.0
35,71,2164,0,0,tick,2974208026,2010869561,2010868704,2974208026,431223282,1920765664.0,2006467392.0,0.0
36,73,2164,0,0,tick,790287453,1965106767,1965077220,790287453,35296863,1416830493.0,1996117983.0,0.0
37,75,2164,0,0,tick,1959927488,1987530287,1987483482,1959927488,215608854,2982389039.0,2010909602.0,0.0
38,77,2164,0,0,tick,2990376597,2010522580,2010514494,2990376597,433493981,2971425794.0,1991727579.0,0.0
39,79,2164,0,0,tick,2984761834,2010626913,2010636948,2984761834,432066564,2989634436.0,2010797844.0,0.0
40,81,2164,0,0,tick,2998660588,2010099447,2010112380,2998660588,429981419,2957153893.0,1994909124.0,0.0
41,83,2164,0,0,tick,2991168257,2010720500,2010718788,2991168257,433530051,3004532877.0,2010914065.0,0.0
42,85,2164,0,0,tick,3001011332,2010782664,2010770928,3001011332,433944459,2979478028.0,2010819480.0,0.0
43,87,2164,0,0,tick,2981953839,2010576114,2010566652,2981953839,428839795,2952065945.0,1994821689.0,0.0
44,89,2164,0,0,tick,2982342536,2010632055,2010628218,2982342536,432063766,3012389015.0,2010732214.0,0.0
45,91,2164,0,0,tick,3002952582,2010312385,2010315450,3002952582,434069382,2990073027.0,2010697407.0,0.0
46,93,2164,0,0,tick,2981671755,2010460319,2010470850,2981671755,429898074,885180706.0,2002008938.0,0.0
47,95,2164,0,0,tick,1143258902,1967857865,1967864394,1143258902,68465201,1389885459.0,1974318052.0,0.0
