nsample pid coretype expid event pmc0 pmc1 pmc2 pmc3 pmc4
1 2147 0 0 tick 787323789 1413418738 1418873130 787323789 92489892
2 2147 0 1 tick 727097220 1947490968 - 0 -
3 2147 0 0 tick 1219763496 1948014460 1947860700 1219763496 67154946
4 2147 0 1 tick 1136452992 1951377858 - 0 -
5 2147 0 0 tick 783363972 1967581354 1967601438 783363972 27731862
6 2147 0 1 tick 1385766488 1985696070 - 0 -
7 2147 0 0 tick 2927497145 2001570643 2001580350 2927497145 420016302
8 2147 0 1 tick 2953260977 2010061562 - 0 -
9 2147 0 0 tick 2882573395 2009128459 2009153334 2882573395 411851072
10 2147 0 1 tick 2970154626 2010117013 - 0 -
11 2147 0 0 tick 2862376819 2009235420 2009282178 2862376819 408769419
12 2147 0 1 tick 2939255569 1988270054 - 0 -
13 2147 0 0 tick 1479275740 2003941695 2003931708 1479275740 157458867
14 2147 0 1 tick 1058038462 1967276823 - 0 -
15 2147 0 0 tick 1987641735 1987473539 1987354380 1987641735 220847322
16 2147 0 1 tick 2964637367 2010715392 - 0 -
17 2147 0 0 tick 2936857795 2002835048 2002849434 2936857795 424987658
18 2147 0 1 tick 2877903817 2010480299 - 0 -
19 2147 0 0 tick 2959519626 2010742563 2010727926 2959519626 428951142
20 2147 0 1 tick 2903436453 2010265032 - 0 -
21 2147 0 0 tick 2958242181 2010741432 2010729672 2958242181 428318899
22 2147 0 1 tick 2690313807 2009363433 - 0 -
23 2147 0 0 tick 736392953 1971582811 1982156754 736392953 21257907
24 2147 0 1 tick 1315808033 1971504338 - 0 -
25 2147 0 0 tick 2677403696 1991489039 1991364624 2677403696 382085367
26 2147 0 1 tick 2959215447 2010989284 - 0 -
27 2147 0 0 tick 2888214037 2009936287 2009975454 2888214037 417223123
28 2147 0 1 tick 2949923952 2010523633 - 0 -
29 2147 0 0 tick 2881267953 2010071739 2010112320 2881267953 415741875
30 2147 0 1 tick 2955737266 2011072304 - 0 -
31 2147 0 0 tick 1438542506 2004414600 2004430680 1438542506 152683863
32 2147 0 1 tick 1027922537 1959970985 - 0 -
33 2147 0 0 tick 1439894799 2000616444 2000519190 1439894799 94793870
34 2147 0 1 tick 2984445195 2003040574 - 0 -
35 2147 0 0 tick 2950892031 1997389748 2002704678 2950892031 429141245
36 2147 0 1 tick 2924320023 2009732057 - 0 -
37 2147 0 0 tick 2936135377 1994256494 1994268132 2936135377 426754901
38 2147 0 1 tick 2930366558 1994762985 - 0 -
39 2147 0 0 tick 2898613317 1994201836 1994188806 2898613317 418364553
40 2147 0 1 tick 2965451888 2009964234 - 0 -
41 2147 0 0 tick 2983696644 2009890099 2009881680 2983696644 432793184
42 2147 0 1 tick 954317264 1993723215 - 0 -
43 2147 0 0 tick 1177842982 1967241179 1967287518 1177842982 69986650
44 2147 0 1 tick 1699060651 1985168676 - 0 -
45 2147 0 0 tick 2991004630 2010261681 2010270138 2991004630 433019283
46 2147 0 1 tick 2992221822 2010829705 - 0 -
47 2147 0 0 tick 2999060253 2010840320 2010841440 2999060253 433709353
48 2147 0 1 tick 2945134651 2010701274 - 0 -
49 2147 0 0 tick 3001366154 2010559511 2010571830 3001366154 433987026
50 2147 0 1 tick 2992067240 2010821092 - 0 -
51 2147 0 0 tick 2978385312 2010289885 2010287682 2978385312 430657533
52 2147 0 1 tick 2890491172 1986242760 - 0 -
53 2147 0 0 tick 3010745051 2010070539 2010068244 3010745051 435160078
54 2147 0 1 tick 3004636923 2010356171 - 0 -
55 2147 0 0 tick 2985956872 2010518223 2010524466 2985956872 431978962
56 2147 0 1 tick 1204761062 1987164503 - 0 -
57 2147 0 0 tick 1046985235 1967834556 1967853078 1046985235 56527062
58 2147 0 1 tick 1460255246 2002350099 - 0 -
59 2147 0 0 tick 2517945443 2006653276 2006540898 2517945443 340299700
60 2147 0 1 tick 2990128910 2010988040 - 0 -
61 2147 0 0 tick 2994092725 2010637816 2010650316 2994092725 433297908
62 2147 0 1 tick 2964929899 2002777512 - 0 -
63 2147 0 0 tick 2954511947 2010639726 2010672102 2954511947 425120902
64 2147 0 1 tick 2945140845 1986842905 - 0 -
65 2147 0 0 tick 2994773520 2010566611 2010570222 2994773520 433679112
66 2147 0 1 tick 2986225679 2010532232 - 0 -
67 2147 0 0 tick 2941162348 2010331978 2010341010 2941162348 424532444
68 2147 0 1 tick 2981321851 2011043164 - 0 -
69 2147 0 0 tick 2970935847 2003810449 2003808036 2970935847 430364870
70 2147 0 1 tick 2960615235 1993730192 - 0 -
71 2147 0 0 tick 2969330837 2010735206 2010745476 2969330837 430898839
72 2147 0 1 tick 1424463377 2004424470 - 0 -
73 2147 0 0 tick 943225042 1950457395 1950442782 943225042 48350176
74 2147 0 1 tick 1463879731 2001964924 - 0 -
75 2147 0 0 tick 2377237824 2005756898 2005700166 2377237824 304861717
76 2147 0 1 tick 2988533335 2010440750 - 0 -
77 2147 0 0 tick 3012925809 2010598251 2010601158 3012925809 436381313
78 2147 0 1 tick 3023770538 2011019189 - 0 -
79 2147 0 0 tick 3005450098 2010828830 2010844584 3005450098 435587544
80 2147 0 1 tick 2986275038 2010489319 - 0 -
81 2147 0 0 tick 2996901768 2010289207 2010296478 2996901768 429310599
82 2147 0 1 tick 2992440441 2010928342 - 0 -
83 2147 0 0 tick 2971270759 1994377324 1994371074 2971270759 430487085
84 2147 0 1 tick 3004027182 2002521775 - 0 -
85 2147 0 0 tick 2991937782 2010551554 2010537180 2991937782 433357636
86 2147 0 1 tick 2962281255 2004646813 - 0 -
87 2147 0 0 tick 2997320537 2002190075 2002199724 2997320537 429187001
88 2147 0 1 tick 2999634040 2010261563 - 0 -
89 2147 0 0 tick 3006609132 2010109064 2010103134 3006609132 435924211
90 2147 0 1 tick 3023538923 2010448447 - 0 -
91 2147 0 0 tick 3001055163 2003708799 2009681466 3001055163 434468806
92 2147 0 1 tick 2984171853 2004798789 - 0 -
93 2147 0 0 tick 2514346713 2008657607 2008653780 2514346713 343444840
94 2147 0 1 tick 705778421 1998213393 - 0 -
95 2147 0 0 tick 1310438686 1970597975 1970595396 1310438686 73837285
96 2147 0 1 tick 1684897655 1987694622 - 0 -
97 2147 0 0 tick 2999247231 2010305584 2010318534 2999247231 433870365
98 2147 0 1 tick 3008604604 2010904306 - 0 -
99 2147 0 0 tick 3006032143 2010875148 2010888828 3006032143 435492049
100 2147 0 1 tick 2992842395 2011036400 - 0 -
101 2147 0 0 tick 3005668413 2010804247 2010828264 3005668413 434953593
102 2147 0 1 tick 2981357787 2010630408 - 0 -
103 2147 0 0 tick 3008349773 2010545372 2010549072 3008349773 432797402
104 2147 0 1 tick 2995475389 2011073962 - 0 -
105 2147 0 0 tick 2977571979 1989397241 1994725170 2977571979 430405603
106 2147 0 1 tick 3005123342 2010767945 - 0 -
107 2147 0 0 tick 2976890577 2010331725 2010351222 2976890577 432423368
108 2147 0 1 tick 3001315241 2010316534 - 0 -
109 2147 0 0 tick 2962329121 1992327415 1994353560 2962329121 428515780
110 2147 0 1 tick 3003596680 2010736137 - 0 -
111 2147 0 0 tick 2998243546 2010667545 2010679254 2998243546 433338917
112 2147 0 1 tick 2989019558 2010797543 - 0 -
113 2147 0 0 tick 3001867630 2010414325 2010426288 3001867630 434809952
114 2147 0 1 tick 2989084532 2010117691 - 0 -
115 2147 0 0 tick 2968815372 1992067593 2002100046 2968815372 429848047
116 2147 0 1 tick 3002202695 2010541185 - 0 -
117 2147 0 0 tick 3000130850 2010203254 2010192168 3000130850 432289748
118 2147 0 1 tick 989007695 2002057872 - 0 -
119 2147 0 0 tick 1092410811 1967417875 1967483466 1092410811 59855300
120 2147 0 1 tick 1463452230 2001298927 - 0 -
121 2147 0 0 tick 2129626236 2003023360 2002905150 2129626236 251390300
122 2147 0 1 tick 3003290989 2010393850 - 0 -
123 2147 0 0 tick 2996862487 2010266231 2010268284 2996862487 434488514
124 2147 0 1 tick 2974469114 2010555381 - 0 -
125 2147 0 0 tick 2979702550 2010857411 2010863490 2979702550 436204213
126 2147 0 1 tick 2977864733 1992623242 - 0 -
127 2147 0 0 tick 3017392436 2010597640 2010573726 3017392436 437145248
128 2147 0 1 tick 3018807946 2010784174 - 0 -
129 2147 0 0 tick 3019279381 2010340761 2010337734 3019279381 437144004
130 2147 0 1 tick 3002566620 2010456988 - 0 -
131 2147 0 0 tick 2979141507 2010170088 2010181884 2979141507 436262562
132 2147 0 1 tick 2971710222 2010888629 - 0 -
133 2147 0 0 tick 3004195826 2010639120 2010619194 3004195826 435300721
134 2147 0 1 tick 2980492726 1994651442 - 0 -
135 2147 0 0 tick 3007576501 2010361843 2010388602 3007576501 434555735
136 2147 0 1 tick 2974233536 1994761024 - 0 -
137 2147 0 0 tick 2964658600 1986788330 1994753748 2964658600 429810973
138 2147 0 1 tick 2971468675 2010666140 - 0 -
139 2147 0 0 tick 2957422576 1994669268 1994660616 2957422576 432856405
140 2147 0 1 tick 3013365432 2011020836 - 0 -
141 2147 0 0 tick 3012965542 2010782833 2010778380 3012965542 436240937
142 2147 0 1 tick 2119555381 2006652363 - 0 -
143 2147 0 0 tick 712045435 1957841245 1957804302 712045435 29243343
144 2147 0 1 tick 1414778629 1976913063 - 0 -
145 2147 0 0 tick 1436178721 2000053953 2000036820 1436178721 86158120
146 2147 0 1 tick 2927645563 2004879363 - 0 -
147 2147 0 0 tick 3004125384 2010387608 2010410664 3004125384 435165906
148 2147 0 1 tick 2978891353 2010731554 - 0 -
149 2147 0 0 tick 2974016811 2010877467 2010899568 2974016811 435724514
150 2147 0 1 tick 2988121566 2011130952 - 0 -
151 2147 0 0 tick 2981143155 1994419654 1994428554 2981143155 431898370
152 2147 0 1 tick 2988304527 2010751624 - 0 -
153 2147 0 0 tick 2982727771 1995111809 1995114156 2982727771 432746340
154 2147 0 1 tick 2994777854 2002711000 - 0 -
155 2147 0 0 tick 2981311568 2010012488 2010030258 2981311568 435058758
156 2147 0 1 tick 2966797951 2010278037 - 0 -
157 2147 0 0 tick 2977174972 2004417798 2010430932 2977174972 435745024
158 2147 0 1 tick 3021868205 2010959515 - 0 -
159 2147 0 0 tick 3006777768 2010734702 2010747954 3006777768 436297694
160 2147 0 1 tick 3007813393 2010610610 - 0 -
161 2147 0 0 tick 3025799532 2010908787 2010924228 3025799532 438486799
162 2147 0 1 tick 3009137138 2011069313 - 0 -
163 2147 0 0 tick 2979520267 2010731024 2010754710 2979520267 436705004
164 2147 0 1 tick 2986264125 2011117406 - 0 -
165 2147 0 0 tick 3027813262 2010946818 2010948624 3027813262 438440091
166 2147 0 1 tick 3015629033 2011015649 - 0 -
167 2147 0 0 tick 1629727631 1981212832 1989152652 1629727631 189893646
168 2147 0 1 tick 870721062 1966687318 - 0 -
169 2147 0 0 tick 1421927480 1985631867 1985651502 1421927480 75909507
170 2147 0 1 tick 1464415948 2002248477 - 0 -
171 2147 0 0 tick 2684941208 1998821780 1998757692 2684941208 377765992
172 2147 0 1 tick 3022286428 2010772572 - 0 -
173 2147 0 0 tick 2977438886 2010478662 2010502650 2977438886 436391622
174 2147 0 1 tick 2935081052 2009890114 - 0 -
175 2147 0 0 tick 2971669434 1994378404 1994406570 2971669434 435066862
176 2147 0 1 tick 3020441070 2010907532 - 0 -
177 2147 0 0 tick 2998431769 2010345172 2010358428 2998431769 435247505
178 2147 0 1 tick 3006733699 2010449656 - 0 -
179 2147 0 0 tick 2987362162 1994679419 1994680812 2987362162 434858133
180 2147 0 1 tick 2932028947 2011021987 - 0 -
181 2147 0 0 tick 2957407578 2010767465 2010733134 2957407578 434616397
182 2147 0 1 tick 3013351326 2011029207 - 0 -
183 2147 0 0 tick 3023150826 2010926017 2010926604 3023150826 438181556
184 2147 0 1 tick 3014081219 2011040513 - 0 -
185 2147 0 0 tick 2971330621 1986713665 1994685372 2971330621 430875637
186 2147 0 1 tick 2982257182 2010380160 - 0 -
187 2147 0 0 tick 2915494241 2002249512 2002224228 2915494241 429132289
188 2147 0 1 tick 2945673530 1994390225 - 0 -
189 2147 0 0 tick 3023477151 2010426479 2010456282 3023477151 438681487
190 2147 0 1 tick 3015302144 2010576608 - 0 -
191 2147 0 0 tick 710739285 1992377356 1992367890 710739285 25237181
192 2147 0 1 tick 1167993223 1960895066 - 0 -
193 2147 0 0 tick 1449041161 1986368787 1986387690 1449041161 82846236
194 2147 0 1 tick 1733876939 2002038232 - 0 -
195 2147 0 0 tick 3036714387 2010945666 2010944706 3036714387 439123080
196 2147 0 1 tick 2998569210 2010564725 - 0 -
197 2147 0 0 tick 2932490747 2010863985 2010862806 2932490747 431055645
198 2147 0 1 tick 2952699853 2010743216 - 0 -
199 2147 0 0 tick 3016924678 2010329663 2010342336 3016924678 438743908
200 2147 0 1 tick 3032619998 2010704928 - 0 -
201 2147 0 0 tick 3037463333 2010308280 2010301782 3037463333 439344014
202 2147 0 1 tick 3006497816 2010959420 - 0 -
203 2147 0 0 tick 2931057224 2009997329 2009989710 2931057224 431890943
204 2147 0 1 tick 2923920111 2010120878 - 0 -
205 2147 0 0 tick 3001632884 2010078939 2010075030 3001632884 438719746
206 2147 0 1 tick 3028024497 2010676420 - 0 -
207 2147 0 0 tick 3026220099 2010478158 2010483480 3026220099 437967484
208 2147 0 1 tick 3018170992 2010701740 - 0 -
209 2147 0 0 tick 2975792359 2010807840 2010822264 2975792359 437457893
210 2147 0 1 tick 2872916946 1986801739 - 0 -
211 2147 0 0 tick 2975276505 2010407736 2010424296 2975276505 437179635
212 2147 0 1 tick 3029352366 2011010787 - 0 -
