,nsample,pid,coretype,expid,event,pmc0,pmc1,pmc2,pmc3,pmc4,pmc5,pmc6,pmc7
0,1,2217,0,0,tick,787601608,1452430573,1458860340,787601608,92494126,729397063,1953938570,0
1,3,2217,0,0,tick,1205949435,1940120879,1940164938,1205949435,66432922,1154626411,1998897409,0
2,5,2217,0,0,tick,782188545,1964988600,1964979420,782188545,30180735,1363391533,1982319905,0
3,7,2217,0,0,tick,2883694706,1994572071,1994601810,2883694706,413349872,2934461099,1995072880,0
4,9,2217,0,0,tick,2857590103,2002156527,2002186422,2857590103,408120676,2940183471,2011281187,0
5,11,2217,0,0,tick,2856424039,2009695903,2009745480,2856424039,408152964,2968038700,2011168825,0
6,13,2217,0,0,tick,1559147511,1988931541,1988910348,1559147511,172977538,1003307003,1967515466,0
7,15,2217,0,0,tick,1904509343,2003312757,2003261166,1904509343,202190082,2969198149,2010729557,0
8,17,2217,0,0,tick,2973944888,2010448554,2010463788,2973944888,430617694,2887225773,2009979117,0
9,19,2217,0,0,tick,2963747460,2010586521,2010610482,2963747460,429567247,2886423044,2000949561,0
10,21,2217,0,0,tick,2974862062,2011267198,2011290426,2974862062,430793778,2776539500,2010567325,0
11,23,2217,0,0,tick,728287142,1980789590,1982121798,728287142,21282933,1279368957,1971444154,0
12,25,2217,0,0,tick,2599312476,2007636135,2007578748,2599312476,362876143,2953668195,2011395256,0
13,27,2217,0,0,tick,2850163274,1994348731,1994365002,2850163274,411375293,2937594077,2010608507,0
14,29,2217,0,0,tick,2854547434,1992399654,1994435490,2854547434,411643034,2947336433,2011123895,0
15,31,2217,0,0,tick,1627091896,2004870247,2004885216,1627091896,186817816,944017507,1951386599,0
16,33,2217,0,0,tick,1424006834,2000400596,2000355234,1424006834,81563680,2813853343,2010829410,0
17,35,2217,0,0,tick,2976868025,2010995509,2011017882,2976868025,433204503,2945996329,2010789299,0
18,37,2217,0,0,tick,2933792210,1994640161,1994649774,2933792210,426416307,2941529060,1994345662,0
19,39,2217,0,0,tick,2921805540,2010801488,2010838992,2921805540,421592282,2952939522,2011411508,0
20,41,2217,0,0,tick,2961179002,2011034540,2011044078,2961179002,430310204,1170497575,1991776614,0
21,43,2217,0,0,tick,1069208627,1966162292,1966167132,1069208627,57842160,1498703666,1977256519,0
22,45,2217,0,0,tick,2971814261,2003143969,2003158440,2971814261,429963598,2964953070,1995334292,0
23,47,2217,0,0,tick,2992124126,2011093256,2011049382,2992124126,432779497,2927327568,2010793771,0
24,49,2217,0,0,tick,2999811756,2011257220,2011275030,2999811756,434107417,3002140764,2011321806,0
25,51,2217,0,0,tick,2996394984,2011198677,2011202658,2996394984,433295636,2944375578,2011146252,0
26,53,2217,0,0,tick,3004462680,2011179403,2011160694,3004462680,434354255,2969297125,1993247957,0
27,55,2217,0,0,tick,2992589327,2011232202,2011222926,2992589327,432729231,1517441015,1996160246,0
28,57,2217,0,0,tick,930166531,1967012680,1966965750,930166531,47124067,1439609509,2002584387,0
29,59,2217,0,0,tick,2214984883,1989245214,1989142314,2214984883,275351440,2981008740,2011212162,0
30,61,2217,0,0,tick,2988922215,2011321688,2011342194,2988922215,432671447,2944358933,1989261252,0
31,63,2217,0,0,tick,2935193093,2011093691,2011105074,2935193093,423010231,2973661453,2011488111,0
32,65,2217,0,0,tick,2980791029,2011144927,2011147326,2980791029,431729565,2995194300,2011465935,0
33,67,2217,0,0,tick,2968777718,2011319338,2011310256,2968777718,430573825,2949836931,2011053567,0
34,69,2217,0,0,tick,2986984820,2011207108,2011249662,2986984820,432585267,2995756177,2011423350,0
35,71,2217,0,0,tick,2958425730,1995086146,1995083766,2958425730,428982538,1833947926,2006908621,0
36,73,2217,0,0,tick,812835836,1974543146,1974523962,812835836,36716704,1420617474,1994644080,0
37,75,2217,0,0,tick,2058694814,2004287526,2004250362,2058694814,234893375,2977944591,2011004587,0
38,77,2217,0,0,tick,2949841842,1994708489,1994698506,2949841842,427649475,2999340583,2011405003,0
39,79,2217,0,0,tick,2976460703,1994856392,1994851230,2976460703,430734899,2979223528,2010497824,0
40,81,2217,0,0,tick,3002025373,2011080889,2011092228,3002025373,430374850,2967661114,2011226138,0
41,83,2217,0,0,tick,2994443957,2011062590,2011058220,2994443957,434075588,3018690722,2011141595,0
42,85,2217,0,0,tick,3006888445,2011090761,2011080030,3006888445,435158101,2976861955,2011152311,0
43,87,2217,0,0,tick,2988332133,2010975018,2011016262,2988332133,429149775,2984328265,2011251438,0
44,89,2217,0,0,tick,2994280267,2011243937,2011241850,2994280267,433841409,3008821421,2011439639,0
45,91,2217,0,0,tick,3001809983,2011122662,2011128546,3001809983,434043083,2987330937,2010766811,0
46,93,2217,0,0,tick,2979013920,2010979313,2010977700,2979013920,428808693,742090519,1982713518,0
47,95,2217,0,0,tick,1169464812,1968091013,1968082794,1169464812,69573028,1416506208,2002764019,0
48,97,2217,0,0,tick,2785203661,2008038186,2007971826,2785203661,400346478,3003239992,2010678220,0
49,99,2217,0,0,tick,3001622686,2011101681,2011094502,3001622686,434750610,2984382495,2011076833,0
50,101,2217,0,0,tick,3009016785,2011100806,2011096692,3009016785,435864487,3006107936,2011388952,0
51,103,2217,0,0,tick,2984667338,2011014602,2011027128,2984667338,431051519,2991831250,2011385850,0
52,105,2217,0,0,tick,3001068006,2011101317,2011104912,3001068006,433789119,2995416100,2010724999,0
53,107,2217,0,0,tick,2976261665,2010954121,2010968916,2976261665,432231286,2988381588,2010562461,0
54,109,2217,0,0,tick,2985952742,2010318276,2010285996,2985952742,431476576,3000545260,2011189986,0
55,111,2217,0,0,tick,3015275940,2011178806,2011171776,3015275940,434043782,3011670978,2011248474,0
56,113,2217,0,0,tick,2980110410,2010930860,2010939648,2980110410,431507190,2969600652,2011229644,0
57,115,2217,0,0,tick,2978457865,2010922675,2010923454,2978457865,431458981,2976868466,2011308364,0
58,117,2217,0,0,tick,2975646737,2011095809,2011114368,2975646737,430144677,1700903762,2005797779,0
59,119,2217,0,0,tick,857785543,1967475468,1967464746,857785543,43368957,1411400521,2002903944,0
60,121,2217,0,0,tick,1608555689,2001632607,2001667224,1608555689,134849173,3017548666,2011228083,0
61,123,2217,0,0,tick,3011333355,2011003186,2010996594,3011333355,435700797,2981457052,2011146680,0
62,125,2217,0,0,tick,2969572232,2011064742,2011063752,2969572232,435685040,2998323530,2011235738,0
63,127,2217,0,0,tick,3005372119,2010978777,2010991236,3005372119,435096234,3002277154,2011158910,0
64,129,2217,0,0,tick,3001501614,2011029122,2011027794,3001501614,434721445,3003624477,2011163980,0
65,131,2217,0,0,tick,2977923845,2011015118,2011019280,2977923845,434637673,2960392707,2011358042,0
66,133,2217,0,0,tick,2997832590,2011007338,2010996378,2997832590,435209506,2995578289,2010912442,0
67,135,2217,0,0,tick,3000925995,2010353079,2010352824,3000925995,433500230,3002692002,2010158407,0
68,137,2217,0,0,tick,3004061121,2010751299,2010753648,3004061121,434614528,2982361906,2011315257,0
69,139,2217,0,0,tick,2960681873,2010996815,2010995100,2960681873,434256237,2996207217,2011286308,0
70,141,2217,0,0,tick,3011675410,2011191946,2011211628,3011675410,436094755,2865206459,2010629868,0
71,143,2217,0,0,tick,686539489,1998309800,1998243552,686539489,21126288,1173511035,1954393392,0
72,145,2217,0,0,tick,1438677145,2001909622,2001934338,1438677145,82910833,2381112258,2005992314,0
73,147,2217,0,0,tick,3007983621,2011026766,2011032126,3007983621,436100894,3002047543,2011238888,0
74,149,2217,0,0,tick,2956005186,2011137422,2011149480,2956005186,433552906,2985399423,2011344930,0
75,151,2217,0,0,tick,3022595848,2011097031,2011138770,3022595848,438429461,3021441985,2011367962,0
76,153,2217,0,0,tick,3014457334,2010840714,2010841338,3014457334,437041543,3005750786,2010569189,0
77,155,2217,0,0,tick,3006225468,2010383107,2010382080,3006225468,437161402,2949608416,2010419256,0
78,157,2217,0,0,tick,2943693138,1994810334,1994807622,2943693138,431296734,2967586998,1988760895,0
79,159,2217,0,0,tick,2996298148,2010897105,2010902286,2996298148,434793204,2975259631,1993948724,0
80,161,2217,0,0,tick,2980049604,1994944428,1994944608,2980049604,432279487,3004212508,2011231359,0
81,163,2217,0,0,tick,2946500690,1994756156,1994761914,2946500690,431941546,2968777667,2011232191,0
82,165,2217,0,0,tick,3008520057,2011127180,2011112574,3008520057,437026277,2990248623,2011031390,0
83,167,2217,0,0,tick,2545498849,2008932178,2008936278,2545498849,353317870,689661951,1981756697,0
