,nsample,pid,coretype,expid,event,pmc0,pmc1,pmc2,pmc3,pmc4,pmc5,pmc6,pmc7
0,1,2235,0,0,tick,743279638,1370436768,1377164622,743279638,87441720,743599790.0,1945805088.0,0.0
1,3,2235,0,0,tick,1164946093,1922981318,1925079468,1164946093,61329567,1175210892.0,1938394720.0,0.0
2,5,2235,0,0,tick,776363492,1983932941,1983914946,776363492,21488470,1344057460.0,1969045143.0,0.0
3,7,2235,0,0,tick,2759685501,1989562396,2000829522,2759685501,395189643,2961227712.0,2010447567.0,0.0
4,9,2235,0,0,tick,2850824511,2008861956,2008882962,2850824511,407000509,2966328274.0,2010334606.0,0.0
5,11,2235,0,0,tick,2871314747,2009777187,2009862654,2871314747,410295137,2979081714.0,2010748182.0,0.0
6,13,2235,0,0,tick,1665793081,2005106434,2005113252,1665793081,190963616,982691572.0,1967726419.0,0.0
7,15,2235,0,0,tick,1835761038,1986623322,1986587874,1835761038,187804798,2949079600.0,2010954668.0,0.0
8,17,2235,0,0,tick,2957969875,2010791145,2010784674,2957969875,428735496,2890984850.0,2005819805.0,0.0
9,19,2235,0,0,tick,2967897846,2010832417,2010853788,2967897846,430110122,2915864231.0,2010173436.0,0.0
10,21,2235,0,0,tick,2974337174,2010615153,2010649044,2974337174,430671492,2863165298.0,2007578751.0,0.0
11,23,2235,0,0,tick,729830701,1996036276,1995967512,729830701,21477970,1267842559.0,1970688032.0,0.0
12,25,2235,0,0,tick,2519630079,1988126128,1988216940,2519630079,347789469,2935160100.0,2006242114.0,0.0
13,27,2235,0,0,tick,2871369884,2004385682,2006633106,2871369884,414159337,2896303873.0,1987247053.0,0.0
14,29,2235,0,0,tick,2839555268,1990043808,1991586906,2839555268,409413305,2912850218.0,1992282635.0,0.0
15,31,2235,0,0,tick,1783587060,2005464450,2005394988,1783587060,215236702,908010742.0,1967803366.0,0.0
16,33,2235,0,0,tick,1421224194,2001975940,2001905142,1421224194,75882312,2729829537.0,2007983483.0,0.0
17,35,2235,0,0,tick,2974965647,2010904145,2010929010,2974965647,433058076,2908975560.0,1993560971.0,0.0
18,37,2235,0,0,tick,2979333057,2010165274,2010178788,2979333057,432557384,2965068547.0,2010314515.0,0.0
19,39,2235,0,0,tick,2917369070,2009345792,2009374452,2917369070,420958699,2926687307.0,1985452862.0,0.0
20,41,2235,0,0,tick,2955152995,2009661508,2009694480,2955152995,429542678,1307122903.0,1995526755.0,0.0
21,43,2235,0,0,tick,1033353170,1967154412,1967148294,1033353170,55522730,1465388899.0,2000956717.0,0.0
22,45,2235,0,0,tick,2986742179,2010321766,2010329022,2986742179,431898010,2976239619.0,1994897169.0,0.0
23,47,2235,0,0,tick,2982354742,2009741667,2009746356,2982354742,431246438,2926033146.0,2009948129.0,0.0
24,49,2235,0,0,tick,2990286200,2010748440,2010755496,2990286200,432827832,2961862873.0,1986758587.0,0.0
25,51,2235,0,0,tick,2983951871,2009845524,2009856486,2983951871,431515112,2935683454.0,2010576815.0,0.0
26,53,2235,0,0,tick,3002888747,2010751357,2010743388,3002888747,434177267,2990429757.0,2010196284.0,0.0
27,55,2235,0,0,tick,2994787211,2010759356,2010769710,2994787211,433036372,1624465466.0,1980842485.0,0.0
28,57,2235,0,0,tick,891840098,1966739541,1966701156,891840098,44805155,1421295577.0,2001489411.0,0.0
29,59,2235,0,0,tick,2211148368,2004340659,2004413184,2211148368,271716320,2977833686.0,2010722719.0,0.0
30,61,2235,0,0,tick,2996151557,2010911875,2010929532,2996151557,433748449,2985137771.0,2010505684.0,0.0
31,63,2235,0,0,tick,2916759723,1987538043,1993562868,2916759723,420212311,2978929196.0,2010349941.0,0.0
32,65,2235,0,0,tick,2995794977,2010626818,2010644958,2995794977,433890134,2992324989.0,2010758651.0,0.0
33,67,2235,0,0,tick,2979224833,2011066514,2011056816,2979224833,432173822,2950166882.0,2010872343.0,0.0
34,69,2235,0,0,tick,2952265901,1986219973,1994851122,2952265901,427668326,2994893745.0,2010648267.0,0.0
35,71,2235,0,0,tick,2982611647,2010441735,2010431646,2982611647,432507957,1874667829.0,2005921394.0,0.0
36,73,2235,0,0,tick,801934465,1974207801,1974182898,801934465,36049798,1431885155.0,1995781934.0,0.0
37,75,2235,0,0,tick,2064752486,2003519313,2003443836,2064752486,234764828,2956525786.0,2003026899.0,0.0
38,77,2235,0,0,tick,2986773060,2010331043,2010334458,2986773060,432971085,2965138048.0,1988385933.0,0.0
39,79,2235,0,0,tick,3004392141,2010480036,2010479922,3004392141,434762937,2955853313.0,1986866013.0,0.0
