,index,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
50,50,2010157349.0,1995153122.0,2010817988.0,2011388952,2011195111,2011180789.0,2010866186,2010425070,2011176895,2010630408
51,51,2010541865.0,2010868079.0,2010769250.0,2011385850,2010945972,2010991543.0,2010931741,2010940028,2000872473,2011073962
52,52,1987076231.0,1995125182.0,2010786973.0,2010724999,2010951824,2010979186.0,2010954923,1995021119,2010443355,2010767945
53,53,1992825026.0,1994912057.0,2010938659.0,2010562461,2010921657,2011125199.0,2010191625,2011031406,2010985723,2010316534
54,54,2010384279.0,2011109786.0,2010837546.0,2011189986,2010606597,2010900774.0,2011188397,2010861001,2010644026,2010736137
55,55,2010453153.0,2011273935.0,2010293238.0,2011248474,2011060244,2010865635.0,2011123323,2011072454,2011039468,2010797543
56,56,1994357408.0,2010710280.0,2010840638.0,2011229644,2010695732,2011042127.0,2010828062,2011064135,2011001672,2010117691
57,57,2010991630.0,2011278516.0,2011034177.0,2011308364,2011157083,2001007279.0,1995035470,2010925150,2010926749,2010541185
58,58,1981904414.0,2004886221.0,1999682309.0,2005797779,2000377183,2003543693.0,1989026148,2005689186,1985660712,2002057872
59,59,1981854732.0,2002828497.0,1994201214.0,2002903944,2001076285,1977527601.0,2002295240,2002411405,2001694143,2001298927
60,60,2010843676.0,2011122485.0,2010449427.0,2011228083,2011094617,2011059493.0,2010722209,2010916936,2010624263,2010393850
61,61,2011066910.0,2011148358.0,2010395968.0,2011146680,2002821984,2011160087.0,1995042711,2011058639,2011182774,2010555381
62,62,2011146907.0,2010291491.0,2010831928.0,2011235738,2011099493,2011301773.0,2010884900,2011131210,2011159915,1992623242
63,63,2011069636.0,1986582096.0,2011002202.0,2011158910,2010764663,2011140910.0,2011083784,2010727719,2010779975,2010784174
64,64,2010662158.0,2003173001.0,1986711447.0,2011163980,2010243909,2010478365.0,2010998855,2011051347,2011178549,2010456988
65,65,1986710918.0,2011070500.0,2010620106.0,2011358042,2010453877,2010377340.0,2010781986,2011129928,2011133367,2010888629
66,66,2010859473.0,2011134181.0,2010939530.0,2010912442,2010484966,2010945590.0,2011083588,2010915704,1994488326,1994651442
67,67,2011120113.0,2011157509.0,2010949055.0,2010158407,2011015629,2010635016.0,2010947271,2011095675,2011219738,1994761024
68,68,2011155697.0,2010408721.0,2010694247.0,2011315257,2010957977,2010967574.0,2010995908,2010865927,2011157927,2010666140
69,69,2010752903.0,2010318492.0,2011014873.0,2011286308,2010923273,2010188185.0,2011131337,2010887277,2010936470,2011020836
70,70,2010840680.0,2009374414.0,2010780754.0,2010629868,2006182465,2008018530.0,2009885274,2010363525,2006262937,2006652363
71,71,1969869082.0,1971383026.0,1968616384.0,1954393392,1996390537,1961338519.0,1970773181,1971114883,1996088563,1976913063
72,72,2004933397.0,2006331423.0,2003885859.0,2005992314,2010975288,2010959149.0,2006738164,2005887753,2010575397,2004879363
73,73,2010553323.0,1994393283.0,2010777393.0,2011238888,2010964784,2011052043.0,2010992878,2011131281,2011122598,2010731554
74,74,2010941541.0,2010825440.0,2010763309.0,2011344930,2003010891,2011013195.0,2004761603,2010892242,2011154359,2011130952
75,75,2010427428.0,2011177349.0,2011016819.0,2011367962,2010886503,2010358114.0,2011053704,2010609314,1992110425,2010751624
76,76,2010581020.0,2011052788.0,2010650722.0,2010569189,2010927318,2010850395.0,2010944907,2010535848,2011072758,2002711000
77,77,2011175787.0,2011035139.0,2010860853.0,2010419256,2010849412,2011020049.0,2002477773,1995020415,2011031184,2010278037
78,78,2010966807.0,2010146317.0,2011051798.0,1988760895,2011174296,2011019978.0,2011143196,2011102666,2010842361,2010959515
79,79,2011184021.0,2011096534.0,2010936672.0,1993948724,1994796626,2011029218.0,2011151818,2011140156,2011254449,2010610610
