,index,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
0,0,735994740.0,743599790.0,724456692.0,729397063,724341788,724559367.0,725883992,729373978,727610273,727097220
1,1,1175326963.0,1175210892.0,1174112164.0,1154626411,1153610961,1168982759.0,1178845229,1152476006,1167530182,1136452992
2,2,1346675272.0,1344057460.0,1348587639.0,1363391533,1377628203,1383665082.0,1371892434,1367977651,1386696320,1385766488
3,3,2905869530.0,2961227712.0,2959532893.0,2934461099,2951430896,2928468634.0,2958851110,2922469307,2943863209,2953260977
4,4,2969683817.0,2966328274.0,2927669246.0,2940183471,2974002649,2968391809.0,2957195477,2947410792,2960883501,2970154626
5,5,2963443614.0,2979081714.0,2970804743.0,2968038700,2978768923,2979314333.0,2963473039,2963203982,2979530946,2939255569
6,6,992867595.0,982691572.0,1017521992.0,1003307003,1063418417,1059499005.0,1036993186,999157830,1064750803,1058038462
7,7,2953897071.0,2949079600.0,2964226716.0,2969198149,2968344324,2973846265.0,2944177297,2932616990,2965850960,2964637367
8,8,2902594991.0,2890984850.0,2887002350.0,2887225773,2911609890,2921861488.0,2892764475,2868116549,2925508247,2877903817
9,9,2881520477.0,2915864231.0,2907538036.0,2886423044,2902073329,2897930073.0,2911829299,2898938422,2898877973,2903436453
10,10,2829483071.0,2863165298.0,2762807566.0,2776539500,2610779527,2629298110.0,2694961409,2831869845,2595727844,2690313807
11,11,1276948800.0,1267842559.0,1287550492.0,1279368957,1359478487,1353202180.0,1305094857,1270664213,1347570029,1315808033
12,12,2930457276.0,2935160100.0,2920489530.0,2953668195,2945600063,2955250851.0,2939997715,2951188691,2949362619,2959215447
13,13,2915841410.0,2896303873.0,2938793038.0,2937594077,2964025538,2959312999.0,2938248131,2952506323,2945443871,2949923952
14,14,2955198854.0,2912850218.0,2919803038.0,2947336433,2956843156,2942697124.0,2933857938,2948747428,2931146165,2955737266
15,15,949464308.0,908010742.0,950298508.0,944017507,1073211506,1054877225.0,987366167,953369018,1054002158,1027922537
16,16,2782961939.0,2729829537.0,2770477874.0,2813853343,2984520056,2977771511.0,2876277416,2783095831,2960324570,2984445195
17,17,2932445862.0,2908975560.0,2921453827.0,2945996329,2923431209,2913081039.0,2930143132,2933150732,2917024189,2924320023
18,18,2968980561.0,2965068547.0,2959512610.0,2941529060,2976257829,2959481090.0,2959767399,2966986171,2970147889,2930366558
19,19,2969085716.0,2926687307.0,2955208421.0,2952939522,2973202237,2969741408.0,2958818430,2959812300,2973011460,2965451888
20,20,1167324084.0,1307122903.0,1221222470.0,1170497575,758332278,822748069.0,1085982874,1186671774,819523917,954317264
21,21,1558073240.0,1465388899.0,1505909999.0,1498703666,1917126382,1791726106.0,1603512255,1548855223,1824439986,1699060651
22,22,2991223307.0,2976239619.0,2972359314.0,2964953070,3008679624,2961233664.0,2985442180,3000250471,3004808181,2992221822
23,23,2924118962.0,2926033146.0,2935148703.0,2927327568,2933598776,2934333614.0,2915241825,2931752054,2947134419,2945134651
