,nsample,pid,coretype,expid,event,pmc0,pmc1,pmc2,pmc3,pmc4,pmc5,pmc6,pmc7
0,1,2436,0,0,tick,758715437,1364151036,1366518408,758715437,89365238,735994740.0,1946324293.0,0.0
1,3,2436,0,0,tick,1183358509,1942903375,1942940184,1183358509,62316737,1175326963.0,1974085137.0,0.0
2,5,2436,0,0,tick,786636352,1982363159,1982352102,786636352,21799711,1346675272.0,1966398442.0,0.0
3,7,2436,0,0,tick,2839996845,1992639081,1993038006,2839996845,406904264,2905869530.0,1986510368.0,0.0
4,9,2436,0,0,tick,2866823641,2006666760,2008936770,2866823641,409184673,2969683817.0,2010613317.0,0.0
5,11,2436,0,0,tick,2833977616,1993376241,1993393122,2833977616,404880220,2963443614.0,2009798645.0,0.0
6,13,2436,0,0,tick,1645208130,2005025049,2005020204,1645208130,187393558,992867595.0,1967331890.0,0.0
7,15,2436,0,0,tick,1872005699,2002534280,2002397712,1872005699,194611233,2953897071.0,2002861123.0,0.0
8,17,2436,0,0,tick,2973060612,2010845860,2010851298,2973060612,430702753,2902594991.0,2009934889.0,0.0
9,19,2436,0,0,tick,2972137371,2010929793,2010929520,2972137371,430540830,2881520477.0,1990278977.0,0.0
10,21,2436,0,0,tick,2966996180,2010415404,2010420198,2966996180,429723242,2829483071.0,1993259271.0,0.0
11,23,2436,0,0,tick,725036629,1981270182,1981320474,725036629,21403492,1276948800.0,1967605854.0,0.0
12,25,2436,0,0,tick,2533824969,1988560035,1990462440,2533824969,350912713,2930457276.0,1992719372.0,0.0
13,27,2436,0,0,tick,2896435581,2009722638,2009728122,2896435581,417826296,2915841410.0,1989018450.0,0.0
14,29,2436,0,0,tick,2883745232,2009934950,2009916312,2883745232,415737417,2955198854.0,2010653150.0,0.0
15,31,2436,0,0,tick,1670374291,2005351707,2005345470,1670374291,194613848,949464308.0,1967162942.0,0.0
16,33,2436,0,0,tick,1420323642,1980012417,1983890532,1420323642,80423855,2782961939.0,2010784332.0,0.0
17,35,2436,0,0,tick,2964077185,2010771552,2010772152,2964077185,431383555,2932445862.0,2010553219.0,0.0
18,37,2436,0,0,tick,2968885745,2010357640,2010344508,2968885745,431375794,2968980561.0,2011029116.0,0.0
19,39,2436,0,0,tick,2905549664,1995798547,2001787476,2905549664,419216325,2969085716.0,2010352535.0,0.0
20,41,2436,0,0,tick,2972368726,2010192208,2010191232,2972368726,431908854,1167324084.0,1978683152.0,0.0
21,43,2436,0,0,tick,1078459499,1967693993,1967668584,1078459499,58122465,1558073240.0,2000711772.0,0.0
22,45,2436,0,0,tick,2994379785,2010606517,2010620160,2994379785,433314006,2991223307.0,2002832330.0,0.0
23,47,2436,0,0,tick,2987389243,2010830055,2010848178,2987389243,432067130,2924118962.0,2010055513.0,0.0
24,49,2436,0,0,tick,2970051362,1994599371,1994600682,2970051362,429479066,2964674144.0,1994957107.0,0.0
25,51,2436,0,0,tick,2999978543,2010310247,2010310284,2999978543,433785550,2931295516.0,2010084894.0,0.0
26,53,2436,0,0,tick,3005554691,2010285443,2010292020,3005554691,434489056,2997618287.0,2010313057.0,0.0
27,55,2436,0,0,tick,2964800370,1994441885,1994459874,2964800370,428713977,1502308611.0,1996661751.0,0.0
28,57,2436,0,0,tick,932261918,1948250011,1950235014,932261918,47368794,1438003745.0,1986138648.0,0.0
29,59,2436,0,0,tick,2267664941,2004967461,2004943074,2267664941,283718991,2986950643.0,2010392350.0,0.0
30,61,2436,0,0,tick,2998221152,2010382221,2010378450,2998221152,434069216,2980632147.0,2001729604.0,0.0
31,63,2436,0,0,tick,2950187336,2010693750,2010732894,2950187336,424989600,2988979992.0,2011177772.0,0.0
32,65,2436,0,0,tick,2980940440,2010442732,2010461706,2980940440,431655514,2965149628.0,2004231696.0,0.0
33,67,2436,0,0,tick,2954958573,2002772180,2002770924,2954958573,428249138,2911102444.0,1986785801.0,0.0
34,69,2436,0,0,tick,2992616603,2010366045,2010356868,2992616603,433458395,2998111941.0,2009981062.0,0.0
35,71,2436,0,0,tick,2949234980,2001382998,2002732560,2949234980,427525335,1792295977.0,2005886888.0,0.0
36,73,2436,0,0,tick,812636636,1957660453,1957672590,812636636,36847833,1433203108.0,1996045692.0,0.0
37,75,2436,0,0,tick,2071378815,1995642995,1995621378,2071378815,238624433,2993538714.0,2011089327.0,0.0
38,77,2436,0,0,tick,2952929642,1988633912,1994639382,2952929642,428125307,2979651531.0,1994488158.0,0.0
39,79,2436,0,0,tick,3004257314,2010868170,2010868452,3004257314,434852654,2987820838.0,2010974483.0,0.0
40,81,2436,0,0,tick,2998525743,2010008358,2010024348,2998525743,429549173,2992373959.0,2010158463.0,0.0
41,83,2436,0,0,tick,2987177949,2010696891,2010721362,2987177949,432997379,3006344746.0,2011009043.0,0.0
42,85,2436,0,0,tick,2987307549,2010986843,2010991500,2987307549,432234303,2976692152.0,2010495397.0,0.0
