,nsample,pid,coretype,expid,event,pmc0,pmc1,pmc2,pmc3,pmc4,pmc5,pmc6,pmc7
0,1,2321,0,0,tick,783336810,1437284596,1444470750,783336810,92431607,724559367.0,1943043738.0,0.0
1,3,2321,0,0,tick,1196879934,1931867376,1931847096,1196879934,63538030,1168982759.0,1998174577.0,0.0
2,5,2321,0,0,tick,784773171,1961532812,1961489676,784773171,29688898,1383665082.0,1976367830.0,0.0
3,7,2321,0,0,tick,2938411418,2010465685,2010511386,2938411418,421619551,2928468634.0,1991909265.0,0.0
4,9,2321,0,0,tick,2883632553,2010116954,2010172860,2883632553,411983535,2968391809.0,2011058713.0,0.0
5,11,2321,0,0,tick,2871327893,2009673912,2009684070,2871327893,410086609,2979314333.0,2011142052.0,0.0
6,13,2321,0,0,tick,1450083478,2002995552,2002965252,1450083478,152467504,1059499005.0,1950842777.0,0.0
7,15,2321,0,0,tick,2023709558,2003521023,2003547084,2023709558,227016725,2973846265.0,2010683619.0,0.0
8,17,2321,0,0,tick,2941103975,2009482233,2009495172,2941103975,425070931,2921861488.0,2009860060.0,0.0
9,19,2321,0,0,tick,2937263542,1994458224,1994474400,2937263542,425675097,2897930073.0,2010428977.0,0.0
10,21,2321,0,0,tick,2961964896,2010780113,2010793734,2961964896,428798143,2629298110.0,2009337285.0,0.0
11,23,2321,0,0,tick,754540690,1998317155,1998310458,754540690,21381162,1353202180.0,1971087294.0,0.0
12,25,2321,0,0,tick,2738005190,2007218439,2007223770,2738005190,394921637,2955250851.0,2010752626.0,0.0
13,27,2321,0,0,tick,2884771446,2010090561,2010113778,2884771446,416728824,2959312999.0,2011001277.0,0.0
14,29,2321,0,0,tick,2870100301,2009750595,2009773368,2870100301,414350566,2942697124.0,2010959031.0,0.0
15,31,2321,0,0,tick,1353673918,2004105213,2004079110,1353673918,137605593,1054877225.0,1967559592.0,0.0
16,33,2321,0,0,tick,1488736021,1989430625,1992040602,1488736021,106880818,2977771511.0,2010297943.0,0.0
17,35,2321,0,0,tick,2968209180,2009602472,2009607450,2968209180,431595481,2913081039.0,2010471673.0,0.0
18,37,2321,0,0,tick,2962387539,2010808160,2010814128,2962387539,430540076,2959481090.0,2010897861.0,0.0
19,39,2321,0,0,tick,2920337453,2010278849,2010299202,2920337453,421470738,2969741408.0,2011023888.0,0.0
20,41,2321,0,0,tick,2983170294,2010686821,2010706236,2983170294,432368438,822748069.0,2002183355.0,0.0
21,43,2321,0,0,tick,1206988307,1948755770,1950793206,1206988307,71625047,1791726106.0,1986903329.0,0.0
22,45,2321,0,0,tick,2976308831,2010848972,2010852054,2976308831,430297352,2961233664.0,1994972983.0,0.0
23,47,2321,0,0,tick,2996107819,2009821508,2009787924,2996107819,433242265,2934333614.0,2009815960.0,0.0
24,49,2321,0,0,tick,3003048963,2010568403,2010573354,3003048963,434250326,2994837317.0,2010844846.0,0.0
25,51,2321,0,0,tick,2987610837,2002713211,2002709958,2987610837,432053321,2926488010.0,2002127572.0,0.0
26,53,2321,0,0,tick,3007869502,2009890495,2009907144,3007869502,434878560,3010749550.0,2010403372.0,0.0
27,55,2321,0,0,tick,2993781884,2010197727,2010214224,2993781884,433569248,1080913222.0,2002844860.0,0.0
28,57,2321,0,0,tick,1094442115,1967135026,1967102220,1094442115,59395664,1468847193.0,2002135230.0,0.0
29,59,2321,0,0,tick,2607087466,1998980829,1998982632,2607087466,363645223,2982561107.0,2011097403.0,0.0
30,61,2321,0,0,tick,2983538578,2010834910,2010868752,2983538578,431791679,2953836127.0,2011030158.0,0.0
31,63,2321,0,0,tick,2925446239,2010620458,2010638952,2925446239,421403424,2973694581.0,2011074635.0,0.0
32,65,2321,0,0,tick,2986269802,2009860005,2009848764,2986269802,432382434,2977739121.0,2011035355.0,0.0
33,67,2321,0,0,tick,2935772111,2010697581,2010722094,2935772111,423585897,2954136283.0,2009919022.0,0.0
34,69,2321,0,0,tick,2985798104,2010923778,2010930978,2985798104,432507963,2956025650.0,1982451986.0,0.0
35,71,2321,0,0,tick,2977234878,2010869744,2010852222,2977234878,431991431,1328910417.0,2004322722.0,0.0
36,73,2321,0,0,tick,1000048352,1967789023,1967762796,1000048352,53949096,1455190485.0,2002688378.0,0.0
37,75,2321,0,0,tick,2473740555,2005309320,2005351368,2473740555,326789073,2958997796.0,1988205163.0,0.0
38,77,2321,0,0,tick,2995821611,2010455286,2010478206,2995821611,433827927,2997992023.0,2010694208.0,0.0
39,79,2321,0,0,tick,2989974923,2010424279,2010422724,2989974923,433295629,2964677755.0,2007592380.0,0.0
40,81,2321,0,0,tick,2994161432,2010989416,2010992430,2994161432,428785223,2980334332.0,2011280326.0,0.0
41,83,2321,0,0,tick,2967901282,1994163703,1994393706,2967901282,430031134,2979984873.0,1992962891.0,0.0
42,85,2321,0,0,tick,3002855395,2011075664,2011091220,3002855395,434997064,2991596277.0,2011036770.0,0.0
43,87,2321,0,0,tick,3004460881,2010563778,2010563082,3004460881,430193367,2976945183.0,2011058335.0,0.0
44,89,2321,0,0,tick,2957704145,1994709933,1994763306,2957704145,428773869,2986090819.0,2011124309.0,0.0
45,91,2321,0,0,tick,2959589531,2010941883,2010936786,2959589531,428349940,2969647008.0,2010963619.0,0.0
46,93,2321,0,0,tick,2590860879,1993405412,1993417656,2590860879,358214456,699570210.0,1998635535.0,0.0
47,95,2321,0,0,tick,1290067463,1971146319,1971167838,1290067463,72104531,1640598162.0,2001838232.0,0.0
48,97,2321,0,0,tick,2992130439,2010889179,2010880866,2992130439,432824055,2999718522.0,2010763232.0,0.0
49,99,2321,0,0,tick,2997960703,2010835001,2010833838,2997960703,434222722,2960334847.0,1995005980.0,0.0
50,101,2321,0,0,tick,2998303038,2010850038,2010858030,2998303038,434013930,2996164749.0,2011180789.0,0.0
51,103,2321,0,0,tick,2993509827,2010996638,2011007964,2993509827,430813188,2999989343.0,2010991543.0,0.0
52,105,2321,0,0,tick,3007939289,2011087700,2011077774,3007939289,434890141,2983549386.0,2010979186.0,0.0
53,107,2321,0,0,tick,2983982747,2010876416,2010858450,2983982747,433435304,3004817176.0,2011125199.0,0.0
54,109,2321,0,0,tick,3006553597,2011102653,2011096458,3006553597,434638870,3014991947.0,2010900774.0,0.0
55,111,2321,0,0,tick,2999710096,2010254850,2010261498,2999710096,433351553,2996071184.0,2010865635.0,0.0
56,113,2321,0,0,tick,3006191146,2010641099,2010655494,3006191146,435426977,2965592687.0,2011042127.0,0.0
57,115,2321,0,0,tick,2985772574,2010907185,2010906504,2985772574,432221950,2974377025.0,2001007279.0,0.0
58,117,2321,0,0,tick,2997588936,2010985469,2010981918,2997588936,432111262,1077716178.0,2003543693.0,0.0
