,index,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
0,0,1364151036,1370436768,1398808209,1452430573,1446564367,1437284596,1431037877,1448450738,1421627876,1413418738
1,1,1942903375,1922981318,1931220108,1940120879,1936908675,1931867376,1925880200,1946445997,1943768186,1948014460
2,2,1982363159,1983932941,1969005079,1964988600,1951003898,1961532812,1969204150,1944696903,1956117710,1967581354
3,3,1992639081,1989562396,2010055306,1994572071,1985401956,2010465685,2009900473,2010355756,2005637482,2001570643
4,4,2006666760,2008861956,2009911917,2002156527,2009878684,2010116954,2010087891,2008772453,1993987121,2009128459
5,5,1993376241,2009777187,2010083988,2009695903,2008442394,2009673912,1981844889,1990622940,2001012919,2009235420
6,6,2005025049,2005106434,1996711012,1988931541,1996454440,2002995552,1996642124,1996609865,2004308579,2003941695
7,7,2002534280,1986623322,2002915205,2003312757,2003529245,2003521023,2003482700,1994622969,1987809751,1987473539
8,8,2010845860,2010791145,2010736958,2010448554,2010605037,2009482233,1994403997,2010372809,2010542391,2002835048
9,9,2010929793,2010832417,2010066435,2010586521,2010345103,1994458224,2010743895,2010795444,2010823135,2010742563
10,10,2010415404,2010615153,2010587684,2011267198,2010109480,2010780113,2010879131,2010606956,2010603223,2010741432
11,11,1981270182,1996036276,1988909977,1980789590,1998122143,1998317155,1982151318,1980800125,1981442871,1971582811
12,12,1988560035,1988126128,2006744551,2007636135,2010318839,2007218439,2007127869,2006864722,2008033482,1991489039
13,13,2009722638,2004385682,1993867942,1994348731,2010023988,2010090561,2010206499,2010375704,2010325025,2009936287
14,14,2009934950,1990043808,2010058018,1992399654,2009946523,2009750595,2010194372,2010166459,2009775094,2010071739
15,15,2005351707,2005464450,2005233033,2004870247,2003582925,2004105213,2004402574,2004912533,2002525216,2004414600
16,16,1980012417,2001975940,1983267045,2000400596,2000907942,1989430625,1984016141,1998688533,2000665752,2000616444
17,17,2010771552,2010904145,2009691216,2010995509,2010243526,2009602472,2010582536,2010636662,2010352448,1997389748
18,18,2010357640,2010165274,2010799645,1994640161,2010275368,2010808160,2010241969,2010950604,2010820934,1994256494
19,19,1995798547,2009345792,2010285925,2010801488,2010379413,2010278849,2010230879,2010433387,2006180765,1994201836
20,20,2010192208,2009661508,2010687123,2011034540,2010590709,2010686821,2010260007,1994691968,2010605074,2009890099
21,21,1967693993,1967154412,1967255041,1966162292,1970390849,1948755770,1967582004,1967233307,1968364589,1967241179
22,22,2010606517,2010321766,2010668222,2003143969,2010212897,2010848972,2010831040,2010866875,2010878488,2010261681
23,23,2010830055,2009741667,2010532593,2011093256,2010610965,2009821508,2002282089,2009602317,2010289893,2010840320
24,24,1994599371,2010748440,1994697985,2011257220,2002744686,2010568403,2010632019,2010326187,2010821731,2010559511
25,25,2010310247,2009845524,2010721959,2011198677,2010212807,2002713211,2010740164,1986743433,2010873959,2010289885
26,26,2010285443,2010751357,2010632194,2011179403,2010686867,2009890495,2010756542,2010718404,2010706511,2010070539
27,27,1994441885,2010759356,2010721081,2011232202,2010090524,2010197727,2010621827,2010755658,2010717718,2010518223
28,28,1948250011,1966739541,1967391919,1967012680,1966997599,1967135026,1953684169,1967459303,1967284427,1967834556
29,29,2004967461,2004340659,2004389604,1989245214,2007600021,1998980829,2005550504,1989271745,1998654312,2006653276
30,30,2010382221,2010911875,2010760131,2011321688,2010850320,2010834910,1993617275,2011047468,2010956629,2010637816
31,31,2010693750,1987538043,2009431393,2011093691,2010553150,2010620458,2010007924,2010661872,2002403726,2010639726
32,32,2010442732,2010626818,2010080361,2011144927,2009826564,2009860005,2010862042,2010759906,1993821310,2010566611
33,33,2002772180,2011066514,1994340314,2011319338,2009976192,2010697581,2010851969,2010752528,1994627317,2010331978
34,34,2010366045,1986219973,2010592722,2011207108,2010343899,2010923778,2010795368,2010913013,2010675401,2003810449
35,35,2001382998,2010441735,2010869561,1995086146,2010219190,2010869744,2010755124,2010755869,2010430578,2010735206
36,36,1957660453,1974207801,1965106767,1974543146,1966975171,1967789023,1969118210,1973485333,1966314977,1950457395
37,37,1995642995,2003519313,1987530287,2004287526,2006617817,2005309320,2004198645,1995962491,2006679635,2005756898
38,38,1988633912,2010331043,2010522580,1994708489,1988325208,2010455286,2010947386,2010738890,2010414202,2010598251
39,39,2010868170,2010480036,2010626913,1994856392,2010646186,2010424279,2010605080,2010815549,2010879901,2010828830
40,40,2010008358,2010576756,2010099447,2011080889,2010855647,2010989416,2010703642,2010848364,2010470739,2010289207
41,41,2010696891,2010540835,2010720500,2011062590,1992242211,1994163703,2010763006,2010397643,2010297925,1994377324
42,42,2010986843,2011104541,2010782664,2011090761,2010829327,2011075664,2010905512,2010780790,2010335752,2010551554
43,43,1998272786,2011009587,2010576114,2010975018,2010911690,2010563778,2010142298,2010878832,2010993596,2002190075
44,44,2004610617,2011138030,2010632055,2011243937,2010801971,1994709933,2010847373,2010532814,2010563229,2010109064
45,45,1994527237,2006786338,2010312385,2011122662,2010714349,2010941883,2010384861,2010915384,2010816698,2003708799
46,46,2010186355,2010075890,2010460319,2010979313,2008109560,1993405412,2010763434,2010864191,2007528665,2008657607
47,47,1967129555,1967915064,1967857865,1968091013,1966071633,1971146319,1969647631,1969028373,1969151124,1970597975
48,48,2007673035,1999524451,2007293875,2008038186,2010444068,2010889179,1994754710,2010011609,2010764081,2010305584
49,49,2010289291,1992166191,2010701194,2011101681,2010795035,2010835001,2010808636,2010960871,2010825499,2010875148
50,50,2010709827,2010915959,2010789640,2011100806,2010658272,2010850038,2010731920,2010670327,2010473303,2010804247
51,51,2010386384,2011179147,2010723154,2011014602,2010770409,2010996638,2010828260,2010872173,2010960412,2010545372
52,52,2010515591,2010616646,1994563833,2011101317,1994867306,2011087700,2002584831,2010937175,2010720928,1989397241
53,53,2010391924,2011027236,2010725102,2010954121,2010729069,2010876416,2010831052,2010677908,2010144020,2010331725
54,54,2010255703,2010216229,2010872293,2010318276,2010824054,2011102653,2010651824,2010608028,2010920626,1992327415
55,55,1994399442,2010679493,2010465623,2011178806,2010947835,2010254850,2010855533,2010765381,2010900598,2010667545
56,56,2010222052,2011045190,2010420240,2010930860,2010954375,2010641099,2010893368,2010722381,2010723395,2010414325
57,57,2010807148,2011073292,2010777105,2010922675,2010799501,2010907185,2010690895,2010738061,2010928591,1992067593
58,58,2010730510,1994423531,2010575945,2011095809,2010889524,2010985469,2010681799,1985254780,2010574325,2010203254
59,59,1965412707,1946186938,1972808534,1967475468,1968124335,1950118070,1967007763,1966604120,1959000611,1967417875
60,60,1979155596,2001850378,2000248983,2001632607,2004490904,2004097373,2002322735,2000601798,2004309703,2003023360
61,61,2010650803,2010819594,2009966993,2011003186,1994906554,2010769723,2010673121,2010896639,2010971755,2010266231
62,62,2010819243,2010529496,1996378987,2011064742,2010688805,2010886315,2010817329,2010714574,1999743346,2010857411
63,63,2010940249,2010782395,2010714258,2010978777,2001403540,2011131342,2010951725,2010860520,2010999607,2010597640
64,64,1986672888,2010974564,2010495536,2011029122,2010363171,1988419529,2010688973,2010880475,2010863778,2010340761
65,65,1994251281,2010772773,2010675709,2011015118,2010288475,2010499371,2010807450,2010581580,1994591772,2010170088
66,66,2010953234,2011108915,1992055580,2011007338,2009991955,2010473216,1992487363,2011029025,2010789193,2010639120
67,67,2010665188,2010775338,2010642165,2010353079,1986577412,1994729506,1994735809,2010795616,2010850362,2010361843
68,68,2009754353,2011100636,2010832651,2010751299,2010920285,2009978193,2010891340,2010704708,2010581573,1986788330
69,69,1988827682,1989261812,2010658263,2010996815,2010692974,1988322101,2010951378,2010837140,1994893527,1994669268
70,70,2010478438,2010312715,2010696623,2011191946,2010782490,2010806116,1994671234,2010885734,2010810019,2010782833
71,71,1997384619,1979969812,1975102658,1998309800,1957282477,1974209541,1981975290,1998061602,1973721556,1957841245
72,72,1994026543,2000271948,2001632288,2001909622,1985174490,2000157163,2001948844,1986325861,2001593171,2000053953
73,73,2010511246,2010500190,2010168875,2011026766,2010675978,2010978893,2010673496,2010944872,2010910964,2010387608
74,74,2009771211,1986095427,2010655761,2011137422,2010657600,2010503941,1992716579,2010656257,2010498750,2010877467
75,75,2010365750,2010923204,2010829319,2011097031,2010032631,2010937087,2010862001,2002854975,2010950714,1994419654
76,76,2010205946,2010787670,1988299751,2010840714,2010814788,2010648148,2010636046,2010349501,1994581102,1995111809
77,77,2010869759,2010969026,2010743330,2010383107,2010889412,2010067958,2010934947,2010869030,2010638225,2010012488
78,78,2010990440,2010433973,2010831244,1994810334,2010722256,2011071995,2010671034,2010968692,2010886604,2004417798
79,79,2010906106,1986490899,2010745891,2010897105,2010837396,2010712625,2010191451,2010819119,2011075131,2010734702
80,80,1992853387,2011004474,2002759192,1994944428,2010836701,2010814719,2002871312,1994638379,2010445528,2010908787
81,81,2010491328,2010969986,2010692138,1994756156,2000621108,2010085636,2010801305,2010228777,2010815888,2010731024
82,82,2010914604,1992581750,2010684956,2011127180,1994902836,2010985740,1994435676,1992110076,2010429067,2010946818
83,83,2008791676,2008895493,2009425274,2008932178,2004093775,2005842295,2008371580,2008786165,2003594297,1981212832
84,84,1969870269,1966243789,1962358642,1955200013,1986318513,1995964444,1954943528,1970791405,2002294761,1985631867
85,85,1993134246,2003460600,2003095139,2003798172,2010923885,2007407745,2004586057,2003789168,2010762258,1998821780
86,86,2010157178,2010939165,2010242233,1994686210,2010958834,2009663518,2010745306,2010877105,2010470437,2010478662
87,87,2010784735,2010914742,2010769238,2009663087,2002280091,2010474649,2010910399,2002438720,2010899456,1994378404
88,88,2010054156,2010510692,2010151050,1992424985,2010503549,2010342550,2010603222,2010953902,2010794489,2010345172
89,89,1987633308,2010960953,2010825964,2010738603,2010720316,2010317306,2010615477,1994395956,2010250390,1994679419
90,90,2009977505,1986702521,2010021209,2010744123,1992583542,1994801550,2010694723,1994813182,2010838867,2010767465
91,91,1986870804,2010023390,2010507614,1994715608,2010894144,1994776267,2010688368,2010442157,2001210553,2010926017
