nsample pid coretype expid event pmc0 pmc1 pmc2 pmc3 pmc4
1 2274 0 0 tick 784922981 1446564367 1448341740 784922981 92457755
2 2274 0 1 tick 724341788 1938214659 - 0 -
3 2274 0 0 tick 1208752864 1936908675 1938276750 1208752864 65710419
4 2274 0 1 tick 1153610961 1982277345 - 0 -
5 2274 0 0 tick 781542563 1951003898 1951002540 781542563 27351674
6 2274 0 1 tick 1377628203 1971270851 - 0 -
7 2274 0 0 tick 2893017551 1985401956 1991438304 2893017551 414845989
8 2274 0 1 tick 2951430896 2009087975 - 0 -
9 2274 0 0 tick 2881389368 2009878684 2009890800 2881389368 411547646
10 2274 0 1 tick 2974002649 2010036787 - 0 -
11 2274 0 0 tick 2873015987 2008442394 2008502562 2873015987 410360482
12 2274 0 1 tick 2978768923 2010519310 - 0 -
13 2274 0 0 tick 1471908932 1996454440 1996487190 1471908932 156564189
14 2274 0 1 tick 1063418417 1967306814 - 0 -
15 2274 0 0 tick 2014840284 2003529245 2003381658 2014840284 225332580
16 2274 0 1 tick 2968344324 2010953184 - 0 -
17 2274 0 0 tick 2953954489 2010605037 2010600300 2953954489 427003930
18 2274 0 1 tick 2911609890 2010178983 - 0 -
19 2274 0 0 tick 2968134712 2010345103 2010356658 2968134712 430117013
20 2274 0 1 tick 2902073329 2009371565 - 0 -
21 2274 0 0 tick 2967310320 2010109480 2010147318 2967310320 429549523
22 2274 0 1 tick 2610779527 2008911688 - 0 -
23 2274 0 0 tick 757709650 1998122143 1998100944 757709650 21388253
24 2274 0 1 tick 1359478487 1968494630 - 0 -
25 2274 0 0 tick 2757225894 2010318839 2010247470 2757225894 398613701
26 2274 0 1 tick 2945600063 2010844595 - 0 -
27 2274 0 0 tick 2870957054 2010023988 2010055314 2870957054 414604483
28 2274 0 1 tick 2964025538 2011119242 - 0 -
29 2274 0 0 tick 2880008126 2009946523 2009978298 2880008126 415863214
30 2274 0 1 tick 2956843156 2010890684 - 0 -
31 2274 0 0 tick 1323980454 2003582925 2003648664 1323980454 131892951
32 2274 0 1 tick 1073211506 1966945598 - 0 -
33 2274 0 0 tick 1555783951 2000907942 2000838162 1555783951 119504264
34 2274 0 1 tick 2984520056 2009747363 - 0 -
35 2274 0 0 tick 2967083988 2010243526 2010276060 2967083988 431501956
36 2274 0 1 tick 2923431209 2009780274 - 0 -
37 2274 0 0 tick 2963624934 2010275368 2010270654 2963624934 430718587
38 2274 0 1 tick 2976257829 2010940013 - 0 -
39 2274 0 0 tick 2933519794 2010379413 2010398694 2933519794 423270369
40 2274 0 1 tick 2973202237 2010966888 - 0 -
41 2274 0 0 tick 2981761637 2010590709 2010591180 2981761637 431755832
42 2274 0 1 tick 758332278 1998805454 - 0 -
43 2274 0 0 tick 1203478927 1970390849 1970354904 1203478927 64084441
44 2274 0 1 tick 1917126382 2000099931 - 0 -
45 2274 0 0 tick 3004615909 2010212897 2010242700 3004615909 434369405
46 2274 0 1 tick 3008679624 2011073407 - 0 -
47 2274 0 0 tick 2995391048 2010610965 2010613530 2995391048 433056844
48 2274 0 1 tick 2933598776 2010676202 - 0 -
49 2274 0 0 tick 2977438417 2002744686 2002748688 2977438417 430189357
50 2274 0 1 tick 2967894597 2010804404 - 0 -
51 2274 0 0 tick 2986504725 2010212807 2010223218 2986504725 431900010
52 2274 0 1 tick 2936705845 2010617885 - 0 -
53 2274 0 0 tick 3002696880 2010686867 2010695442 3002696880 434186147
54 2274 0 1 tick 2989771585 2006626008 - 0 -
55 2274 0 0 tick 2983810847 2010090524 2010100860 2983810847 431970590
56 2274 0 1 tick 927291111 2002374733 - 0 -
57 2274 0 0 tick 1169884747 1966997599 1966999914 1169884747 69775434
58 2274 0 1 tick 1447010075 2002519405 - 0 -
59 2274 0 0 tick 2747145341 2007600021 2007484206 2747145341 394268817
60 2274 0 1 tick 2984287015 2011062166 - 0 -
61 2274 0 0 tick 3005012245 2010850320 2010871188 3005012245 435164930
62 2274 0 1 tick 2980258953 2008944800 - 0 -
63 2274 0 0 tick 2950691908 2010553150 2010560286 2950691908 425101598
64 2274 0 1 tick 2974286768 2011139048 - 0 -
65 2274 0 0 tick 2973539845 2009826564 2009845974 2973539845 430492058
66 2274 0 1 tick 2966892991 2009978888 - 0 -
67 2274 0 0 tick 2928302695 2009976192 2009980608 2928302695 422019362
68 2274 0 1 tick 2967391973 2010077013 - 0 -
69 2274 0 0 tick 2979482215 2010343899 2010338610 2979482215 431451848
70 2274 0 1 tick 2980631003 2011078307 - 0 -
71 2274 0 0 tick 2963900738 2010219190 2010225216 2963900738 430061796
72 2274 0 1 tick 1092445891 2002195262 - 0 -
73 2274 0 0 tick 1074077997 1966975171 1966966728 1074077997 58421208
74 2274 0 1 tick 1461265361 1985977902 - 0 -
75 2274 0 0 tick 2616578586 2006617817 2006566764 2616578586 360302362
76 2274 0 1 tick 3000800148 2011048823 - 0 -
77 2274 0 0 tick 2972403952 1988325208 1994342070 2972403952 430219027
78 2274 0 1 tick 2999369608 2010457218 - 0 -
79 2274 0 0 tick 2992267468 2010646186 2010669012 2992267468 433438052
80 2274 0 1 tick 2973988022 2011030251 - 0 -
81 2274 0 0 tick 2982354191 2010855647 2010864324 2982354191 427409355
82 2274 0 1 tick 2968916583 2011150952 - 0 -
83 2274 0 0 tick 2952964417 1992242211 1994291298 2952964417 427721130
84 2274 0 1 tick 3002655870 2011133373 - 0 -
85 2274 0 0 tick 2981329277 2010829327 2010826944 2981329277 432027968
86 2274 0 1 tick 2981252813 2010993621 - 0 -
87 2274 0 0 tick 2994526295 2010911690 2010918192 2994526295 428681537
88 2274 0 1 tick 2984639313 2011179420 - 0 -
89 2274 0 0 tick 2992713439 2010801971 2010805968 2992713439 433626418
90 2274 0 1 tick 2971551619 1988880351 - 0 -
91 2274 0 0 tick 2993842853 2010714349 2010713664 2993842853 433667171
92 2274 0 1 tick 2984829595 2010844850 - 0 -
93 2274 0 0 tick 2329311935 2008109560 2008154196 2329311935 309874115
94 2274 0 1 tick 722792622 1998565319 - 0 -
95 2274 0 0 tick 1385893083 1966071633 1968732792 1385893083 85057846
96 2274 0 1 tick 1834378928 2003015659 - 0 -
97 2274 0 0 tick 2996939731 2010444068 2010455484 2996939731 433770912
98 2274 0 1 tick 3012237851 2010851568 - 0 -
99 2274 0 0 tick 2995370228 2010795035 2010796248 2995370228 434126597
100 2274 0 1 tick 2965256586 1994985009 - 0 -
