,nsample,pid,coretype,expid,event,pmc0,pmc1,pmc2,pmc3,pmc4,pmc5,pmc6,pmc7
0,1,3201,0,0,tick,770617374,1421627876,1433200218,770617374,90847524,727610273,1932983524,0
1,3,3201,0,0,tick,1208745293,1943768186,1943853150,1208745293,63947430,1167530182,1997399122,0
2,5,3201,0,0,tick,783268686,1956117710,1960371072,783268686,29343694,1386696320,1978551009,0
3,7,3201,0,0,tick,2937258168,2005637482,2005671006,2937258168,421516041,2943863209,1998015386,0
4,9,3201,0,0,tick,2859455450,1993987121,1994035560,2859455450,408532510,2960883501,2010942248,0
5,11,3201,0,0,tick,2847169124,2001012919,2001630636,2847169124,406580325,2979530946,2010835520,0
6,13,3201,0,0,tick,1479996500,2004308579,2004329676,1479996500,157552784,1064750803,1967135389,0
7,15,3201,0,0,tick,2003674837,1987809751,1987704882,2003674837,223985984,2965850960,2003158723,0
8,17,3201,0,0,tick,2958809555,2010542391,2010578298,2958809555,427771879,2925508247,2010338358,0
9,19,3201,0,0,tick,2980576593,2010823135,2010841596,2980576593,432060174,2898877973,1994251601,0
10,21,3201,0,0,tick,2963991652,2010603223,2010630888,2963991652,428963914,2595727844,2001196790,0
11,23,3201,0,0,tick,751069437,1981442871,1981406790,751069437,21315932,1347570029,1954994902,0
12,25,3201,0,0,tick,2731689859,2008033482,2008045434,2731689859,394027571,2949362619,2010613250,0
13,27,3201,0,0,tick,2872251429,2010325025,2010352650,2872251429,414913371,2945443871,2010750436,0
14,29,3201,0,0,tick,2870729877,2009775094,2009829918,2870729877,414385107,2931146165,1994608333,0
15,31,3201,0,0,tick,1391921619,2002525216,2002505064,1391921619,144235731,1054002158,1967223852,0
16,33,3201,0,0,tick,1501323297,2000665752,2000544528,1501323297,107649866,2960324570,1995116193,0
17,35,3201,0,0,tick,2964802226,2010352448,2010358236,2964802226,431125765,2917024189,2010142422,0
18,37,3201,0,0,tick,2971067096,2010820934,2010832068,2971067096,431734131,2970147889,2010755341,0
19,39,3201,0,0,tick,2914388514,2006180765,2010225108,2914388514,420596740,2973011460,2010931821,0
20,41,3201,0,0,tick,2990305251,2010605074,2010635088,2990305251,433390496,819523917,2001568588,0
21,43,3201,0,0,tick,1220955101,1968364589,1968341718,1220955101,71227986,1824439986,1987037066,0
22,45,3201,0,0,tick,3006678805,2010878488,2010894606,3006678805,434808059,3004808181,2011157082,0
23,47,3201,0,0,tick,2994196901,2010289893,2010298422,2994196901,432831277,2947134419,2010665623,0
24,49,3201,0,0,tick,2995993763,2010821731,2010823596,2995993763,433093561,2988965118,2010587560,0
25,51,3201,0,0,tick,2999982590,2010873959,2010893316,2999982590,433870548,2931761410,2010488452,0
26,53,3201,0,0,tick,2995861863,2010706511,2010747294,2995861863,433130678,2994975531,2011050062,0
27,55,3201,0,0,tick,2977788274,2010717718,2010732384,2977788274,431113141,996778579,2002695465,0
28,57,3201,0,0,tick,1132352228,1967284427,1967256504,1132352228,63239307,1448498502,1979676296,0
29,59,3201,0,0,tick,2669659022,1998654312,1998669894,2669659022,377326076,2956033259,1994099075,0
30,61,3201,0,0,tick,2989227895,2010956629,2010964884,2989227895,432687915,2954174860,1994547726,0
31,63,3201,0,0,tick,2930427602,2002403726,2002436958,2930427602,422245753,2981753133,2010759416,0
32,65,3201,0,0,tick,2969299202,1993821310,1993922508,2969299202,430046573,2989873005,2011177598,0
33,67,3201,0,0,tick,2921462412,1994627317,1994656614,2921462412,421393320,2984788799,2010587431,0
34,69,3201,0,0,tick,2982556816,2010675401,2010694308,2982556816,432009565,2967132688,2010585434,0
35,71,3201,0,0,tick,2969554357,2010430578,2010451758,2969554357,430938268,1232999230,1986881250,0
36,73,3201,0,0,tick,1024698248,1966314977,1966242408,1024698248,55381401,1459684690,2002110040,0
37,75,3201,0,0,tick,2530604904,2006679635,2006710338,2530604904,340206837,2993298923,2011101059,0
38,77,3201,0,0,tick,3002332313,2010414202,2010404886,3002332313,434696570,3021439554,2011001887,0
39,79,3201,0,0,tick,2995406716,2010879901,2010896640,2995406716,433854149,2944259289,1988139009,0
40,81,3201,0,0,tick,3005749836,2010470739,2010473952,3005749836,430854946,2962222129,1995025477,0
41,83,3201,0,0,tick,2998408879,2010297925,2010308424,2998408879,434330177,2995869266,2010931334,0
42,85,3201,0,0,tick,2990614269,2010335752,2010335904,2990614269,433350353,2983282944,2010300864,0
43,87,3201,0,0,tick,3004969111,2010993596,2011006038,3004969111,430226663,2967712093,1995140168,0
44,89,3201,0,0,tick,2996234270,2010563229,2010575850,2996234270,434171299,3015682161,2011054745,0
45,91,3201,0,0,tick,2999932108,2010816698,2010818988,2999932108,434353692,2944700125,1992014753,0
46,93,3201,0,0,tick,2393263092,2007528665,2007495918,2393263092,321596186,718493047,1997852034,0
47,95,3201,0,0,tick,1371905184,1969151124,1969225194,1371905184,83898240,1790356973,2002512447,0
48,97,3201,0,0,tick,2995443166,2010764081,2010778188,2995443166,433388257,3014525590,2010826821,0
49,99,3201,0,0,tick,3003100489,2010825499,2010823290,3003100489,435144374,2980697595,2011149301,0
50,101,3201,0,0,tick,2989460058,2010473303,2010502470,2989460058,432610315,2996836023,2011176895,0
51,103,3201,0,0,tick,3010397994,2010960412,2010977850,3010397994,432855224,2979641138,2000872473,0
52,105,3201,0,0,tick,3012025007,2010720928,2010739152,3012025007,435565816,2995886344,2010443355,0
53,107,3201,0,0,tick,2974463139,2010144020,2010169212,2974463139,431965771,2976391036,2010985723,0
54,109,3201,0,0,tick,2996453761,2010920626,2010930012,2996453761,433096209,3010890577,2010644026,0
55,111,3201,0,0,tick,3003641591,2010900598,2010879030,3003641591,434259403,3000336957,2011039468,0
56,113,3201,0,0,tick,2991113798,2010723395,2010752970,2991113798,433283537,2985786505,2011001672,0
57,115,3201,0,0,tick,2997291553,2010928591,2010928710,2997291553,433732912,2991761641,2010926749,0
58,117,3201,0,0,tick,3005749698,2010574325,2010579414,3005749698,432693363,783325880,1985660712,0
59,119,3201,0,0,tick,1176176151,1959000611,1958991054,1176176151,70724503,1465010981,2001694143,0
60,121,3201,0,0,tick,2271171327,2004309703,2004239994,2271171327,282348543,3002784373,2010624263,0
61,123,3201,0,0,tick,2996217046,2010971755,2010974460,2996217046,434352937,2964458617,2011182774,0
62,125,3201,0,0,tick,2968386197,1999743346,2002182954,2968386197,434138600,3014602739,2011159915,0
63,127,3201,0,0,tick,3007344495,2010999607,2010997614,3007344495,435436854,3005283148,2010779975,0
64,129,3201,0,0,tick,3015819120,2010863778,2010880452,3015819120,436588150,3002742755,2011178549,0
65,131,3201,0,0,tick,2936150761,1994591772,1994602524,2936150761,430076222,2970430588,2011133367,0
66,133,3201,0,0,tick,3015914193,2010789193,2010794322,3015914193,436787598,2987157399,1994488326,0
67,135,3201,0,0,tick,3003767735,2010850362,2010864918,3003767735,434185827,3010408812,2011219738,0
68,137,3201,0,0,tick,3005877900,2010581573,2010591030,3005877900,436038957,2978299858,2011157927,0
69,139,3201,0,0,tick,2962816266,1994893527,1994893032,2962816266,433198603,3015030933,2010936470,0
70,141,3201,0,0,tick,3011050914,2010810019,2010818088,3011050914,436272725,1860001817,2006262937,0
71,143,3201,0,0,tick,805971969,1973721556,1973721996,805971969,36467298,1455332955,1996088563,0
72,145,3201,0,0,tick,1603028655,2001593171,2001523452,1603028655,129245694,3005802848,2010575397,0
73,147,3201,0,0,tick,3017322160,2010910964,2010912444,3017322160,437162631,2983868848,2011122598,0
74,149,3201,0,0,tick,2971587912,2010498750,2010536274,2971587912,435645347,2998896457,2011154359,0
75,151,3201,0,0,tick,3015996803,2010950714,2010962274,3015996803,436883291,2969378993,1992110425,0
76,153,3201,0,0,tick,2986904915,1994581102,1994595018,2986904915,433650879,3025243328,2011072758,0
77,155,3201,0,0,tick,2980486610,2010638225,2010642396,2980486610,435766181,2966475867,2011031184,0
78,157,3201,0,0,tick,2988679720,2010886604,2010894552,2988679720,436485221,3004594617,2010842361,0
79,159,3201,0,0,tick,3002997896,2011075131,2011095648,3002997896,435216271,3002533724,2011254449,0
80,161,3201,0,0,tick,3012065976,2010445528,2010454350,3012065976,436619832,2994499369,2011022704,0
81,163,3201,0,0,tick,2972829762,2010815888,2010825738,2972829762,435571192,2978203367,2010704388,0
82,165,3201,0,0,tick,3006673831,2010429067,2010444528,3006673831,435313889,2986372207,2003056199,0
83,167,3201,0,0,tick,1300180464,2003594297,2003637756,1300180464,130111407,995226352,1968114424,0
84,169,3201,0,0,tick,1460491598,2002294761,2002382262,1460491598,81016287,1426148966,1984119637,0
85,171,3201,0,0,tick,2982987018,2010762258,2010762024,2982987018,432203704,3021697282,2011237127,0
86,173,3201,0,0,tick,2962759123,2010470437,2010460764,2962759123,434827444,2938357647,2010897595,0
87,175,3201,0,0,tick,3008667228,2010899456,2010898200,3008667228,438945556,3001631859,1994667599,0
88,177,3201,0,0,tick,3016845431,2010794489,2010810054,3016845431,438132437,2995440139,1995089229,0
89,179,3201,0,0,tick,2999541849,2010250390,2010252930,2999541849,437784188,2932148292,2010511722,0
90,181,3201,0,0,tick,2971291812,2010838867,2010826332,2971291812,435783639,3015642071,2010991906,0
91,183,3201,0,0,tick,2995601614,2001210553,2002553364,2995601614,434713512,3014726043,2010689899,0
92,185,3201,0,0,tick,3001673670,2010528449,2010539388,3001673670,435481721,2962731727,2011121664,0
93,187,3201,0,0,tick,2925439821,2010837563,2010835404,2925439821,430835227,2986679432,2010813722,0
94,189,3201,0,0,tick,3005223331,2010719339,2010705870,3005223331,435621965,2629602055,2009038189,0
95,191,3201,0,0,tick,691112948,1996634727,1996633080,691112948,20765583,1284697038,1971145014,0
96,193,3201,0,0,tick,1473584488,2002158239,2002155144,1473584488,84260587,2111041935,2004478897,0
97,195,3201,0,0,tick,3027588092,2010909816,2010897402,3027588092,438071958,2984964921,2010400786,0
98,197,3201,0,0,tick,2913756283,2009996568,2009994396,2913756283,428336205,2972726294,2011082410,0
99,199,3201,0,0,tick,3024900610,2010789026,2010778812,3024900610,438646206,3037187463,2011126986,0
100,201,3201,0,0,tick,3034337083,2010879208,2010889938,3034337083,438755997,2998076756,2010247933,0
101,203,3201,0,0,tick,2919264929,2010027442,2010032838,2919264929,429479426,2934155011,2010907782,0
102,205,3201,0,0,tick,3010104781,2010704607,2010716052,3010104781,438119052,3034618223,2010995677,0
103,207,3201,0,0,tick,3029064785,2010602318,2010580692,3029064785,438174431,3010706067,2010374289,0
104,209,3201,0,0,tick,2951685857,2010632333,2010644412,2951685857,433986149,2907108195,2010971256,0
105,211,3201,0,0,tick,2978700658,2010021483,2010044280,2978700658,436660569,3021323641,2010981203,0
